Category,Location,Business Name,Url,Website,Address,Area,City,Pincode,Latitude,Longitude,Established,Info,Schedule,Services,Payments,Tags,WhatsApp,Phone1,Phone2,Phone3,Phone4,Phone5,Phone6,Email1,Email2,Email3,Email4
Shirt Manufacturers,allahabad,Harsh Enterprises,https://www.justdial.com/allahabad/Harsh-Enterprises-Near-By-Railway-Crossing/0532PX532-X532-180501180024-I7L7_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://online.justdial.com/harshenterprisesallahabadharshenterprisesallahabae,Shah Ganj  Dharwari District Kaushanbi  Allahabad - 211001  Near By Railway Crossing,,Allahabad,211001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday Closed,,Cash  Master Card  Visa Card  Debit Cards  Cheques  American Express Card  Credit Card,Shirt Manufacturers  Casual Shirt Manufacturers  Cotton Shirt Manufacturers  Denim Shirt Manufacturers  Formal Shirt Manufacturers  Men Shirt Manufacturers  Sweat Shirt Manufacturers  Nehru Shirt Manufacturers  Linen Shirt Manufacturers  School T Shirt Manufacturers  Men Formal Shirt Manufacturers  Shirt Printed Manufacturers,,+917607074545,+918005314827,,,,,harshkesarwali111@gmail.com,,,
Shirt Manufacturers,allahabad,Fillup Garment,https://www.justdial.com/Allahabad/Fillup-Garment-Behind-Kotwali-Attarsuiya-Road/0532PX532-X532-131004110607-U3D7_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://online.justdial.com/fillupgarment,343/304  Rani Mandi  Attarsuiya Road  Allahabad - 211003  Behind Kotwali,,Allahabad,211003,,,2015,<h1>Fillup Garment in Attarsuiya Road  Allahabad</h1><p>Fillup Garment in Allahabad. Book Publishers with Address  Contact Number  Photos  Maps. View Fillup Garment  Allahabad on Justdial.</p> 						<p><h2>Location and Overview:</h2></p> 						<p>Established in the year 2015  Fillup Garment in Attarsuiya Road  Allahabad is a top player in the category Book Publishers in the Allahabad. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Allahabad. Over the course of its journey  this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services  have helped this establishment garner a vast base of customers  which continues to grow by the day. This business employs individuals that are dedicated towards their respective roles and put in a lot of effort to achieve the common vision and larger goals of the company. In the near future  this business aims to expand its line of products and services and cater to a larger client base. In Allahabad  this establishment occupies a prominent location in Attarsuiya Road. It is an effortless task in commuting to this establishment as there are various modes of transport readily available. It is at Rani Mandi  Behind Kotwali  which makes it easy for first-time visitors in locating this establishment. It is known to provide top service in the following categories: School Uniform Retailers  School Uniform Manufacturers  Uniform Retailers  Shirt Manufacturers  Uniform Manufacturers  Shirt Wholesalers  School Uniform Wholesalers  College Uniform Manufacturers. </p>  						<p><h2>Products and Services offered:</h2></p> 						<p>Fillup Garment in Attarsuiya Road has a wide range of products and services to cater to the varied requirements of their customers. The staff at this establishment are courteous and prompt at providing any assistance. They readily answer any queries or questions that you may have. Pay for the product or service with ease by using any of the available modes of payment  such as Cash  Debit Cards  Cheques  Credit Card. This establishment is functional from 10:30 - 20:00. </p><p>Please scroll to the top for the address and contact details of Fillup Garment at Attarsuiya Road  Allahabad. </p>,Monday 10:30 am - 8:00 pm | Tuesday 10:30 am - 8:00 pm | Wednesday 10:30 am - 8:00 pm | Thursday 10:30 am - 8:00 pm | Friday 10:30 am - 8:00 pm | Saturday 10:30 am - 8:00 pm | Sunday Closed,,Cash  Debit Cards  Cheques  Credit Card,Book Publishers  Readymade Garment Wholesalers  School Polo Shirt Manufacturers  Shirt Manufacturers  Shirt Wholesalers  Uniform Retailers  Uniform Manufacturers  T Shirt Wholesalers  School Band Uniform Wholesalers  Cotton School Uniform Wholesalers  School Polo Shirt Wholesalers  School Tracksuit Wholesalers  School Uniform Manufacturers  School Uniform Retailers  School Tie Wholesalers  School Sweater Wholesalers  School T Shirt Wholesalers  School T Shirt Manufacturers  Blazer Uniform Manufacturers  School Sweater Manufacturers  Uniform Belt Buckle Manufacturers  Uniform Belt Manufacturers  College Uniform Manufacturers  T Shirt School Manufacturers  School Uniform Wholesalers  School Tracksuit Manufacturers,,+919152373443,,,,,,,,,
Shirt Manufacturers,allahabad,Black Cat Designs Lifestyle Pvt Ltd,https://www.justdial.com/Allahabad/Black-Cat-Designs-Lifestyle-Pvt-Ltd-Near-Savitri-Devi-School-Allahabad-City/0532PX532-X532-170610133639-B2K6_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://www.lepecheurs.com,Savitri Devi Building  Allahabad City  Allahabad - 211003  Near Savitri Devi School,,Allahabad,211003,,,2007,,Monday 10:30 am - 7:00 pm | Tuesday 10:30 am - 7:00 pm | Wednesday 10:30 am - 7:00 pm | Thursday 10:30 am - 7:00 pm | Friday 10:30 am - 7:00 pm | Saturday 10:30 am - 7:00 pm | Sunday 10:30 am - 7:00 pm,,,Casual Shirt Manufacturers  Denim Shirt Manufacturers  Formal Shirt Manufacturers  Men Shirt Manufacturers  Readymade Garment Shirt Manufacturers  Western Readymade Garment Retailers  Shirt Manufacturers  Hunting Shirt Manufacturers  Shirt Manufacturers-Being Human  Cotton Shirt Manufacturers  Shirt Manufacturers-Sera  Shirt Retailers,,+917860758500,+916394876234,,,,,,,,
Shirt Manufacturers,allahabad,Kumar Industries,https://www.justdial.com/Allahabad/Kumar-Industries-Near-Gomti-Palace-Phaphamau/0532PX532-X532-110127215543-Z5D5_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://kumarindustriesallahabad.justdial.com,New Shantipuram  Phaphamau  Allahabad - 211013  Near Gomti Palace,,Allahabad,211013,,,1997,,Monday 8:00 am - 7:00 pm | Tuesday 8:00 am - 7:00 pm | Wednesday 8:00 am - 7:00 pm | Thursday 8:00 am - 7:00 pm | Friday 8:00 am - 7:00 pm | Saturday 8:00 am - 7:00 pm | Sunday Closed,,Cash  Cheques,T Shirt Manufacturers  School Uniform Manufacturers  T Shirt Retailers  Shirt Manufacturers  Uniform Manufacturers,,+919335682751,,,,,,kumarthe_kingg@yahoo.com,,,
Shirt Manufacturers,allahabad,Ankur Arora Bespoke Tailoring,https://www.justdial.com/Allahabad/Ankur-Arora-Bespoke-Tailoring-Near-Baba-Chauraha-Ashok-Nagar/0532PX532-X532-180628134331-M3J5_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://ankurarorabespoketailoring.justdial.com,1  Ashok Nagar  Allahabad - 211002  Near Baba Chauraha,,Allahabad,211002,,,2018,,Monday 11:00 am - 9:00 pm | Tuesday 11:00 am - 9:00 pm | Wednesday 11:00 am - 9:00 pm | Thursday 11:00 am - 9:00 pm | Friday 11:00 am - 9:00 pm | Saturday 11:00 am - 9:00 pm | Sunday Closed,,Cash  Paytm  Debit Cards  Credit Card,Gents Tailors  Shirt Manufacturers  Tailors For Gents Suit  Tailors For Gents Sherwani  Customised T Shirt  Wedding Safa Retailers  Customised Shirt Manufacturers  Raw Silk Sherwani Retailers  Tailors For Men Safari  Tailors For Men Wedding Suit  Designer Mens Suit Dealers  Fashion Designer For Mens Wear  Tailors For Men Designer Wear  Tailors For Gents Blazer  Sherwani Designer  Jodhpuri Suit Retailers  Men Shirt Manufacturers  Gents Kurta Retailers  Garment Designer Sherwani  Tailors For Men Kurta,,+919517517777,+919918644777,,,,,ankurarora1684@gmail.com,,,
Shirt Manufacturers,allahabad,Incredible Marvel,https://www.justdial.com/Allahabad/Incredible-Marvel-Kareli/0532PX532-X532-180328220514-S1I4_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://www.aptolite.com,Diamond Colony  Kareli  Allahabad - 211016,,Allahabad,211016,,,2018,,,,Cash  Visa Card  Debit Card  Cheques  Master Card,Shirt Manufacturers  Men Formal Shirt Manufacturers  Men Party Wear Shirt Manufacturers  Men Printed Shirt Manufacturers,,+919807720533,,,,,,,,,
Shirt Manufacturers,allahabad,Incredible Marvel,https://www.justdial.com/Allahabad/Incredible-Marvel-Near-Diamond-Colony-Near-Chetna-Girls-Inter-College-Kareli/0532PX532-X532-180412091858-Z6N1_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://www.aptolite.com,62C/1D  Kareli  Allahabad - 211016  Near Diamond Colony  Near Chetna Girls Inter College,,Allahabad,211016,,,2017,,Monday 11:00 am - 9:00 pm | Tuesday 11:00 am - 9:00 pm | Wednesday 11:00 am - 9:00 pm | Thursday 11:00 am - 9:00 pm | Friday 11:00 am - 9:00 pm | Saturday 11:00 am - 9:00 pm | Sunday 11:00 am - 9:00 pm,,,Men Shirt Manufacturers  Shirt Manufacturers  Men Casual Shirt Manufacturers  Men Formal Shirt Manufacturers,,+919807720533,,,,,,aptolite@gmail.com,,,
Shirt Manufacturers,allahabad,XI Mens Appearls,https://www.justdial.com/Allahabad/XI-Mens-Appearls-Near-Police-Chauki-Allahpur/0532PX532-X532-150914180935-C9G7_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://ximensappearls.justdial.com,60 Fita Road  Allahpur  Allahabad - 211006  Near Police Chauki,,Allahabad,211006,,,2017,,Monday 11:00 am - 10:00 pm | Tuesday 11:00 am - 10:00 pm | Wednesday 11:00 am - 10:00 pm | Thursday 11:00 am - 10:00 pm | Friday 11:00 am - 10:00 pm | Saturday 11:00 am - 10:00 pm | Sunday 11:00 am - 10:00 pm,,Cash  Debit Cards  Credit Card,Gents Readymade Garment Retailers  Fabric Retailers  Jeans Retailers  Shirt Manufacturers  Blazer Retailers  Sherwani Retailers  Men Readymade Garment Wholesalers  Shirt Retailers  Jacket Retailers  Jacket Manufacturers  Shirt Retailers-Peter England,,+917275153436,+917355960155,,,,,mohdfaiz3436@gmail.com,,,
Shirt Manufacturers,allahabad,Anuj Jeans Manufacturers,https://www.justdial.com/allahabad/Anuj-Jeans-Manufacturers-Near-Cotton-Mills-Naini/0532PX532-X532-180412183829-V1W7_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://anujjeansmanufacturers.justdial.com,Plot No.- 23  Bhatai  Naini  Allahabad - 211008  Near Cotton Mills,,Allahabad,211008,,,2018,,Monday 8:00 am - 9:00 pm | Tuesday 8:00 am - 9:00 pm | Wednesday 8:00 am - 9:00 pm | Thursday 8:00 am - 9:00 pm | Friday 8:00 am - 9:00 pm | Saturday 8:00 am - 9:00 pm | Sunday 8:00 am - 9:00 pm,,Cash  Cheques,Jeans Manufacturers  Shirt Manufacturers  Ladies Readymade Garment Manufacturers  Children Jeans Manufacturers  Gents Jeans Manufacturers-Being Human  Jeans Manufacturers-Spykar  Jeans Manufacturers-Leelan  Jeans Manufacturers-Killer  Jeans Manufacturers-Indigo Nation  Jeans Manufacturers-Cambridge  Cotton Jeans Manufacturers  Jeans Manufacturers-Levis  Jeans Manufacturers-Being Human  Cargo Trouser Manufacturers-Pepe Jeans  Jeans Manufacturers-Pepe Jeans  Denim Jeans Manufacturers  Ladies Jeans Manufacturers-Sheen  Men Jeans Manufacturers  Jeans Manufacturers-Gravity  Jeans Manufacturers-LEE Cooper  Jeans Manufacturers-Red Tape  Women Jeans Manufacturers  Jeans Shirt Manufacturers  Women Jeans Manufacturers-Red Bull,,+917607828017,,,,,,ajaypandey719@gmail.com,,,
Shirt Manufacturers,allahabad,Hinouta Group,https://www.justdial.com/allahabad/Hinouta-Group-Near-Kanpur-Road-Highway-Dhoomanganj/0532PX532-X532-180303194704-T4M9_BZDET?xid=QWxsYWhhYmFkIFNoaXJ0IE1hbnVmYWN0dXJlcnMgQWxsYWhhYmFk,http://hinoutagroup.justdial.com,Sulen Sarai  Dhoomanganj  Allahabad - 211011  Near Kanpur Road Highway,,Allahabad,211011,,,2018,,Monday 10:00 am - 9:30 pm | Tuesday 10:00 am - 9:30 pm | Wednesday 10:00 am - 9:30 pm | Thursday 10:00 am - 9:30 pm | Friday 10:00 am - 9:30 pm | Saturday 10:00 am - 9:30 pm | Sunday Closed,,Cash  Master Card  Visa Card  Debit Cards  Cheques  American Express Card  Credit Card,T Shirt Manufacturers  Jeans Manufacturers  Shirt Manufacturers  Denim Jeans Manufacturers  Sports T Shirt Manufacturers  Women Jeans Manufacturers,,+919628496745,+917719958597,,,,,,,,
