"List_name","List_Mobile","List_Address"
"SK Garments","+91 94153 59465","Amar Jyoti Rd"
"Amit Sari House","","Closed ⋅ Opens 9AM Fri"
"GUPTA HANDLOOM","+91 94538 66956","Hanuman Mandir (SOUTH, CC Rd"
"S. S. Trading Company","+91 70841 00536","Abubakar Nagar"
"Sanjay Cloth Store","+91 5568 222 484","1st floor, Sheetal katra, Motilal Rd"
"Ambar Foot Wear","+91 89239 71922","shoe market"
"Patel Ji Fashion Wear Whole Saler Readymade Garments","+91 91619 78147","Jalkal Road, Shop No. 68, Opposite Maharaja Ugrasen Inter College"
"V-Mart","+91 93075 76256","AD Tower, Hanuman Mandir Rd"
"DSc.Maker.com","Open 24 hours","+91 76180 75716"
"Sanjai Cloth Stores","+91 1800 22 8990","Mohan Rd"
"The Raymond Shop","+91 94520 92531","10/215, Bhikhampur Road"
"JYOTI CLOTH LUDHIANA (WHOLE SALE)","+91 98033 24629","INFRONT OF PNB BANK, Deoria Rd"
"Manoj Button House","+91 99191 99170","Ke Samne Wali Gali, Surti Hatta Road"
"Tirupati Bazzar","+91 99366 21915","Motilal Road"
"Dulhan saree and company","+91 87658 19901","near hanuman mandir road"
"Maruti Nandan","+91 95064 93866","Surti Hatta Road"
"Pratap Handloom Bhandar","+91 98393 22604","Mohan Rd"
"Fashion Zone","+91 94543 81164","Ansari Road"
"SG fashion","+91 94557 89361","Arjun Rd"
"Tanushree","+91 94558 18925","Tanushree wali gali"
"Integriti","+91 90448 10602","Kotwali Road, Civil Line"
"Peter England","+91 98894 11084","C.C. Road"
"Red Chief","+91 85738 04657","""But in Apparel section product is good but product is limited."""
"1 India Family Mart","Open ⋅ Closes 10PM","""Fashion more than u ..."""
"New Fashion Aluminium Works","+91 91615 37834","Kharjarwa Road, Near Saraswati Vidya mandir School"
"U.S.A ENTERPRISES JHANGA BAZAR","","+91 73881 77323"
"Agrawal Trading Company","Closed ⋅ Opens 10AM Fri","+91 552 528 0851"
"jai durga dhaga store","+91 88409 23161","Deoria Rd"
