"List_name","List_Mobile","List_Address"
"GAGAN TEXTILES","+91 98892 44055","IN RAJA BAHADUR MARKET Faizabad"
"Gargi Trading Company","+91 94151 71799","L-103, Rohini Colony"
"Shiv leela saree centre","+91 94151 40482","Opp. rajendra market bajaja"
"Om Prakash Sarraf","Closed ⋅ Opens 12AM Fri","+91 5278 227 777"
"Maurya Sanitary Works","+91 98895 48627","Naka"
"Arvi Sarees","+91 97214 40602","03, Behind Welcome Family Restaurant, Raebareli Rd"
"Anuj Garments","+91 98386 77642","Saketpuri Colony, Near Nirmala Hospital, Ranopali"
"Cloth Stores","","Fatehganj - Chowk Rd"
"Super Leather","+91 94150 39215","3/8/31, Purani Machali Bazar, Chow"
"Sardar Cloth House","+91 1800 22 8990","Chowk"
"Chhabra Sarees","+91 76074 23313","Basement, BB.Shopping Complex, Rekabganj Road, Chowk"
"Fashion City","+91 86048 64970","Kanak Chitra Mandir, Chowk - Faizabad"
"Titan","+91 5278 220 401","Shop No.-8/2/10A, Hanumangarhi Mandir"
"Sagar readymade Store","Closed ⋅ Opens 11AM Fri","+91 89608 45005"
"Planet Fashion","+91 90441 63577","Rikabganj"
"Levi's","+91 5278 220 622","Rikabganj"
"Vandana Readymade Stores","Closed ⋅ Opens 10:30AM Fri","+91 99352 07749"
"Madras Handloom","+91 70075 09393","6/8/58"
"Himanshu Hosiery","Open ⋅ Closes 9PM","+91 94521 71510"
"Khoobsurat","+91 93358 09170","Shop No. 2, Basement BB Shopping Complex, Rikabganj Road, Chowk Faizabad"
"Pepe Jeans","+91 5278 228 120","Faizabad, Uttar Pradesh, India"
"Dreamz","+91 93366 22253","Faizabad, Uttar Pradesh, India"
"Aurelia","+91 80049 77909","Faizabad, Uttar Pradesh, India"
"Anurag Mens Collection","+91 98386 58327","Faizabad, Uttar Pradesh, India"
"V Mart","+91 87991 11712","Faizabad, Uttar Pradesh, India"
"Red Chief","+91 5278 228 209","Faizabad, Uttar Pradesh, India"
"1-India Family Mart","+91 96214 58515","Faizabad, Uttar Pradesh, India"
"Binny collection","+91 79852 58793","Faizabad, Uttar Pradesh, India"
"Blackberry's Store","+91 5278 225 751","Faizabad, Uttar Pradesh, India"
"Pragdeen Narayan Prasad","+91 1800 22 8990","Uttar Pradesh, India"
"THE RAYMOND SHOP","","Faizabad, Uttar Pradesh, India"
"Fashion World","+91 70541 45949","Faizabad, Uttar Pradesh, India"
"Harish Hosiery","+91 5278 222 741","Faizabad, Uttar Pradesh, India"
"Jasraj Saree","+91 90444 88727","""Best wholesale shop."""
"Try & Buy","+91 81828 34122","Faizabad, Uttar Pradesh, India"
"O.l Gupta Textiles","+91 94151 46337","Faizabad, Uttar Pradesh, India"
"Garha Bhandar","+91 91613 22741","Lucknow, Uttar Pradesh, India"
"Kapda Kothi Vastralaya","","Lucknow, Uttar Pradesh, India"
"AGRAHARI JEWELLERS","+91 73768 79763","Faizabad, Uttar Pradesh, India"
"Kailash Chikan Palace","+91 99186 09358","Lucknow, Uttar Pradesh, India"
