"List_name","List_Mobile","List_Address"
"Awatram & Sons","+91 751 233 0477","26 Near Gandhi Market Ganesh Bazaar HemraJ Market"
"Mittal Enterprises","+91 751 243 4790","Near Radhika Complex"
"New Palika Bazaar","+91 88893 94257","Chitnis St"
"KAMBAL KENDRA","+91 94251 15174","NAYA BAZAR, LASHKAR, GWALIOR"
"Sagar Deep","+91 751 320 6075","Maharaj Bada, Sarafa Road, Sarafa Bazar"
"Agarwal Khadi Bhandar","+91 80855 03644","Near Bank Of India, Chatri Bazar Rd"
"Panna Lal Radha Raman","+91 751 244 3355","Near Radhika Kurtis & Salwar Suit"
"Nidhi collection Gwalior","","+91 99933 53718"
"Lovely Garments","+91 99776 85680","Shop No. B 7"
"PARAS ENTERPRISES","+91 75664 11228","Naya Bazar, Ganesh Colony, Naya Bazaar, Ward No. 46"
"Aneja & sons","+91 751 407 3334","Mor Bazar Rd"
"Shankar Textiles","+91 94253 36811","Garg Cloth Market"
"Rungta Textile Agents","+91 751 232 3772","Near Radiant School"
"Cloth market","+91 62613 27500","Hathi Khana Rd"
"AVNI FASHION","","DANDRAUA DHAM MANDIR"
"JMD Garments","+91 98274 53864","B-1198, Sagartal Rd"
"MAHAVIR PRASAD MANOJKUMAR","+91 98068 35970","KILEDAR KA BADA,OPP. UNION BANK ATM,CHITNIS KI GOTH,MADHOGANJ"
"Raymond Home","+91 94257 17473","Didwana Oli"
"Vrinda sarees","+91 93002 85965","Near gandhi market"
"Vitrag Traders","+91 93004 30465","Mittal Complex"
"Shivam Hosiery & General Stores","+91 89627 27883","Gwalior, Madhya Pradesh, India"
"Trame Collection","+91 89898 26363","Gwalior, Madhya Pradesh, India"
"Aman Khan HackStar Wholesaler","Open 24 hours","Gwalior, Madhya Pradesh, India"
"Vipul Collection","+91 94253 35495","Gwalior, Madhya Pradesh, India"
"Tanushka Collection","+91 89898 07434","Gwalior, Madhya Pradesh, India"
"Ganeshay Saree","+91 80770 06276","Gwalior, Madhya Pradesh, India"
"Nirankari saree house","+91 91312 71826","Gwalior, Madhya Pradesh, India"
"Monica Cloth Store","+91 95750 33059","Gwalior, Madhya Pradesh, India"
"New Style Collection","+91 90392 29854","Gwalior, Madhya Pradesh, India"
"Shubham Threads","+91 98933 04688","Gwalior, Madhya Pradesh, India"
"Siddhaika Chanderi Kurti | Silk Kurtis | Chanderi Suits","+91 70490 00555","Gwalior, Madhya Pradesh, India"
"Shivam Store","+91 99772 10270","Gwalior, Madhya Pradesh, India"
"Biba Apparels- Patiala Pants With Dupatta Online Shopping","+91 751 407 7778","Gwalior, Madhya Pradesh, India"
"Shree Siddhi Vinayak Saree","+91 93034 15095","Gwalior, Madhya Pradesh, India"
"St. Puniyani Textiles","+91 94251 18894","Gwalior, Madhya Pradesh, India"
"Raja Sons","+91 94251 10928","Gwalior, India"
"Red Chief","+91 751 406 0880","Gwalior, Madhya Pradesh, India"
"Ruhela cloth","","Gwalior, Madhya Pradesh, India"
"Onlinenakhre.com","+91 99930 45600","Gwalior, Madhya Pradesh, India"
"K.B. Sports Wear {Goods} World Wide","+91 751 492 1369","Gwalior, Madhya Pradesh, India"
"She & She Beauty Point","+91 98262 85364","Gwalior, Madhya Pradesh, India"
"Ram Bharose Mannulal","+91 99262 11102","Gwalior, Madhya Pradesh, India"
"Ahinsa Diamonds And Jewellers","+91 98262 15577","Gwalior, Madhya Pradesh, India"
"Star Zone","+91 83054 80910","Gwalior, Madhya Pradesh, India"
"She Shine Cosmetic","+91 93237 27109","Gwalior, Madhya Pradesh, India"
"KBC Harra","+91 751 244 3432","Gwalior, Madhya Pradesh, India"
"Ajit Military Store","","Gwalior, Madhya Pradesh, India"
"Dishant Traders","+91 98262 78491","Gwalior, Madhya Pradesh, India"
"Lal Gudiya","+91 94253 60628","Gwalior, Madhya Pradesh, India"
"Suvarna Jewels (100% BIS Hallmark Gold Jewellery & Certified Diamond Jewellery Showroom)","+91 751 406 5544","""It brings out always new fashion of jewels . So go shop now guys !"""
"iTokri.com","+91 751 401 2029","Madhya Pradesh, India"
"Laddha Garments","Closed ⋅ Opens 10AM Fri","Gwalior, Madhya Pradesh, India"
"Jai Santoshi Kirana & General Stores","+91 83055 58229","Gwalior, Madhya Pradesh, India"
"Rishi Traders","+91 751 407 6523","Gwalior, Madhya Pradesh, India"
"Super Terene Center","+91 751 242 5093","Gwalior, Madhya Pradesh, India"
"N R Sports","","Gwalior, Madhya Pradesh, India"
"Omre Club","Open ⋅ Closes 9PM","Gwalior, Madhya Pradesh, India"
"METRO SHOES LIMITED","+91 751 223 9260","Gwalior, Madhya Pradesh, India"
"Mittal Ji Garments","Closes soon ⋅ 8PM","Gwalior, Madhya Pradesh, India"
"Bobby Readymade Garments","+91 92292 50234","Gwalior, Madhya Pradesh, India"
"Shri Laxminarayan Creation","+91 94796 74073","Gwalior, Madhya Pradesh, India"
"Bali TRADERS","+91 90099 76792","Gwalior, Madhya Pradesh, India"
"Royal Blue Shirts","+91 74008 71944","Gwalior, Madhya Pradesh, India"
"Haryana Jewellers","+91 93011 13272","Gwalior, Madhya Pradesh, India"
"Taluja Mall gwalior","+91 751 244 7692","Gwalior, Madhya Pradesh, India"
"Ram kishan vijaykumar&sons","+91 94257 74922","Gwalior, Madhya Pradesh, India"
"Trikaldarshi Jyotish And Ratna Anusandhan","+91 99772 33919","Gwalior, Madhya Pradesh, India"
"BESPOKEWALA by Hem Kumar Jain","+91 74704 94504","Gwalior, Madhya Pradesh, India"
"Kothari Sons","+91 96300 30007","Gwalior, Madhya Pradesh, India"
"Fashionstore gwalior","+91 99077 63214","Gwalior, Madhya Pradesh, India"
"Rastogi Traders","+91 98273 79614","Gwalior, Madhya Pradesh, India"
"Sajdhaj Boutique","+91 89892 14845","Gwalior, Madhya Pradesh, India"
"Lucky Hosiery","+91 751 403 6364","Gwalior, Madhya Pradesh, India"
"Harra","+91 751 244 3440","Gwalior, Madhya Pradesh, India"
"Ashok Readymade Garments","+91 98269 34556","Gwalior, Madhya Pradesh, India"
"Devkripa Sarees","+91 98272 78571","Gwalior, Madhya Pradesh, India"
"Rangriti - Women Apparel","+91 751 234 3435","Gwalior, Madhya Pradesh, India"
"Fabindia","+91 751 403 5137","Gwalior, Madhya Pradesh, India"
"Lakshmi Watch Co & Optical","+91 751 654 0714","Gwalior, Madhya Pradesh, India"
"Duke store(SHRI AMBEY FABRICS PVT.LTD.)","Open ⋅ Closes 9:30PM","Gwalior, Madhya Pradesh, India"
"Bindal Uniforms","+91 751 263 3009","Gwalior, Madhya Pradesh, India"
"Lines Collection","+91 99262 32862","Gwalior, Madhya Pradesh, India"
"Fjd bridal collection","+91 88716 88005","Madhya Pradesh, India"
"Manyavar Gwalior 2","+91 751 407 9389","Gwalior, Madhya Pradesh, India"
"G.R Fabrics Pvt. Ltd.","+91 751 244 3267","Gwalior, Madhya Pradesh, India"
"Chanderi Saree Center","+91 99934 61543","Gwalior, Madhya Pradesh, India"
"Chandni Collection","+91 93000 72024","Gwalior, Madhya Pradesh, India"
"Inderchand Phoolchand & Sons","+91 1800 22 8990","Gwalior, Madhya Pradesh, India"
"Uttam Cut Piece Bhandar","+91 90095 17098","Gwalior, Madhya Pradesh, India"
"mufti","+91 751 408 6480","Gwalior, Madhya Pradesh, India"
"Muskan Jewellers","+91 99262 53409","Gwalior, Madhya Pradesh, India"
"Amara Diamonds (Latest Diamond Jewellery Online Brand)","+91 74708 17777","Gwalior, Madhya Pradesh, India"
"Mahendra rajput","+91 62602 33883","Gwalior, Madhya Pradesh, India"
"Vishnu Brothers (shirts Manufacturing)","+91 86023 14702","Gwalior, Madhya Pradesh, India"
"Saree Sarovar","+91 751 407 8304","Gwalior, Madhya Pradesh, India"
"The Raymond Shop","+91 751 404 0075","Gwalior, Madhya Pradesh, India"
"Indian Terrain","+91 751 402 6480","Gwalior, Madhya Pradesh, India"
"Pooja Hosiery","+91 751 402 4466","Gwalior, Madhya Pradesh, India"
"Shri Ganesh Hosiery","+91 96912 97346","Gwalior, Madhya Pradesh, India"
"Raj Wears","+91 95755 96430","India"
"Indian Terrain","+91 751 492 4193","Madhya Pradesh, India"
"The Arvind Store","+91 751 400 1792","Gwalior, Madhya Pradesh, India"
"Super Collection","+91 90989 68806","Gwalior, Madhya Pradesh, India"
"Sai Kripa Vaivahik Collection","+91 96692 63073","Gwalior, Madhya Pradesh, India"
"Wanted Cloth Collection","+91 99265 10500","Gwalior, Madhya Pradesh, India"
"Maloo Electronics - Best Electronics Showroom In Gwalior","+91 93025 58365","Gwalior, Madhya Pradesh, India"
"Do Bhai Hosiery And Baby Collection","+91 751 401 4338","Gwalior, Madhya Pradesh, India"
"Sanskar Ladies Suit Collection","+91 97135 56647","Gwalior, Madhya Pradesh, India"
"Spykar","","Gwalior, Madhya Pradesh, India"
"Subhash Terene Centre","+91 1800 22 8990","Gwalior, Madhya Pradesh, India"
"SANKHLA JEWELLERS","+91 92854 77777","Gwalior, Madhya Pradesh, India"
"Vijay Traders","+91 96301 68698","Gwalior, Madhya Pradesh, India"
"S.B.D. Manohar Emporium","+91 98288 73555","Gwalior, Madhya Pradesh, India"
"S K F","+91 751 237 2572","Gwalior, Madhya Pradesh, India"
"Raymond","+91 751 243 8032","Gwalior, Madhya Pradesh, India"
"Subhash Emporium","+91 751 233 1799","Gwalior, Madhya Pradesh, India"
"Lee","+91 751 401 0358","Gwalior, Madhya Pradesh, India"
"Achalnath General Store","+91 96911 77129","Gwalior, Madhya Pradesh, India"
"Saroj Sales","+91 1800 22 8990","Gwalior, Madhya Pradesh, India"
"Bombay dyeing","+91 94251 18875","Gwalior, Madhya Pradesh, India"
"Direct seling business","+91 84356 68510","C-18 earth plaza amaltas colony"
"Ferns N Petals : Flowers Delivery In Old High Court, Gwalior","+91 81091 84084","Opp. Inderganj Chauraha,, Old High Ct Rd"
"Nagaji General Store","+91 91111 10624","Phalka Bazar Rd"
"Ishwar Jewellers & Bartan Bhandar","+91 90747 35422","Kushwah Market, Opp. Rotak Apartment"
"People Fashion & Accessories","+91 751 403 1455","Shop No 29, 30, Padav Cir"
"Van Heusen - Gwalior","+91 751 401 5114","Site No 29/30 , Hotel Shelter Compound"
"Kingskik","+91 94257 28227","F-7 Niwaskar Complex, Lohiya Bazaar, Gubbara Phatak"
"Goodwill Sales","+91 99933 14006","Lohiya Bazaar Rd"
"The Chambal Custom Lifestyle","+91 95894 67825","BLB Plaza, Madhavnagar, In-Front-Of Hotel Prabha International"
"MP Khadi Gramodyog Emporium","+91 751 262 5235","Near SBI Bank, Moti Mahal Rd"
"Neha Garments","+91 94251 01094","Chawri Bazar"
"Super Matching","+91 90399 74751","Maharaj bada, Shop, Street Number 5"
"Shree Ram Textile","+91 77459 36212","hemraj market opp gandhi market, Jiwaji Chowk"
"Mittal Brothers","+91 1800 22 8990","Gandhi Market Rd"
"The Raymond Shop","+91 751 237 1925","Lashkar, Sarafa Bazaar"
"Khadi Kutir","+91 92039 19807","Near Union Bank, Sarafa Bazar, Maharaj Bada"
"Levi's Exclusive Store","+91 99770 02476","Mishra Tower"
"arvind store","","Naya Bazar Main Rd"
"Biba","",""
"Planet Fashion","+91 751 245 6915","M/s, Emarald Industries, Near DD Mall, Nadi Gate Chouraha."
"Rangriti - Women Apparel","+91 751 408 7428","Shop no 7 & 8, ground floor, DD city mall, Maharani Laxmibai Marg"
"Sam Collection","+91 98277 67744","chetakpuri"
"BLACKBERRYS","+91 751 404 3001","Narayan Building, Near JDA Complex"
"Khadi Bhandar","Closed ⋅ Opens 12AM Fri","+91 98934 53797"
"Madame","+91 751 405 4092","Ground Floor - 10, DD City Mall, MLB Road"
"Levi's Exclusive Store","+91 99770 03867","F-9,10,11, 1st Floor, Deendayal City Mall, MLB Road"
"vishal tailoring material","+91 89894 74825","faujdaro ka bada, Didwana Oli"
"Radhika Sarees","+91 751 243 2431","Basement, Radhika Complex"
"Geeta Choice Center","+91 98273 26100","Near Bada"
"Gopi Ram Om Prakash","+91 751 244 3298","Naya Bazar Main Rd, Opposite Girraj Katra"
"Singh Distributors","+91 751 408 5239","Galav Medical Complex, Veterinary Campus, Behind Deewan Nursing Home, Huzrat Rd"
"Ganesh Vastralaya","+91 751 401 6225","Sadar Bazar, Morar"
"Krishna Kids And Girls Wear Shop","+91 98270 10018","Jain mandir Santar"
"Shri Krishna Traders","+91 751 232 4082","Near Raymond Showroom"
"Shubh Laxmi Textile","+91 98264 45868","Infront Of Bahadura Sweets, Basement, Naya Bazar Road, Naya Bazar, Lashkar"
"Louis Philippe","+91 99772 38332","Maharani Laxmibai Marg"
"Gangil Agency","+91 751 244 3236","Naya Bazar Main Rd, Near Raymond"
"Jockey Exclusive Store","+91 751 407 5212","Shop No.1294, Zone No.6, Ward No.32, Situated at M.L.B. Road, Opp:Gurudwara, Near Pizza Hut"
"Riya Readymade Garments","+91 75098 71620","Patel school k samne char sahar naka road Sardaar plaza"
"Shri Ram Garments","+91 97525 45000","Maharaj Agrasen Complex, Maharaja Bada"
"Ratan garment","+91 98267 15652","Sadar Bazar Rd"
"MONTE CARLO","+91 94251 12156","38,SARSWATI NGR.UNIVERSITY MAIN RD., OPP. MILLENNIUM PLAZA"
