"List_name","List_Mobile","List_Address"
"Om Prakash Ram Prakash Saree Sangrah","+91 510 244 4676","47, Khatarayana"
"Dubey Vastralaya","+91 98394 56166","227, Malino Ka Chouraha, Bajaj Bazar"
"Maniram Omprakash","+91 94514 88945","153, Chodharyana"
"Sighai Textiles Pvt. Ltd.","+91 94150 73306","155, Chaudhar Thana"
"Krishna Traders","+91 98899 48409","Rasi Market, Bada Bazar"
"Love Garments","+91 94155 89227","Baraa Bazar Road"
"R k readymade and cloth centre","","R-3"
"AVIRUP ENTERPRISES CLOTHING BRAND ( KURTIS AND SAREES )","+91 95592 58962","8601A , KAMAL SING COLONY ,ISAI TOLA"
"Urvashi Tailors And Cosmetics","+91 99356 54575","Vivekanand Colony, Civil Line"
"RS ENTERPRISES","+91 92060 74145","91, Chandra Shekher Azad, Near Ganesh mandir"
"Ramdeen & Sons","+91 510 235 0299","Choudaryana, Bada Bazar"
"Ahuja Optical Center","+91 92360 96264","Manik Chowk"
"kusum matching center","+91 81157 47113","Near Nariya Bazar, Rai Ka Tazia"
"Triveni Fashion Point","+91 95066 34109","Sarvmangla Complex, Near Allahabad Bank, Manik Chowk"
"SETH BANDHU","+91 93290 27002","26 Gopal Neekhra, Manik Chowk"
"Barcelona Garments","+91 97959 33333","115, Sadar Bazar - Jhansi Rd"
"Jayanti Saree Palace","+91 94159 50274","Mount Plaza, Opp Nagar Nigam Gate, Elite"
"R S Enterprises","+91 73987 95679","91, Chandrashekhar Azad"
"A - Square Collection","+91 73099 37777","207, Near Narayan Chat"
"Shri Kunj Bihari Textiles","+91 94156 47038","95/2, Chodharyana"
"Garble Jeans Co.","+91 92367 31474","Unnamed Road"
"Saree Museum","Open ⋅ Closes 8:30AM Fri","+91 510 244 3030"
"Boom Boom Collection","+91 97951 10756","Rai Market,, Nariya Bazar"
"Shivalay Cutpiece Center","+91 78606 25807","Chhaniya Pura, Near Subhash Ganj"
"HALLMARK - Exclusive Watch Store in Jhansi","+91 95983 77999","492, Sadar Bazar, Near Union Radios"
"Manyavar","+91 510 247 2232","8/21, Lalta Prashad Compound"
"Gini & Jony","+91 510 237 0188","597,New Market,Sadar Bazar,Jhansi"
"jantacart","Open 24 hours","+91 73764 82928"
"Fashion House","+91 1800 22 8990","Jawahar Chowk"
"Kids Wear","+91 95066 81008","Khati Baba Chouraha"
"Chhabra 555","","Open now"
"Fitness Shoppe","+91 70840 48888","#56, Sunflower Appartment, Allahabad Bank to Station Road,, Near RNS World School"
"Nishant Traders","+91 95324 31220","98, Chaudharyana"
"Roop Sangam","","+91 1800 22 8990"
"New Variety","+91 96166 32551","Rai Market, Nariya Bazar"
"SANTOSH CLOTH STORE JHANSI","+91 94154 01064","149 CHOWDHARYANA"
"Mahek Ladies Suit Center","+91 97952 60237","Ram Market, Nariya Bazar"
"Shivalay Cloth Collection","+91 94151 94891","Near Talaya Mohalla, Nehru Marg, Subhash Ganj"
"Ganga Sarees","+91 95983 58697","Char Khambha Road, Nagra"
"Jai maa kaila devi traders","+91 98396 44319","mandir, 40 kailash"
"COTTON COUNTY","","+91 161 267 2590"
"Sun Sports","+91 98394 58878","near pramod petrol pump in front of pizza hut"
"Vishal Dresses","+91 94509 08182","Sipri Bazar"
"Blackberrys Store jhansi","+91 510 233 0770","Blackberrys Store, 1078/2 Civil Lines Oppsite Pramod Petrol Pump & pizza hut"
"Chawla Garments","+91 85769 12742","Subhash Market, Sipri Bazar"
"HIMALAYA SAREES","Closes soon ⋅ 8:30PM","+91 91111 05003"
"Pooja Night Wear","Closes soon ⋅ 8:30PM","+91 80048 07436"
"Mona readymade house","+91 99357 62626","2, Sadar Bazar - Jhansi Rd"
"The Raymond Shop Jhansi","+91 510 233 3083","359"
"Monarch Dresses","+91 70075 32976","Shop No. 715, In Side Khanderao Gate"
"Nanki Suits","+91 98897 97900","Chaman Ganj, Sipri Bazar"
"JOLLY FASHION Men's Wear Shop","+91 89177 82222","183, Rani Mahal Road Gusaipura"
"People Fashion & Accessories","+91 510 247 0151","No.370"
"Vandana Dresses","+91 94154 56879","11/7, Opp. Jhansi Gas Service"
"Kanya Fashion","+91 93078 23466","Ground Floor, Sarvmangla Complex, Near Allahabad Bank"
"Mayur Garments","Open ⋅ Closes 9PM","Masihaganj Rd"
"Cloth House","+91 1800 22 8990","14 Sadar Bazar"
"Hero Watch House","+91 94528 66852","140, Jawahar Chowk"
"neelam dresses","+91 70718 18777","29, civil line in front of christ the king college"
"Maharaja","+91 94512 66463","Manik Chowk"
"Parilok","+91 98895 01700","State Bank Tiraha - Main Market Rd"
"Louis Philippe Store","+91 510 237 0573","Shop No 610 Civil Line Sadar Bazar Jhansi 284001 (U.P Ground Floor & First Floor"
"Uma Saran Stores","","+91 94150 30989"
"Love Garments","+91 88985 64174","Chaman Ganj, Sipri Bazar"
"Nakhra Sarees & Suits","+91 97953 65559","497, Near Krishna Talkies,Sardar Bazar"
"Flowers Delivery In jhansi upharify","Closed ⋅ Opens 9AM Fri","+91 91513 57856"
"V-Mart","+91 93360 91586","372/18 D, Gwalior Rd"
"Planet Fashion","+91 1800 425 3050","491/B, Opposite Krishna Talkies, Sadar Bazar"
"Pantaloons","+91 510 298 0254","Ambrosia Heights, Elite Sipri Rd, Near New Income Tax Building"
"Matu Shree","+91 94150 30251","""Saree wholesale shop.."""
"Galaxy Sports Point And Garments","+91 94500 69384","In Front Of Chamanganj Chawki, Sipri Bazar"
"Shree Gandhi Aashram Khadi Bhandar","+91 97934 33557","56, Sarafa Bazar, Manik Chowk"
"Levi's Exclusive Store","+91 510 247 1699","176-1, Kacheri Road, Sadar Bazar"
"Peter England","+91 70079 49758","670, Civil Lines, Opposite Pramod, Petrol Pump"
"Saluja Cloth Center","Open now","+91 97953 16366"
"R.K. Gupta Military & Police Store","+91 94150 30993","Sadar Bazar"
"Peter England","+91 510 247 1549","Bela Road, Sadar Bazar"
"Master Mind School Dresses Evam Bags","+91 94155 05928","Sipri Bazar"
"Saree Sangrah","""Best wholesale creation...""","""Best wholesale creation..."""
"Mangalam Bazar","+91 97950 43782","176 New Market, Sadar Bazar"
"The Raymond Shop","+91 1800 22 8990","S.G Mall, Sadar Bazar"
"Bachpan","+91 97944 13073","176/4, Kacheri Road,Near SBI Atm, Sadar Bazar"
"John Players","+91 98895 25206","524,, Sadar Bazar - Jhansi Rd"
"Aman Garments","+91 94527 43009","45, Sarafa, Jawahar Wali Gali, Manik Chowk"
"Cake Delivery in Jhansi upharify","","+91 89486 17899"
"S.R. Optical And Leather Belt","+91 99352 14507","Gusainpura, Manik Chowk"
"Red Chief","+91 510 236 2290","41, Tandon Road"
"Toonz Kids & Baby Store Civil Lines Jhansi","+91 94531 23056","TOONZ STORE, 188, KACHERI ROAD"
"Shanti Padam Emporium","+91 99358 42491","76,Jawahar Chowk"
"Wrangler","+91 510 247 0346","419, Sadar Bazar"
"Memsaab Fashion Suit - Saheli Fashion","+91 94516 59939","Sipri Bazar"
"John Players","+91 98895 25206","NO. 524, NEW GRAIN STORE, Shivaji Nagar Rd"
