List_name,List_Mobile,List_Address
Albela Lehnga & Cloth Emporium,+91 99356 40820,"Garib Nawaz Building, Shop No. 4,5- 97/332, Shilk Market, Kanpur, Maulana Hasrat Mohani St"
New Raju Garments,+91 97920 03515,"Shop No. 2,3, 80/79, Railway Station Road"
Fiza Garments,+91 94154 38667,"Shop No. G.F, C-7, Railway Rd"
Raj Kumar & Company,+91 93361 14826,"55/124, General Ganj"
Deeptex,+91 94151 29381,"80/68, Railway Rd"
Maharaja Garment,+91 94549 43243,"Shop No.132, Jain Market, 33/114, Meston Rd"
Rachit Enterprises,Open ⋅ Closes 9PM,"51/45, Ganesh Market, Ramganj Rd"
Pratap Clothes Wholesaler,Closes soon ⋅ 8PM,Bhiharilal Gupta Rd
Milan Wholesale Dealers,+91 72751 84253,"Shop No. 14, Ajay Complex, Railway Rd"
Gandhi Cloth House,+91 93056 75276,"Shop No.49/79, Bhiharilal Gupta Rd"
Shankar Cloth Store,+91 99359 98111,"32/65, Ghumani Bazar Rd"
S. Shanti Marketing,+91 97922 02804,"'JAMUNA BHAWAN', 104-A/329, 80 Feet Rd"
Fancy Textiles Store,+91 93361 08687,"97/172, Colonel Faruque Rd"
Patel Garments,Open ⋅ Closes 11PM,+91 86874 37036
Sir Garments,+91 93354 98380,"Shp No. C 9, Railway Rd"
Aashiq Hussain Cloth Merchant,+91 98397 81352,"100/369, Colonel Faruque Rd"
Urban Dress Code,+91 96210 70909,"Shop No. 12, Ajay Complex, Bans Mandi Rd"
Delhi Garments,+91 94151 30022,"98/30, Azimullah Ave"
Angel Fashion,+91 91989 74448,96/42 Colonel Ganj
Soni Garments & Cloth,+91 93361 01399,"Shop No. 19-20, Hamraj Complex, Basement,, Bansmandi, Cooperganj,"
Gupta Textiles,+91 94500 53859,"50/37, Halsey Rd"
Arvind And Company,+91 512 236 7958,"74/31, Kulibazar Rd"
Alok cloth dealers,+91 93350 99475,"Shop No. 50/2, Bhiharilal Gupta Rd"
Gsahab.com Kanpur,Open ⋅ Closes 9AM Fri,+91 94509 30260
Sudha Hosiery,+91 96952 89792,"Shop No.27, D-13"
Suresh Textile,+91 94150 50628,"54/7, Naya Ganj,"
Dheeraj Trading Company,+91 98398 19996,Cooperganj Super Humraaz Complex Bansmandi Shop no 13
Jai Maa Traders,+91 99842 79612,"A-1,2, New Hamraj Market, D-6, Railway Rd"
Manju Readymade Footwear and Bag House,+91 83820 48624,"Shop No-12,Soniya Market"
R. K. Enterprises,+91 73794 44494,"Shop No. L.G.F.A.-1,2, Ajay Complex, Cooperganj,"
Shri Radhey Textile,+91 93368 70920,"Shop No.D-4 , Ground floor., Super Hamraj Complex,, Bansmandi, Cooperganj,"
Roongta & Co,+91 512 239 4885,"58/54,a Birhana Road, Kanpur"
S. Neeraj Kumar & Co.,+91 94157 36429,"51/10, Ramganj Rd"
Baba Enterprises,+91 98391 86156,"Shop No. A-5, Railway Rd"
R k traders,+91 93361 01894,Kishan Tower
Mahajan Handloom,+91 98387 70770,"124-B/163, Main Road,"
Mohan Lal Murari Lal,+91 72755 02657,"33, 198-A, Ghumani Bazar Rd"
M.A. Brothers,+91 512 236 3422,"Kishan Tower, 55/108, Bhiharilal Gupta Rd"
R.Kumar Agency,+91 92352 44212,"No:49/72, Ramganj Rd, Hingwali Gali"
Mahesh Traders,+91 512 234 0520,"A-4, Ground Floor, 80/68, Railway Rd"
Kadambari Traders,+91 94151 34985,"Shop Number. 55/115, Bhiharilal Gupta Rd"
Real Traders,+91 99181 11191,Bans Mandi Chauraha
Garib Nawab Traders,+91 88745 71372,"Shop No. 12-8, Ground Floor, Ajay Complex, Railway Rd"
Satguru Textile,+91 94151 29411,"Jhajharia Market, 4, Bhiharilal Gupta Rd"
DHEERAJ TRADING COMPANY,+91 93357 68260,"Cooperganj Bansmandi Super Humraaz, 12, 13"
Chawla Hosiery Factory,+91 99352 03434,"118/277, Kaushalpuri, Opp. Sanatan Dharm Education Centre, Hanuman Park Lane"
SALAH TRADERS,+91 78609 45786,"Super Humraaz Ground floor j-12, Baansmandi"
Mohini Foot Wear,+91 99563 11566,30 A G.T.ROAD Kalyanpur
ALL IN ONE SHOPPING MALL,+91 76180 17017,108/36 LENIN PARK P.ROAD
Subham Enterprises,+91 90444 48380,48/252
H.R MARKETING,+91 99350 14327,"Bansmandi Shop no 4,5"
Pataudi Traders,+91 93362 30177,"E-7, 2nd Floor, Hamaj Complex, Latouche Rd"
Pairasingh Sitaram Sons,+91 94150 50214,"55/115, General Ganj, Kanpur"
__,,+91 96962 06969
Gandhi Sales,+91 99560 96796,"Shop No. D-1,2,3. 80/79,Ground floor,, Super Hamraj Complex,, Bansmandi, Cooperganj,"
Axiomplus Export,+91 93893 13048,"97/290 Readymade bazar, Kanpur"
B.N. Traders,+91 87995 99290,"Shop No.31, D-7"
Shree Radhe Hosiery,+91 93357 48771,"Shop No.11, B-6"
shri shyam sewak sales,+91 94151 31842,107/74 jawahar nagar kanpur
Priya Textiles,+91 94151 30280,"51/1, K.K. Garg Market, Ramganj"
Bombay Fashion,+91 93358 26584,"Shop No.L.G.D-8, 80/68, Railway Rd"
Shyam Distributors,Open ⋅ Closes 9PM,"Shop No.48/221, Bhiharilal Gupta Rd"
Ashirwad Suiting House,+91 90442 66100,"Shop No 18 32/41-B, Mehrotra Market Ghumni Bazar"
Shri Bankey Bihari Traders,+91 93358 99466,"32/63, Ghumani Bazar Rd"
Niyaz Garments,+91 83170 18173,"Shop no. 93/24, Halsey Rd"
Prisha Garments,+91 97186 96577,"Shop No. L.G. 1 & 2, Shri Bihari Ji Hosiery Market, 75/6, Halsey Road, Kanpur Nagar"
Shyama Shyam,+91 94373 72525,"F-4, Under Ground, Hamaj Complex, Latouche Rd"
Soni Garments,+91 93361 01399,"Shop No. 22, 23, Hamraz Complex, Latouche Rd"
Narendra Kumar And Company,Closes soon ⋅ 8PM,"Shop No.48/223, Bhiharilal Gupta Rd"
Mahalaxmi Traders,Closes soon ⋅ 8PM,"IInd Floor, Aryan Complex, Railway Rd"
M/s Ved Prakash Khanna,+91 98390 36390,"55/113, Near Kanpur Kapda Committee"
shri ram textile,+91 93070 18474,50/123 naughra
Mulani traders,+91 97921 02040,"B-16, 17, G Floor, Hamraz Complex"
Swati Traders,,+91 94541 38919
Sarvi trading company,+91 99354 27061,"80/77 D , jai jawan jai baba market Basmandi Near Hamraj complex"
Khushi Handloom,+91 93361 12074,49/27 Sinha Market
Amit Sales,+91 90448 64398,"Shop No.6 & H-3, Ground floor,, Super Hamraj Complex,, Bansmandi, Cooperganj,"
Tulsi Textile,+91 98396 65135,56/57 Kahoo Kothi
Ambica Company,+91 93361 21302,"32/41, Bhiharilal Gupta Rd"
The junction _ mumbai fashion,+91 88508 31767,"New light tailors, shop no. 58 , juhi, agarwal market, Hamirpur Rd"
Amit Traders,+91 93057 60555,"Basement, Hamraj Complex,, Cooper Ganj,"
Choice Traders,+91 84266 23428,"Shop No. 13-B, Ground Floor, Ajay Complex, Railway Rd"
Swarnim Fancy Wear,+91 97920 03516,"Shop No. 3, 4, Under Ground, Hamraj Complex, Masood Complex, 80/76, Railway Rd"
Daulat Ram Arora,+91 94150 52585,"Shop No. 50/27, Bhiharilal Gupta Rd"
Mahesh Fashion,+91 93361 08221,"Shop No. 1-2, Ground Floor, Hamaj Complex, Latouche Rd"
Moti Lal Gupta Cloth Company,Closes soon ⋅ 8PM,"55/7, Shiwala Rd"
Orange Girls Wear,+91 93350 36630,96/15
Raees garment,+91 80905 55448,"Shop no 2 ground floor, 92/13 a"
Afak Garments,+91 98389 24046,"Shop No.88/507, Jubilee St"
S .M. Garments,+91 91986 93065,"Shop No. B9-10, Masood Complex, 80/79, Railway Rd"
Wish Garment,+91 93052 11438,"Lgf A11, Ajay Complex, OPP Hamraj Complex 85/29, Laxmi Purwa, Cooper Ganj,"
Shree Bimla Garments,+91 98383 33741,Shop No.B-15 Hamraj Complex
Sapna Traders Girls Wear,+91 93890 34855,80/73 Near Ganga Oil Mill
In Fashion,+91 93698 67090,"Shop No. L-G-A6, 80/68, Railway Station Road"
D.S Garments,+91 96215 36999,"75/6 Shop no 1, Halsey Rd"
"BRANDED MENS WEAR - TSHIRT, SHIRT, JEANS AND PRE WINTER TSHIRTS (KNIGHT POLO LIFESTYLE COMPANY)",+91 70077 01107,127/882
G.S.Clothing,Open ⋅ Closes 9PM,+91 98391 03700
Arora Traders,+91 512 324 6520,"55/134, Bhiharilal Gupta Rd"
Gyan Textiles Private Limited,+91 94541 43412,"80/79-D, Masood Complex, Shop No. 10, Ground Floor, Basement, Railway Rd"
Sanjay Trading Company,+91 93361 06424,"B-3,C-3,1st Floor, 80/68, Railway Rd"
Mahadeva Collection,+91 76188 89997,"A-7, Ground Floor, Hamaj Complex, Railway Rd"
Shree Shyam Travels Group,+91 78970 84444,"Shop No.A12,13, Basement, Ajay Complex, Railway Rd"
CHAUDHARY SAHIB & CO.,+91 76078 87802,"95/61, B MUMTAJ MARKET, OPP KALLUMAL STREET, NEAR DADA MIYAN CHAURAHA,"
Shree rama hosiery stores,+91 94151 33654,B 7 gf 73/18 kanpur hosiery market collector Ganj
Deepali Traders,+91 96161 03930,"Shop No. D-7, Basement, 80/68, Railway Rd"
Khushi girls wear,+91 80908 72854,"Shop No. B-10 Ground Floor, Railway Rd, Hatia"
Enjoay 11 - V.S. Traders,+91 93361 16447,"Shop No.15-B, 3rd Floor, Hamaj Complex, Railway Rd"
Zainab Naqab store,+91 96950 71175,101/114 Qadri Market
Ada Creations,+91 95653 15555,15/57-10 Jagannath Bhawan Nand Gaon Colony
Daya Shankhar Depesh Kumar,+91 98398 03258,"32/58, Ghumani Bazar Rd"
Nancy Collection,+91 80054 63649,"Shop No.D-4,5 Ground Floor New Humraj Complex"
Vinayak sales,+91 96481 13840,"Hamaj Complex, B-3"
New U.P.Cloth House,+91 99356 63029,Colonel Faruque Rd
Trimurti International,+91 512 239 0819,"56/57, Kahoo Kothi, Near Sarika Hotel"
Aradhya traders,+91 93892 42820,"Shop no. 11,12 , super hamraz phase 2 Copper ganj , basmandi"
Kirpa Ram And Sons,+91 94501 23395,Shop No. 55/53
Karan Traders,+91 79056 93701,Shop No.D-6 New Humraj Complex
Baba process,+91 73099 13999,"U.G, B-6 , kanpur hoisery market"
Readymade Garments,+91 99560 96292,"A-5, 131/111"
Anand Fashion Garments,+91 74999 97603,Service Ln Rd
jockey wholesale store,+91 94154 41888,State Highway 58
Gulab Exports,+91 99365 81885,"Shop No.40, LGA-4"
