"List_name","List_Mobile","List_Address"
"Krishna Garments","+91 94529 68555","New Radha Krishna Market, Near Sidhnath Mandir, Yahiya Ganj,, Nadan Mahal Rd"
"Ashika Garments","+91 94151 07460","244/62"
"J. K. Garments","+91 99191 92783","Shop No G-17-18, Mumtaz Market, Gate No-3, Aminabad, Near Pratap Market, Aminabad"
"Kurtabazaar","+91 93364 75115","L-1/42"
"Vinod Kumar Jain Clothing Wholesale","+91 93354 84933","Daliganz Rd"
"Lucknow Chikan Wholesale","+91 74082 42361","""they dye and stitch properly, got the dress in USA within 12 days, ..."""
"ORN Clothing Private Limited","+91 90440 72224","1st Floor, Marina Annex Plot 34, Tedhi Pulia Ring Rd"
"Sunil Cloth House","+91 93359 10588","Mumtaz Market, Shop No 7 Garg Opp College, Pratap Market Rd"
"Poison Mens Wear","+91 96161 59786","shop no5, Rajdhani Complex, Lucknow"
"Traditional Chikan Clothing","Open ⋅ Closes 9PM","+91 93057 80166"
"M BROTHER'S GARMENTS","+91 70072 01652","SECOND FLOOR, Shagun Plaza"
"Taj Hosiery","+91 93075 82647","Opp -Sant Kabir Market, Chauraha, Lucknow"
"Kamal Dresses","+91 84190 64664","B-99,Sector C,Wireless Chauraha,Mahanagar,"
"Awadh Garments","+91 93369 31280","Shop no-4, Jwala Complex, Nehru Cross, Yahiya Ganj,"
"Kafi Chikans Nazira Bad Lucknow U.P.India","+91 99563 22138","Nasirabad Road, Nazirabad, Aminabad"
"Haris Chikan Art","+91 93070 86975","A-4, Ahmad Hussain Market, opp. Chowk Police Chowki, Victoria St"
"Gyan Cloth House","+91 522 262 0367","11/A, Pratap Market Rd"
"On Time Fashion","+91 98890 56665","Nadan Mahal, Kadim"
"N.K.Garments","+91 93358 03779","Prasad Complex Loha Bazar, Lucknow"
"Krishna Enterprises","+91 98390 13135","332/5A, Gole Darwaza Chowk"
"Archana Sharee Center & Readymade Garments","+91 94543 48261","Mishra Market, Near M.D. School, Gaurbheeth Road,"
"Agarwals Packers And Moⱱers Lucknow","+91 63900 39004","365/15, Alamnagar Mohan Rd"
"Lucknow Chikan Udyog","+91 98389 31844","First Floor Shop 9A ,Arohi Trade Centre, Chowk, kamla nehru marg"
"New Varaity Garments","+91 78607 37102","Nehru Cross Chauraha, Opp. Sher Wala Mandir Near Arun Ki Chakki Yayhiyaganj"
"Dhumwati Garments","+91 99350 39772","Nadan Mahal Road, Nadan Mahal Road Nakhas, Gurudwara, Nakhas"
"J.D.Hosiery","+91 76079 47144","Prasad Complex, Near Pal Market, Yahiyaganj, Lucknow"
"A.K Chikan Factory","+91 98399 42625","Chowk,kusumdeep Complex,shop no:D-1"
"Sheetal Chickan Udhyog","+91 94503 96960","Kastoorbah Market"
"Rinkoo Wears (Readymade School Uniforms, Lab Coats)","+91 94155 43239","Pratap Market Rd"
"Chicken Shoppe","+91 80813 94197","Nazirabad"
"V2Marketing","+91 522 400 8283","B-30, Sector-C, Aliganj"
"Akash marketing","+91 85428 13057","A-83, Santpuram, harihar nagar"
"R.R. CHIKAN EMPORIUM","+91 94541 09334","310/11,kotwali road ,opp central Bank, chowk, lko"
"Kashvi By ENS Creation | Banarasi Saree /Suit/Dupatta in Lucknow","+91 94152 74196","Mudra Complex, Madan Mohan Malviya Marg"
"J R Collections, lucknow","Open 24 hours","+91 94154 10042"
"Paras Ram Chikan Industries","+91 96482 50756","Shop No.6, Khun Khun Ji Road,, Victoria St"
"Tandon Sons Chikan Manufacturer & Expoters","+91 90263 14392","Gol Darwaza, e"
"Kashish collection Lko","+91 87999 77999","B-1/24,, Sector G Main Rd"
"shikhar chikan centre","+91 98397 00151","D25 Goround Floor Kusumdeep complax chowk Lucknow"
"Universal Distributors","+91 84000 00577","5/220, 5/220"
"Lal behari Tanadon","+91 97954 18866","Gol Darwaza, sarrafa"
"Garha Bhandar","+91 91613 22741","Faizabad Rd, Near Spencers"
"Om Baba Prints","+91 522 268 4157","Opposite State Bank, U.G. Markande Complex, Dildar Complex, Opposite Bank Of India, Gangaprasad Marg"
"Kapda Kothi Vastralaya","","Faizabad Rd"
"Bijai Lal Rishabh Kumar Jain Wholesale Cloth","Open ⋅ Closes 9PM","+91 94150 16309"
"Selections Palace","+91 93352 01132","S-92,, Gol Market Chowraha"
"Regalia Enterprises","+91 99560 69412","E-3/701, E-3/701"
"Alok Shukla Hosiery","+91 94157 60696","Shop no 21-22, Jwala Complex,Loha Bazar,,"
"Dixit Hosiery","+91 96210 03801","253/107, Opp. Harayan Woollen., Nadan Mahal Road, Yahiyaganj"
"Best Chikan Suit","+91 94157 56686","Kali Bazar sarai mali khan, Khun Khun Ji Rd"
"Bajrang Hosiery","+91 99364 45581","242/151-152, Lucknow"
"Sahil Garment Shop","",""
"Gopi Garments","+91 97211 85555","New Pratap Market, Shop No. 5, Mangal Bhawan"
"Girish Textiles","+91 93070 39861","Shop No. 133/300, Pyare Lal Market, Durvijayganj, Aminabad"
"Varun Garments","+91 522 402 9171","Nadan Mahal Rd, Near Sidhnath Ji Mandir"
"Ada Suits","+91 92357 04042","1st Lane, Mohan Market, Mohan Market, Near Hanuman Temple, Aminabad"
"Krishna Chikan Emporium","+91 98073 47558","LGF, Arif Ashiana, Chowk, Victoria St"
"Omi sarees","","2, Shivaji Marg"
"Deep Hosiery","+91 99355 20920","244/76, Rakabganj Railway Bridge"
"Readymade Garment","+91 91986 62872","Sitapur Rd"
"Shri Bala Ji Enterprises","+91 98384 28938","Awadh Complex, Nadan Mahal Road, Yahiyaganj"
"Arina Textiles","+91 78606 72206","12-A, Pratap Nagar colony,"
"Globenzion India Private Limited","+91 81150 07041","LS 2/12"
"Sahu Chikan Emporium","+91 93698 79980","Shop No.1, opp,LIC ,Shyam Bazar, Khun Khun Ji Road"
"LUCKNOWI CHIKAN CLOTHES","","+91 89609 26596"
"fashion world","","+91 98383 32711"
"Reculse Clothing Private Limited","Closes soon ⋅ 8:30PM","+91 63922 93039"
"Sunil Textile Proprietor Anmol Rastogi","+91 94538 31372","Regency Awadh Complex, UGF-20, Building"
"R.A.Sons","+91 75249 79397","Ashirwad Bhawan, Pratap Market, Aminabad"
"Bharat Suiting Shirting","+91 1800 22 8990","Purana Bazar, Aminabad"
"Seth Brother's","+91 93359 27271","Gole Darwaja, s.no.7-8, Gota Bazar Chwok lko"
"chikan choice","+91 94514 24098","shyam bazar,khun khun ji road, besmand s.no. 3 chwok lko"
"Sona Garments","+91 87562 20403","Shop No.4,2st Floor,Raj Market, Hanuman Mandir Rd"
"M H Print House","+91 93352 88367","City Plaza, Khursebagh Fatak, Khursebagh Fatak, Ganesh Ganj, Near Saram Fatak, Aminabad"
"M.A.Collection","+91 89600 03344","Bhola Ram Building,Basement Near VipinSarees, Pratap Market Aminabad"
"Sahu Rumal House","+91 97959 37774","Bagh lal ji"
"Lucknow Chikan Emporium","+91 94150 01217","""Nice place to buy chikan worked clothes On resonable price."""
"Simran Cloth House ( Tent Cloth Wholesalers )","+91 99565 63227","288/141,Arya Nagar Road,Naka Hindola"
"Sparkely Factory Outlet","+91 78609 09248","Dwivedi market, opp- sai mandir, indira nagar"
"Panache - Wholesale Fashion Boutique","+91 90442 71549","Shop No. 3, D.D. International Hotel, Gautam Buddha Marg,"
"City Trends","+91 99199 90726","402, Shalimar Titanium"
"Kailash Chikan Palace","+91 99186 09358","Shop-23, 24,prem bazar, Faizabad Road, Near good bakery"
"Maa Durga Hosiery","+91 98393 20916","nadan mahal road, yahiyaganj"
"KASHVI","+91 94152 74196","Madan Mohan Malviya Marg"
"MY APPARELS-LLP","+91 93696 70149","OPP. BUDHESWAR MANDIR GATE,NEXT TO RAJA ELECTRONICS,BUDDESHWAR CHAURAHA"
"Kanpur Hosiery","+91 88539 03077","Hind Plaza, Tehri Bazar Rakabganj"
"RS ,Nazakat Finest Lucknowi Chikan Art","+91 88403 93013","LGF -6,7,8,Kuber Building, Odean Cinema,32-A, Cantt Road"
"Muskan","","Dr Souza Rd"
"Shambhavi Enterprises","+91 80901 81957","112/1,"
"Siddhi Vinayak Enterprises","+91 78974 03403","253/197, Nadan Mahal Rd"
"King Readymade Garments","+91 99350 62063","72, Mumtaj Market, Opposite Mumtaz Inter College, Aminabad"
"Kumar Hosiery - Rumal House","+91 522 407 2433","Pratap Market, Ram Krishna Park, Pratap Market Rd"
"Agrawal Wholesale Clothes","","Bhootnath Mandir Rd"
"Kadambari Chikan","Closes soon ⋅ 8PM","+91 99530 75422"
"Raymonds Garments","+91 93368 88875","98/14, 98/14 Aminabad, Dev Mandir, Aminabad"
"L.R Garments","+91 98897 06578","Rajhanz Complex"
"Bansal's Wholesale & Retail","+91 94150 85568","Ram Bazar,, Opposite KhunKhun Ji, Chowk"
"Lucknow Chikan Wala","+91 94505 88598","205 Ganpati Plaza, Phool Wali Gali"
"Latest Wize Collections","+91 73091 07013","4/485"
"Lucknow Centre Saree","+91 522 261 6681","92/59, Opp. Wholesale Medicine Market"
"Denim Store (Wholesale)","+91 84198 44891","KB Plaza, Shop no.86, ,opp.Leela cinema, Nawal Kishore Rd"
"YUVABAZAAR.IN","+91 78009 84155","Ansal City Centre, 211, Near Tulsi Cinema Lucknow, GTO BPO Rd"
"Anvi Creations","+91 94550 03650","No. 11, Saket Vihar"
"Modage Chikan","+91 94150 61566","D-22-23, Janpath Market, Ashok Marg"
"Lucknow Chikan Factory","+91 93357 28075","L.G.F 13,14 Opp Lohia Park, Beside Kusumdeep Buildings,Arif Ashiyana Complex, Chowk Lucknow"
"Imperial Chikan","+91 99350 10607","UGF 9-10 Harsh Plaza, Mira Bai Marg"
"chikankari","+91 98996 73784","2nd Floor, Shagun Palace, 3, sapru marg Hazratganj"
"Rajwada (Ladies Readymade Garments )wholesale","+91 94150 28330","Rakabganj Chauraha"
"Readymade Garments","+91 522 305 3961","41/27, 41/27 Near Mohan Market, Mohan Market, Aminabad"
"Rida Garments","+91 78602 00300","Button House Lane, Halwasiya Market"
"Biba Apparels- Kids Clothes Online","+91 522 654 0461","G-13, Ground Floor, Phoenix United Mall Lda Colony,, Alambagh, LUCKNOW"
"BIBA Hazratganj","","Open ⋅ Closes 9:30PM"
"Nayaab Lakhnawi Chikan","+91 522 430 9494","2/122"
"Biba Apparels- Printed Dupatta","+91 522 402 7543","Shop No.5 West Block, Hazratganj, CO- BIBA APPARELS PVT LTD- HAZRATGANJ"
"Biba Apparels- Anarkali Suits","+91 522 408 1676","Hig-75-A, Sec-E, Kapoorthala Road Near Radhey Lal Sweets, Aliganj, CO- BIBA APPARELS PVT LTD- ALIGANJ LUCKNOW"
"Biba Apparels- Kurtis Collection","+91 522 407 1452","Uh-3 Eldeco Magnum Plaza Opp Fun Republic Mall, GOMTI NAGAR LUCKNOW"
"Lucknow Chikan Studio","+91 73988 83028","11/426, Vikas Nagar Rd"
"MANAAL'S Creation","+91 90448 23329","shop 1, gole darwaza chwokopp, hina bazar beside haider baksh ki masjid lko"
"Bhola Nath Sarraf & Sons","+91 93352 39750","Gole Darwaza, Sarrafa Bazar, Chowk"
"Gita Vastralaya","+91 94520 39341","Gold View Plaza,, Indira Nagar"
"Mithlesh Traders","+91 99368 44412","133/346, Aminabad Rd"
"J.P. Handloom","+91 522 423 3563","Gurudwara Gali, Kanpur Road, Gurudwara Rd"
"Arun Chikan Centre","+91 93359 27873","B-99, Sector C , Near Wireless Chauraha, Mahanagar Colony"
"P.Kohli & Co.","+91 94520 60190","Shop No-29-B,Janpath Market, Trilokinath Marg"
"Shree Vinayak Udyog","+91 522 391 0515","4, Shyam Bazar, Opp LIC, Khun Khunji Road"
"Chikan Bazar","+91 81748 29500","Vastu"
"Amir Garments","+91 90262 28144","Shop no 5 A,Zara plaza, Akbari Gates, Ek Minara Masjid, Chowk Lucknow"
"Pawan Collections","+91 522 400 3418","179, Aminabad Rd"
"G.S. Garments","+91 99350 70095","Nadan Mahal Rd"
"Sports Line","+91 80819 79754","Shop No-LGF-25, Lucknow Plaza,, Nazirabad Road, Aminabad"
"Mukesh House","+91 522 410 1988","G-1, Avadh Plaza,, Nawal Kishore Road, Hazratganj"
"CLASSIC FOOTWEAR AGENCY","+91 522 326 6060","35, Indra Market, Opposite Mahila College, Aminabad, Indra Market"
