"List_name","List_Address","List_Mobile"
"Kanak fashion world","+91 98891 05349",""
"Neeraj Kumar Jain And Co.","Satti Road, Budhenath Marg","+91 94152 05947"
"Sweta Textiles","Budhenath Marg, Satti Rd","+91 99362 26876"
"A.P. TRADERS","+91 91987 62222","Closed ⋅ Opens 10AM Fri"
"vkcollection","Open 24 hours",""
"Mahesh Saree Center","Pehti Ka","+91 87651 42250"
"Agrawal Collection","In front of . Katara","+91 78977 98711"
"Sourabh Jewellers","+91 99182 66318","Closes soon ⋅ 9PM"
"Muskan Electricals","Rambagh, Hospital Road","+91 73559 22048"
"jessica fashion store","+91 79850 75402",""
"Saurabh garments","+91 87565 51519",""
"Food Paradise","Badli Katra","+91 93696 68428"
"Rastogi Saraff","""New and fancy Jewellers wholesale vikreta.""","Closed ⋅ Opens 10AM Fri"
"New Prem Nagar Clothing","Malviya Nagar","+91 70074 10485"
"GLARING Textiles","Khalawapur, 72","+91 87954 05189"
"People Fashion & Accessories","Madura Fashion AND Lifestyle,pansari Tola OPP. Vijaya Bank","+91 5442 265 909"
"The Raymond Shop","+91 5442 220 538","Closes soon ⋅ 8:30PM"
"Maa Shitla Rugs","Bhatwa Ki Pokhri, Tehsil Road, Mirzapur","+91 78606 61505"
"niraj kumar jain and company","satti road, Trimohani Rd","+91 96160 71919"
"Suraj Kumar Kasera","""... is awesome collection of readymade garment at wholesale price...""","Open 24 hours"
"New Prem Nagar Kids & Mens Wear","Ghanta Ghar","+91 92355 70366"
"Oneness Collection","Ramaipatti : Mahewa Road Auto Stand","+91 88405 08750"
"Peter England","Badli Katra","+91 97213 86362"
"The Raymond Shop","Dakeenganj, Near Allahanad Bank","+91 99366 94000"
"Numero Uno","Shri Ram Associates Dankeen Ganj, Near Allhabad Bank","+91 91409 97829"
"Rinku Khan Cloth Merchant","Bus Stand, Katara Mohalla","Closed ⋅ Opens 8AM Fri"
"Numero Uno","+91 63915 94600","Open ⋅ Closes 9:30PM"
"Shriram Wholesale Bazar","",""
"VANDANA WHOLESALE BAZAR & VANDANA GARMENTS","LAW COLLEGE ROAD RAJATALAB NEAR-SHARDHA INTER COLLEGE","+91 70079 69985"
"Firstcry.com Store Mirzapur Dankinganj Chauraha","Dankinganj Chauraha, Near Allahabad bank","+91 86017 63481"
"Sai Enterprises All Type Popline Fabric Sellar","""Amazing wholesaler.""",""
"Gautam Textiles","+91 88081 95283",""
"ASHUTOSH BHAIJAAN","Closed ⋅ Opens 9:45AM Fri",""
"श्री Keshari Textiles","Barauda Bazar, Nakatua","+91 94159 81554"
"Hot & Cool (Garment Shop)","N-13/209-2C, Between SBI ATM AND BANK OF INDIA, Sunderpur DLW Road, BHU Rd","+91 76180 20000"
"Shahnaz Enterprises","Shop No. 315, Madanpura Rd","+91 542 245 0636"
"Anushree readymade garments","c401 phase 1 V.D.A colony badalalpur, chandmari, varanasi","+91 94528 20007"
"Maa Sankatha Brothers","CK 19/18","+91 93369 05143"
"Suresh Kumar & Co.","Shop No. 79, Town Hall, Guru Nanak Market, Golghar","+91 542 233 3415"
"Tantrik Fashion","B-30/74,Nagwa Near Thana","+91 95605 97019"
"Bharat Silk House","B 25/6","+91 94532 63046"
