"List_name","List_Mobile","List_Address"
"Bansal Fabrics","+91 93341 14877","Patna, Bihar, India"
"Bagga Cloth House","+91 612 225 1195","Patna, Bihar, India"
"Aditi Distributors","+91 94300 34007","Patna, Bihar, India"
"Jai Sri Balaji Creation","+91 93863 61940","Patna, Bihar, India"
"Rex Garments","+91 93861 77023","Patna, Bihar, India"
"Baba n Baby Collection","+91 87579 07931","Patna, Bihar, India"
"Bansal Textile","+91 93042 17214","Patna, Bihar, India"
"Jai Mata Di Readymade Garments","+91 79039 48899","Patna, Bihar, India"
"Ritu Rani Garments","+91 77397 41322","Patna, Bihar, India"
"Fashion View","+91 93863 32828","Patna, Bihar, India"
"Utsav Cutpiece Centre","+91 93345 90374","Patna, Bihar, India"
"P. S. Textiles","+91 94316 62400","Patna, Bihar, India"
"Sai Milan Collection","+91 91999 99949","Patna, Bihar, India"
"Shree Balaji Synthetics","+91 99551 16643","Patna, Bihar, India"
"Patna Cutpiece House","","Patna, Bihar, India"
"Deveel wears Pvt. Ltd.","+91 80042 66438","Bihar, India"
"Vandana Cut Piece Kendra","+91 93348 11250","Patna, Bihar, India"
"Biswanath Prasad & Sons Agencies","+91 612 232 3885","Patna, Bihar, India"
"Siddharth Synthetics","+91 612 230 2972","Patna, Bihar, India"
"Kuldeep Vastralay","+91 88730 36412","Patna, Bihar, India"
"SHREE JALPA TEXTILES","+91 93867 13199","Patna, Bihar, India"
"Memory garments","+91 76459 73738","Patna, Bihar, India"
"Om Prakash Textiles","+91 95708 70854","Patna, Bihar, India"
"Vindhvashni Textile","+91 612 265 0241","Patna, Bihar, India"
"Shyam Bajaj Clothes Shop","+91 70049 76700","Patna, Bihar, India"
"Vaibhav garments","+91 79923 90350","Patna, Bihar, India"
"Shyam garments","+91 73014 09184","Patna, Bihar, India"
"Rameshwar Garments","+91 88828 20277","Patna, Bihar, India"
"Sonu garments","+91 99399 77071","Patna, Bihar, India"
"Sahil garments","+91 93868 05293","Patna, Bihar, India"
"Mens Shirt Wholesaler In Bihar","+91 99109 92704","Patna, Bihar, India"
"Shri Ganesh Handloom Store","+91 93082 87622","Patna, Bihar, India"
"Sodani Textiles","+91 612 268 4269","Patna, Bihar, India"
"Shyam Tex","+91 94708 16999","Patna, Bihar, India"
"B s footwear","+91 93044 60999","Patna, Bihar, India"
