"List_name","List_Mobile","List_Address"
"New Surendra Cloth House","+91 99365 47880","Lal Imli Chauraha"
"Bagh Bahaar Cloth Emporium","+91 93896 72242","Bazar Jalal Nagar, Nighohi Road"
"Gulshaan Garments","+91 91402 70877","Lal Imli Chauraha, Avas Vikas Road"
"Shahid Trader Cotton Center","+91 90268 21505","Nishat Rd"
"Buddhan Kha Cloth Merchant","+91 75051 03900","Jalal Nagar Bazaria"
"V.K. Fancy","+91 94153 26674","Shop No. 2, Naya Bazar Market, Near Tikuniya, Bahadur Ganj, Sadar Bazar"
"shri siddhi Vinayak Mobile Mobile Plaza","+91 91256 36595","Swear bazr"
"ethnicsparsh","Open ⋅ Closes 10PM","+91 76170 10765"
"Ordnance Clothing Factory","+91 5842 223 704","Cantt Rd"
"Khanna Ladies Suit Shop","","Closed ⋅ Opens 10AM Fri"
"shri jagdish jewellers","+91 94521 20818","Ghantaghar Rd"
"Pawan Handloom","+91 96519 20160","Tel Tanki Road, Badujai"
"Royal Fabrics Enterprises","+91 90263 92074","Bahadur Ganj Rd"
"Mahalaxmi Saree Centre","+91 99352 34633","""They provide bulk orders at a very reasonable and competitive price."""
"Bombay Dyeing","+91 94151 19690","Shahjahanpur"
"VK Enterprises","Open ⋅ Closes 11PM","+91 94153 26674"
"Shri Krishna Hosiery","+91 70075 64192","Nishat Road, Tareen Bahadurganj"
"Aman Shop","+91 70078 69580","Near New Aman Tailor, Nigohi Road, Jalal Nagar"
"Roshan Lal Tuli","+91 1800 22 8990","Cloth Merchant, Bahadur Ganj Rd"
"Royal Readymade Garments","+91 93077 44759","Tareen Bahadur Ganj, Near Pachraha"
"alka jewellers","+91 72756 74414","alka jewellers, churi wali gali sadar bazar"
"Raymond Showroom Sadar Bazar Shahjahanpur","Closed ⋅ Opens 10AM Fri","+91 97739 55412"
"Army Cloth Store","+91 94150 60381","Nigohi Road, Jalal Nagar, Bazaria"
"Goyal Cloth House","+91 96161 44955","Near Bank Of Baroda, Hardoi Road, Mishripur"
"S.S. Trading Company","+91 90449 81712","Pachraha Bahadurganj, Sabzi Mandi, Sadar Bazar"
"Shyamnath Puneet Kumar Sarraf","+91 5842 280 166","Bahadur Ganj, Sadar Bazar"
"Pashupati Nath Jewellers","+91 70816 41532","Char Khamba Road Near Sita Mathiya"
"A To Z Collection","+91 90262 65662","Roadway, Near Railway Crossing"
"Nayeem Hosiery","+91 97951 19054","Opp. Levar Hospital, Nagohi Road, Tareen Jalal Nagar"
"Bajrang Hosiery And Mahaveer Handloom","+91 98891 09889","Naya Bazar, Tikuniya, Bahadur Ganj, Sadar Bazar"
"Khushboo Mourya Readymade House","+91 90443 32045","Mishripur, Hardoi Road"
"Kgn General Store","+91 93363 45290","Badujai II, In Front Of Railway Crossing, Town Hall Road"
"Hindustan Sports Co.","+91 93896 48239","Posti Pakad Amba Talkies Road"
"Rajiv Vastralok","+91 95650 78111","Chowk, Gudri Bazar"
"Modern Handloom","+91 94150 60594","Shahar Khas, Dakhini"
"Saheli Fashion Shop","+91 99351 53508","Amba Talkies Road, Hundal Khel"
"Karam Garments","+91 5842 220 301","Govind Ganj Rd"
"Monga Readymade Garments","+91 99360 96363","Govind Ganj"
"TDI Gallery","Closes soon ⋅ 9PM","Katia Tola Rd"
"Peter England","+91 5842 280 410","Shop No. 76, 77 & 78, Ground & First Floor, Govind Ganj"
"Fashion Hub","+91 76680 07136","Ghantaghar Rd"
"Neha garments","Closed ⋅ Opens 10AM Fri","+91 98391 57748"
"V-Mart","+91 93599 63364","Mohalla Khirni Bagh, Bahadur Ganj Rd"
"Malik Stores & Fitness Co.","+91 99844 33776","Govind Ganj"
"Try Readymade Garments","+91 97954 32041","Near Vijaya Bank, Awas Vikas Road"
"COTTON COUNTY","+91 94126 01491","Bahadur Ganj Rd"
"Saak Collection","+91 94151 66931","Tareen, Bahadurganj"
"Banarsi Lal Tuli And Sons","+91 80908 93011","Bahadur Ganj Rd"
"Reyaz General Store","+91 90441 50937","Badujai II, Near Roadways Railway Crossing"
"Bombay Artificial Jewellery","+91 83180 26214","Mahmand Haddaf, Near Madarsa Ain-Ul-Ilm"
"Kanpur Royel Leather","+91 91692 46890","Malkhana More, Ghantaghar Road"
"Hastkala Designer","+91 74560 53201","Govind Ganj, Sadar Bazar"
"BlackBerrys","+91 98393 84402","Lal Imli Chauraha"
"Mw Mens Wearhouse","+91 82992 58943","Krishna Nagar Colony, Near Rudhransh Gun House, Jail Road"
"Flying Machine","+91 98394 23020","Moti Chowk, Kotiwali Road"
"Planet Fashion","+91 98384 27868","Bahadurganj Rd"
"Khanna Brothers / Panchratan","+91 81879 61479","Chauksinath- Phoolmati Mandir, chowk"
"Reliance Footprint","+91 5842 280 815","Bahadur Ganj, Sadar Bazar"
"Fashion Shop","+91 97930 30100","Govind Ganj, Sadar Bazar"
"COBB","+91 94155 28754","Bahadur Ganj, Sadar Bazar"
