Location,Business Name,Website,Address,City,Pincode,Established,Phone1,Phone2,Phone3,Phone4,Phone5,Phone6,Email1,Email2,Email3,Email4
Bhadohi,Kohinoor Woollen Carpet Industries,,Varanasi Allahabad G.T.Road  Bhadohi - 221401  Near Ghatampur,Bhadohi,221401,,919152669248,,,,,,kohinoorwci@gmail.com,,,
Bhadohi,Zohra Rugs,,Staion Road  Bhadohi - 221401  Jalal Pur  Sant Ravidas Nagar,Bhadohi,221401,2001,919616858007,,,,,,altamishkamran@gmail.com,,,
Bhadohi,Shahkar Rugs,http://www.shahkarrugs.com,Chauri Rd  Bhadohi - 221401  Bazar Sardar Khan,Bhadohi,221401,,915414225229,919450789680,,,,,shahkarrugs@sify.com,,,
Bhadohi,Himalaya Collection,http://www.himalayacollection.com,Hig II  Plot 5-12  Jamunipur Colony  Bhadohi - 221401,Bhadohi,221401,,919999019350,919335723032,,-7706959576,-9919991343,,office@himalayacollection.com,office@himalayacollection.com,,
Bhadohi,Saif Carpets Pvt Ltd,http://www.saifcarpets.com,Post Box 59  4  Ayat Road  Bhadohi - 221401  Himmatpur Srn  Bakuchia,Bhadohi,221401,,915414228908,915414226208,9.15414E+11,+91 9936001321,,,saif@saifcarpets.com,info@saifcarpets.com,shamim@enayarugs.com,info.uae@saifcarpets.com
Bhadohi,Husaini Oriental Rugs,http://www.husainiexports.com,Post Box-14  By Pass Raod  Bhadohi - 221401  Jamunipur,Bhadohi,221401,1989,915414228228,919335970541,9.1989E+11,,,,info@husainiexports.com,contact@husainiexports.com,rehan@husainiexports.com,
Bhadohi,Sangeeta Carpet,,Babusarai  Bhadohi - 221401  Near Ny Inter College,Bhadohi,221401,1988,919415625225,919956367585,,,,,sangeetacarpets@gmail.com,,,
Bhadohi,Asian Exports,http://www.asianexports.co,94  Chak-Saif  Main Road  Bhadohi - 221401  Near-ICICI Bank,Bhadohi,221401,,915414224422,915414224411,9.19616E+11,-9616118932,8042753629,,info@asianexports.co,asianexports.india@hotmail.com,info@asianexports.co,
Bhadohi,Shahkar Carpets,,Shahkar Bazar  Sardar Khan  Chauri Road  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,919335733288,,,,,,,,,
Bhadohi,Insha Carpet,,BHADOHI - 221401  Indra Mill Jalla Pore Nai Basti,Bhadohi,221401,2012,919883251250,919598091000,,,,,,,,
Bhadohi,Mahabir Prasad & Sons,,Main Rd  Bhadohi - 221401  Chak Inyat  Next To ICICI Bank  Opp Bata Shoe Store,Bhadohi,221401,,915414225173,915414227436,9.19919E+11,,,,,,,
Bhadohi,Rugs De Indiska,http://www.rugsdeindiska.com/,Re  Chauri Road  Bhadohi - 221401,Bhadohi,221401,,918726781037,,,,,,,,,
Bhadohi,Indian Art Gallery,http://www.indianartgallery.in/,Carpet City  Chauri Road  Bhadohi - 221401,Bhadohi,221401,,919415201423,,,+91 90052 24446,,,,sales@indianartgallery.in,,
Bhadohi,Capital Carpet Company,http://www.capitalcarpetcompany.com/,Quazipur  Bhadohi - 221401  Near Badi Masjid,Bhadohi,221401,2016,919452561802,919897814182,,+91 94525 61802,,,capitalcarpetcompany@gmail.com,info@capitalcarpetcompany.com,,
Bhadohi,Sunny Exports,,Civil Line Road  Raya  Bhadohi - 221401  Pakari,Bhadohi,221401,,915414224065,919935042784,,,,,,,,
Bhadohi,Bhadohi Carpet House,,No. 255  Nizampur  Mamdeopur  Bhadohi - 221401,Bhadohi,221401,2000,919919825438,,,,,,,,,
Bhadohi,Vishal Carpets,http://www.vishalcarpets.com,Gyanpur Rd  Bhadohi - 221401  Near Telephone Exchange  Olpposite Bluedart,Bhadohi,221401,1985,915414224052,919839143895,9.19839E+11,-9839049803,-8604156530,,vishalcarpets@hotmail.com,vishalcarpets@hotmail.com,vishalcarpets@rediffmail.com,5g@Jr.L
Bhadohi,Maqsood Rugs Centre,http://www.maqsoodrugscentre.com,nayi basti  maryad patti  Bhadohi - 221401  near mother helina public school,Bhadohi,221401,2010,917523936859,919305379555,,,,,mohdtauz18@gmail.com,,,
Bhadohi,Bhadohi Rugs,http://www.bhadohirugs.com,Quazitur Bhadohi  Bhadohi - 221401  Near Badi Maszid,Bhadohi,221401,1990,915414224986,,,,,,bhadohi@bhadohirugs.com,,,
Bhadohi,Kaka Carpets,,Gyanpur Rd  Bhadohi - 221401  Hariyaon,Bhadohi,221401,,915414225571,,,,,,,,,
Bhadohi,Shivang Carpet Pvt. Ltd,,Nayi Bazar  BHADOHI - 221401  Near Sant Mary School,Bhadohi,221401,,915414278456,919415263184,9.19985E+11,,,,shivain@satyam.net.in,,,
Bhadohi,Bokhara Industries PVT. LTD.,,Civil Line  Badohi  Badohi  Bhadohi - 221401,Bhadohi,221401,,915414225391,,,,,,,,,
Bhadohi,Danish Intl,,BHADOHI - 221401  Bzr Salabat Khan,Bhadohi,221401,1952,919335721096,919336581264,,,,,danishintl@sify.com,,,
