Category,Location,Business Name,Url,Website,Address,Area,City,Pincode,Latitude,Longitude,Established,Info,Schedule,Services,Payments,Tags,WhatsApp,Phone1,Phone2,Phone3,Phone4,Phone5,Phone6,Email1,Email2,Email3,Email4
spa,varanasi,The Stylin Chick,https://www.justdial.com/Varanasi/The-Stylin-Chick-Near-Next-to-TVS-Service-Center-Sigra/0542PX542-X542-181231083850-N8Y3_BZDET?xid=VmFyYW5hc2kgU3BhcyBWYXJhbmFzaQ==,http://www.TheStylinChick.com,D 57/3-1  2nd Floor Satshri Complex ( Spencer )  Sidhgiri Bagh Road  Sigra  Varanasi - 221010  Near Next to TVS Service Center,,Varanasi,221010,,,,,Monday 10:00 am - 9:00 pm | Tuesday 10:00 am - 9:00 pm | Wednesday 10:00 am - 9:00 pm | Thursday 10:00 am - 9:00 pm | Friday 10:00 am - 9:00 pm | Saturday 10:00 am - 9:00 pm | Sunday 10:00 am - 9:00 pm,,Cash,Beauty Spas  ,,+919044366617,,,,,,avinashguptaaryan@gmail.com,,,
spa,varanasi,Beauty N Joy,https://www.justdial.com/Varanasi/Beauty-N-Joy-Ramkatora/0542PX542-X542-110915160715-C9X2_BZDET?xid=VmFyYW5hc2kgU3BhcyBWYXJhbmFzaQ==,http://www.beautynjoyvaranasi.com,Piplani Katra  Nati Imli  Ramkatora  Varanasi - 221001,,Varanasi,221001,,,2008,<h1>Beauty N Joy in Ramkatora  Varanasi</h1><p>Beauty N Joy in Varanasi. Beauty Spas with Address  Contact Number  Photos  Maps. View Beauty N Joy  Varanasi on Justdial.</p>  							<p>A destination for wellness and rejuvenation  Beauty N Joy in Ramkatora is a recognised beauty spa. This luxury health spa was set upin 2008   with a view  							to offer the citizens with soothing and revitalizing experience from the everyday stresses of life. This establishment is built on the foundation that the key to well-being  							is relieving stress from live. With this very thought in mind  this venture believes in holistic treatments for detoxing  de-stressing  stimulate and beautify the body and  							mind. Its signature therapies and practices include body therapies and treatments  facial treatments and natural packs and scrubs. In Varanasi  it occupies a prime  							location at Piplani Katra  Nati imli. For the residents of Ramkatora  it is at an accessible location. To get more information on the services  contact this beauty spa on any of the following numbers: +(91)-542-6454888 6454666 6552333 3204022.  Undoubtedly it is one of the best beauty spas in Ramkatora  Varanasi.</p>  							<p><b>Services offered at Beauty N Joy</b></p>  							<p>Beauty N Joy in Ramkatora offers guests a revitalizing experience through its contemporary amenities and impeccable services. At this spa  the services are broadly categorised  							as body therapies and treatments  facial treatments  natural packs and scrubs  nature's intended  express healing and a special event-party-wedding spa. You can also avail the attractive  							packages and special offers on various therapies. The therapeutic practices at this spa include Aromatherapy  Swedish massage therapy  deep tissue massage  hot stone therapy and Thai  							yoga  anti-ageing fruit facial  pure body retreat  aqua marine reviver  rain forest indulgence  plush papaya body polish  coffee body polish  rice scrub and oatmeal scrub. Pay with Cash  Master Card  Visa Card  Debit Cards  Money Orders  Cheques  Diners Club Card  Travelers Cheque  Financing Available  American Express Card  Credit Card.  							Catering to the convenience of their customers  this spa centre functions from 10:00 - 19:30 on all days of the week. </p>  							<p>Please scroll up to view the address and contact details of Beauty N Joy in Ramkatora  Varanasi.</p>,Monday 10:00 am - 7:30 pm | Tuesday 10:00 am - 7:30 pm | Wednesday 10:00 am - 7:30 pm | Thursday 10:00 am - 7:30 pm | Friday 10:00 am - 7:30 pm | Saturday 10:00 am - 7:30 pm | Sunday 10:00 am - 7:30 pm,,Cash  Master Card  Visa Card  Debit Cards  Cheques  American Express Card  Credit Card,Beauty Spas  Beauty Parlours  Salons  Women Beauty Parlours  Bridal Makeup Artists  Thai Spas  Ladies Gyms  Beauty Parlours For Hair Straightening  Makeup Artists  Hair Stylists  Beauty Parlour Classes  Beauty Parlours For Bridal  Beauty Spas For Women  Beauty Parlour Classes For Ladies  Beauty Salons  Personal Gym Trainers  Beauty Parlours For Hair Smoothening  Beauty Parlours For Nail Art  Beauty Parlours For Waxing  Hair Spas  Slimming Centres  Beauty Parlours For Nail Extension  Beauty Parlours For Hair Rebonding  Beauty Clinics For Hair Fall  Beauty Spa Consultants  Beauty Parlours For Fairness Treatment  Facial Sauna Dealers  Gym Consultants  Beauty Parlours For Mehendi  Beauty Parlours For Makeup  Beauty Parlour Product Dealers  Beauty Salons For Children  Beauty Salon Equipment Distributors  Disposable Spa Product Stockists  Personal Gym Trainer For Corporates  Personal Gym Trainers For Women  Beauty Parlours For Hair Massage  Beauty Parlours For Hair Conditioning  Beauty Parlours For Herbal Facial  Beauty Spas (Luxury)  Beauty Parlours For Facial  Beauty Clinics For Skin Polishing  Ayurvedic Beauty Clinics  Beauty Parlours For Pimple Treatment  Beauty Salon Equipment Dealers  Beauty Parlours For Split End Hair Treatment  Beauty Parlours For Dandruff Treatment  Children Beauty Parlours  Beauty Parlours For Body Toning  Beauty Parlours For Aroma Therapy  Beauty Parlours For Acne Treatment  Beauty Parlour Herbal  Beauty Parlour Hair Lighting  Beauty Parlours For Face Lifting  Beauty Parlour Day Make UP  Beauty Parlour Classes For Hair Cutting  Beauty Parlour Classes For Aroma Therapy  Beauty Parlour Accessory Dealers  Beauty Clinics For Aroma Therapy  Beauty Clinics  Beauty Parlours For European Facial  Beauty Parlours For Hair Bonding  Beauty Parlours For Wrinkle Treatment  Beauty Parlours For Herbal Treatment  Beauty Parlours For Skin Treatment  Ayurvedic Beauty Parlours  Beauty Parlours For Pigmentation Treatment  Beauty Parlours For Pedicure  Nose Piercing  Beauty Parlours For Manicure  Beauty Parlours For Hair Weaving  Beauty Parlours For Hair Braiding  Beauty Parlours For Hair Treatment  Beauty Parlours For Hair Style  Beauty Parlours For Hair Streaking  Beauty Parlours For Hair Transplant  Beauty Parlours For Hair Dyeing  Beauty Parlours For Hair Coloring  Beauty Clinics For Laser Photo Facial,,+919152405690,,,,,,beautynjoyvaranasi@gmail.com,,,
spa,varanasi,Park Beauty Salon,https://www.justdial.com/varanasi/Park-Beauty-Salon-In-Front-Vishal-Mega-Mart-Bhojubeer/0542PX542-X542-171207183034-G3Y7_BZDET?xid=VmFyYW5hc2kgU3BhcyBWYXJhbmFzaQ==,http://online.justdial.com/parkbeautysalonvaranasibhojubeer16,Kumari Tower  Bhojubeer  Varanasi - 221002  In Front Vishal Mega Mart,,Varanasi,221002,,,2017,<h1>Park Beauty Salon in Bhojubeer  Varanasi</h1><p>Park Beauty Salon in Varanasi. Beauty Consultants with Address  Contact Number  Photos  Maps. View Park Beauty Salon  Varanasi on Justdial.</p> 						<p><h2>Location and Overview:</h2></p> 						<p>Established in the year 2017  Park Beauty Salon in Bhojubeer  Varanasi is a top player in the category Beauty Consultants in the Varanasi. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Varanasi. Over the course of its journey  this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services  have helped this establishment garner a vast base of customers  which continues to grow by the day. This business employs individuals that are dedicated towards their respective roles and put in a lot of effort to achieve the common vision and larger goals of the company. In the near future  this business aims to expand its line of products and services and cater to a larger client base. In Varanasi  this establishment occupies a prominent location in Bhojubeer. It is an effortless task in commuting to this establishment as there are various modes of transport readily available. It is at Kumari Tower  In Front Vishal Mega Mart  which makes it easy for first-time visitors in locating this establishment. It is known to provide top service in the following categories: Beauty Parlours  Salons  Ladies Beauty Parlours  Beauty Salons For Men  Unisex Salons  Bridal Makeup Artists  Makeup Artists  Beauty Spas For Women. </p>  						<p><h2>Products and Services offered:</h2></p> 						<p>Park Beauty Salon in Bhojubeer has a wide range of products and services to cater to the varied requirements of their customers. The staff at this establishment are courteous and prompt at providing any assistance. They readily answer any queries or questions that you may have. This establishment is functional from 10:30 - 20:30. </p><p>Please scroll to the top for the address and contact details of Park Beauty Salon at Bhojubeer  Varanasi. </p>,Monday 10:30 am - 8:30 pm | Tuesday 10:30 am - 8:30 pm | Wednesday 10:30 am - 8:30 pm | Thursday 10:30 am - 8:30 pm | Friday 10:30 am - 8:30 pm | Saturday 10:30 am - 8:30 pm | Sunday 10:30 am - 8:30 pm,,,Beauty Consultants  Beauty Parlours  Salons  Women Beauty Parlours  Bridal Makeup Artists  Makeup Artists  Beauty Salons For Men  Unisex Salons  Hair Stylists  Beauty Parlours For Hair Straightening  Beauty Parlours For Bridal  Beauty Spas For Women  Beauty Parlour Classes For Ladies  Beauty Salons  Beauty Parlours For Nail Art  Beauty Salons For Women  Beauty Parlours For Hair Smoothening  Nail Spas  Beauty Parlours For Hair Rebonding  Beauty Parlours For Waxing  Hair Spas  Beauty Parlours For Nail Extension  Beauty Parlours For Facial  Beauty Parlours For Fairness Treatment  Beauty Parlours For Makeup  Beauty Parlours For Mehendi  Beauty Parlours For Groom Makeup  Nail Artists  Female Make UP Artists  Unisex Salon Services At Home  Male Make UP Artists  Beauty Parlours For Hair Spa  Beauty Salons For Children  HD Makeup Artists  Beauty Parlour Classes For Hair Cutting  Professional Make UP Trainer  Beauty Parlours For Hair Coloring  Beauty Parlour Classes For Make UP  Beauty Parlour Classes For Nail Art  Beauty Parlours For Men Hair Lighting  Men Beauty Parlours For Hair Weaving  Beauty Parlours For Clean UP  Beauty Parlours For Bridal At Home  Children Beauty Parlours  Beauty Parlours For Hair Bonding  Beauty Parlours For Hair Dyeing  Make UP Artists For Films  Beauty Parlours For Hair Extension  Beauty Parlours For Hair Transplant  Beauty Parlours For Hair Streaking  Beauty Parlours For Hair Style  Beauty Parlours For Hair Treatment  Beauty Parlours For Hair Weaving  Beauty Parlours For Manicure  Nose Piercing  Beauty Parlours For Pedicure,,+919152721127,,,,,,firdosk608@gmail.com,,,
spa,varanasi,Hands Of Golden Spa & Salon,https://www.justdial.com/Varanasi/Hands-Of-Golden-Spa-Salon-Near-Crossing-Rathyatra/0542PX542-X542-170707143715-T2Z9_BZDET?xid=VmFyYW5hc2kgU3BhcyBWYXJhbmFzaQ==,http://handsofgoldenspasalon.justdial.com,4th Floor  Kuber Complex  Rathyatra  Varanasi - 221010  Near Crossing,,Varanasi,221010,,,2017,<h1>Hands Of Golden Spa & Salon in Rathyatra  Varanasi</h1><p>Hands Of Golden Spa & Salon in Varanasi. Beauty Spas with Address  Contact Number  Photos  Maps. View Hands Of Golden Spa & Salon  Varanasi on Justdial.</p> 				<p><h2>Location and Overview:</h2></p> 				<p>Established in the year 2017  Hands Of Golden Spa & Salon in Rathyatra  Varanasi is a top player in the category Beauty Spas in the Varanasi. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Varanasi. Over the course of its journey  this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services  have helped this establishment garner a vast base of customers  which continues to grow by the day. This business employs individuals that are dedicated towards their respective roles and put in a lot of effort to achieve the common vision and larger goals of the company. In the near future  this business aims to expand its line of products and services and cater to a larger client base. In Varanasi  this establishment occupies a prominent location in Rathyatra. It is an effortless task in commuting to this establishment as there are various modes of transport readily available. It is at Kuber Complex  Near Crossing  which makes it easy for first-time visitors in locating this establishment. It is known to provide top service in the following categories: Beauty Spas  Salons  Beauty Spas For Women. </p>  				<p><h2>Products and Services offered:</h2></p> 				<p>Hands Of Golden Spa & Salon in Rathyatra has a wide range of products and services to cater to the varied requirements of their customers. The staff at this establishment are courteous and prompt at providing any assistance. They readily answer any queries or questions that you may have. Pay for the product or service with ease by using any of the available modes of payment  such as Cash  Debit Cards  Master Card  Visa Card  Credit Card. This establishment is functional from 00:00 - 23:59. </p><p>Please scroll to the top for the address and contact details of Hands Of Golden Spa & Salon at Rathyatra  Varanasi. </p>,Monday Open 24 Hrs | Tuesday Open 24 Hrs | Wednesday Open 24 Hrs | Thursday Open 24 Hrs | Friday Open 24 Hrs | Saturday Open 24 Hrs | Sunday Open 24 Hrs,,Cash  Master Card  Visa Card  Debit Cards  Credit Card,Beauty Spas  Salons  Beauty Spas For Men  24 Hours Beauty Spas  Thai Spas  Beauty Spas For Women,,+919152573680,,,,,,rajatbahal@gmail.com,,,
spa,varanasi,The World Of Ink & Style,https://www.justdial.com/Varanasi/The-World-Of-Ink-Style-Opposite-Sinaya-Mall-Sunderpur/0542PX542-X542-160518230101-Z1W3_BZDET?xid=VmFyYW5hc2kgU3BhcyBWYXJhbmFzaQ==,http://www.inkstyle.in,Above The Android Gallery  Lanka Road  Sunderpur  Varanasi - 221005  Opposite Sinaya Mall,,Varanasi,221005,,,2017,<h1>The World Of Ink & Style in Sunderpur  Varanasi</h1><p>The World Of Ink & Style in Varanasi. Beauty Parlours with Address  Contact Number  Photos  Maps. View The World Of Ink & Style  Varanasi on Justdial.</p>  		<p><h2>Location and Overview: </h2>A beauty destination  The World Of Ink & Style in Sunderpur  Varanasi has been pampering its clients since 2017. Serving those living and working in and around the area  this beauty destination is one of the preferred places to pamper yourself from head to toe. This establishment understands the needs of today's chic and savvy individuals and strives towards offering a diverse set of expert beauty  styling and grooming services. Aiming to go the extra mile for its clients  it not only helps you look your very best  but also helps you put your best foot forward. Enforcing impeccable quality  hygiene and hospitality standards is in this salon's DNA and is uncompromising on these fronts. It employs a team of competent and skilled professionals who are encouraged to imbibe a customer-centric focus with the belief that a customer is second to none. It is known to keep in tune with trends currently in vogue in the beauty and grooming sector. A growing base of satisfied clients is a clear testimony to its rising popularity with the citizens. Conveniently accessible  find it on Lanka Road  Opposite Sinaya Mall. </p>  		<p><h2>Services offered at The World Of Ink & Style:</h2></p> 		<p>The World Of Ink & Style in Sunderpur offers you a comprehensive range of beauty services that are designed to let you escape into a world of indulgence. Pamper yourself to a host of services that cover the essentials - like haircut  waxing  threading  manicure  and pedicure - to a bouquet of exclusive services  that span from hair styling to herbal facials. Slip into a state of bliss with the specialised spa treatments and services. This parlour not only pampers you through its treatments but also helps you to de-stress and unwind. The bridal packages are specially designed to make a bride-to-be shine on her very special day. The professional and well-trained beauticians and stylists make sure you are well taken care of. Pay a visit to this centre from 11:00 - 21:00. </p><p>Please scroll to the top for the address and contact details of The World Of Ink & Style at Sunderpur  Varanasi. </p>,Monday 11:00 am - 9:00 pm | Tuesday 11:00 am - 9:00 pm | Wednesday 11:00 am - 9:00 pm | Thursday 11:00 am - 9:00 pm | Friday 11:00 am - 9:00 pm | Saturday 11:00 am - 9:00 pm | Sunday 11:00 am - 9:00 pm,,,Beauty Parlours  Body Massage Centres  Beauty Spas  Massage Centres For Men  Beauty Spas For Men  Body Massage Centres For Unisex,,+919152731826,,,,,,manishpatelvns1994@gmail.com,,,
spa,varanasi,Make and Shine,https://www.justdial.com/Varanasi/Make-and-Shine-Laxmi-Niwas-Chetganj/0542PX542-X542-180211105031-I2N2_BZDET?xid=VmFyYW5hc2kgU3BhcyBWYXJhbmFzaQ==,http://makeandshinevaranasi.justdial.com,Chetganj  Varanasi - 221001  Laxmi Niwas,,Varanasi,221001,,,,<h1>Make And Shine in Chetganj  Varanasi</h1><p>Make And Shine in Varanasi. Beauty Spas with Address  Contact Number  Photos  Maps. View Make And Shine  Varanasi on Justdial.</p> 						<p><h2>Location and Overview:</h2></p> 						<p>Make And Shine in Chetganj  Varanasi is a top player in the category Beauty Spas in the Varanasi. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Varanasi. Over the course of its journey  this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services  have helped this establishment garner a vast base of customers  which continues to grow by the day. This business employs individuals that are dedicated towards their respective roles and put in a lot of effort to achieve the common vision and larger goals of the company. In the near future  this business aims to expand its line of products and services and cater to a larger client base. In Varanasi  this establishment occupies a prominent location in Chetganj. It is an effortless task in commuting to this establishment as there are various modes of transport readily available. It is at   Laxmi Niwas  which makes it easy for first-time visitors in locating this establishment. It is known to provide top service in the following categories: Beauty Spas  Beauty Parlours  Salons  Ladies Beauty Parlours  Ladies Beauty Parlours (Economy)  Ladies Beauty Parlours (Premium)  Bridal Makeup Artists  Unisex Salons. </p>  						<p><h2>Products and Services offered:</h2></p> 						<p>Make And Shine in Chetganj has a wide range of products and services to cater to the varied requirements of their customers. The staff at this establishment are courteous and prompt at providing any assistance. They readily answer any queries or questions that you may have. Pay for the product or service with ease by using any of the available modes of payment  such as Cash  Debit Cards  Credit Card. This establishment is functional from 10:00 - 20:00. </p><p>Please scroll to the top for the address and contact details of Make And Shine at Chetganj  Varanasi. </p>,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday 10:00 am - 8:00 pm,,Cash  Debit Cards  Credit Card,Beauty Spas  Beauty Parlours  Salons  Women Beauty Parlours  Bridal Makeup Artists  Beauty Parlours For Hair Straightening  Makeup Artists  Beauty Parlour Classes  Hair Stylists  Beauty Spas For Women  Beauty Parlours For Bridal  Beauty Salons  Beauty Salons For Women  Beauty Parlours For Waxing  Beauty Parlour Classes For Ladies  Beauty Parlours For Hair Rebonding  Women Beauty Parlours For Body Piercing  Female Make UP Artists  Nail Artists  Women Beauty Parlours For Hair Style  Beauty Parlours For Skin Treatment  Beauty Parlour Classes For Hair Cutting  Beauty Parlours For Pimple Treatment  Beauty Parlours For Pedicure  Beauty Parlours For Manicure  Beauty Parlours For Hair Weaving  Beauty Parlours For Hair Treatment  Beauty Parlours For Hair Style  Beauty Parlours For Hair Streaking  Beauty Parlours For Hair Extension  Beauty Parlours For Hair Bonding  Children Beauty Parlours  Beauty Parlours For Fairness Treatment,,+919152863522,,,,,,Nazishk108@gmail.com,,,
SCHOOL,KANPUR,Billabong High International School,https://www.justdial.com/Kanpur/Billabong-High-International-School/0512PX512-X512-170608113656-B7C3_BZDET?xid=S2FucHVyIFNjaG9vbHMgS2FucHVy,http://www.billabonghighkanpur.com,124  Cantonment  Old Cemetery Lane  Kanpur - 208004,,Kanpur,208004,,,,<h1>Billabong High International School in Kaka Deo  Kanpur</h1><p>Billabong High International School in Kanpur. Schools with Address  Contact Number  Photos  Maps. View Billabong High International School  Kanpur on Justdial.</p> 						<p><h2>Location and Overview:</h2></p> 						<p>Billabong High International School in Kaka Deo  Kanpur is a top player in the category Schools in the Kanpur. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Kanpur. Over the course of its journey  this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services  have helped this establishment garner a vast base of customers  which continues to grow by the day. This business employs individuals that are dedicated towards their respective roles and put in a lot of effort to achieve the common vision and larger goals of the company. In the near future  this business aims to expand its line of products and services and cater to a larger client base. In Kanpur  this establishment occupies a prominent location in Kaka Deo. It is an effortless task in commuting to this establishment as there are various modes of transport readily available. It is known to provide top service in the following categories: Schools  CBSE Schools  Playgroups  Kindergartens  Public Schools  Nursery Schools  Day Care Centres  International Schools. </p>  						<p><h2>Products and Services offered:</h2></p> 						<p>Billabong High International School in Kaka Deo has a wide range of products and services to cater to the varied requirements of their customers. The staff at this establishment are courteous and prompt at providing any assistance. They readily answer any queries or questions that you may have. </p><p>Please scroll to the top for the address and contact details of Billabong High International School at Kaka Deo  Kanpur. </p>,,,,Schools  CBSE Schools  Playgroups  Kindergartens  Nursery Schools  Day Care Centres  Public Schools  Creche  International Schools  Schools Nursery To X,,+919152599936,,,,,,,,,
SCHOOL,KANPUR,Bnsd Shiksha Niketan Inter College,https://www.justdial.com/kanpur/Bnsd-Shiksha-Niketan-Inter-College-Benajabar/0512P512STD58070_BZDET?xid=S2FucHVyIFNjaG9vbHMgS2FucHVy,http://www.bnsdsnic.in/index.html,Kanpur - 208001  Benajabar,,Kanpur,208001,,,,,Monday 9:30 am - 12:00 am | Tuesday 9:30 am - 12:00 am | Wednesday 9:30 am - 12:00 am | Thursday 9:30 am - 12:00 am | Friday 9:30 am - 12:00 am | Saturday 9:30 am - 12:00 am | Sunday Closed | day Closed,,Cash,Schools  ,,5122559834,5122555688,5122545491,,,,,,,
SCHOOL,KANPUR,B N S D Inter College,https://www.justdial.com/Kanpur/B-N-S-D-Inter-College-Chunni-Ganj/0512PX512-X512-130628121126-F2Y1_BZDET?xid=S2FucHVyIFNjaG9vbHMgS2FucHVy,http://bnsdintercollegekanpur.justdial.com,Chunni Ganj  Kanpur - 208001,,Kanpur,208001,,,,,Monday 10:00 am - 5:00 pm | Tuesday 10:00 am - 5:00 pm | Wednesday 10:00 am - 5:00 pm | Thursday 10:00 am - 5:00 pm | Friday 10:00 am - 5:00 pm | Saturday 10:00 am - 5:00 pm | Sunday Closed,,Cash,Schools  ,,,,,,,,,,,
SCHOOL,KANPUR,Mariampur School,https://www.justdial.com/KANPUR/Mariampur-School-Shastri-Nagar-Filkhana/0512P512STD3104236_BZDET?xid=S2FucHVyIFNjaG9vbHMgS2FucHVy,http://www.mariampurschool.org,Filkhana  Kanpur - 208001  Shastri Nagar,,Kanpur,208001,,,,,,,,Schools  ,,5122216638,,,,,,,contact@mariampurschool.org,,
