List_name,List_Mobile,List_Address
Deo & Sons,097591 87187,83 ram Vihar phase 2nd devri road ukhra road
Kela Devi Garments,+91 93585 03579,"Sewla Rd, Sewlajat Gwalior Rd"
Shri Laxmi Cloth Store,+91 562 225 0944,Vaidh Gali
Rahul Trading Company - linen distributor in Agra,+91 98972 65499,"Block No C-24 Shop No.13-14, Cloth Market Opp G.G. Nursing Home, Sanjay, Place"
Shri Ram Collection,+91 88816 80303,Shri Durga Market Manpada Subhash Bazar
AJ STYLESITY FASHION ADDAA,+91 96392 02032,"11C/383 Jwala Nagar Naraich, Devi Singh Jnr. High School Behind C-800"
Subhash Handloom House,+91 87918 40287,19/88 Peer Kalyani Moti Lal Nehru Road
K. V .Cloth Store,Closes soon ⋅ 8PM,+91 74099 84335
Sai Nath Garments Collection,+91 97597 85429,Miyapur Kalalkehriya Fatehabad Road
Lavania Textiles,+91 87555 70557,"F-12, First Floor, Aparna Mall,, Hospital Road"
Sunny Traders,+91 98974 19040,"Shop No -33, Chili Int Road Ghatia Azam Khan , Jeevan Jyoti Complex"
Aamira,+91 70176 72621,"11/188, ghatia Azam khan"
Handloom Emporium,+91 94114 62332,36/236 Nehru Nagar Between Bhagwan & Heera Cinema Bye Pass Road
Hajari Lal Gopal Das,+91 93191 09126,"Block No.22, Shop No.7, Wazirpura Rd"
Raymond Agarwal Textiles,+91 1800 22 8990,Wazirpura Rd
Mittal Associates,+91 94120 65485,"1st Floor,Block No.22,Shop No.1, Wazirpura Rd"
R.K Enterprises,+91 98370 02547,"Shop No.7, Block No.22, Shop No.7, Wazirpura Rd"
Sree Laxmi Enterprises (KOTTON HOUSE),+91 93585 36940,"C-8 /1&2 Cloth Market, Back of Hotel Awadh,"
Ess Ess Fabrics,+91 93590 73939,"Block -20, Shop No.7, Wazirpura Rd"
Jezara Enterprises,+91 84390 75053,"Shop No.4,B.G.Block No.C-12, Cloth Market Near Indian Bank, Sanjay Place"
Balram Textiles,+91 90270 11255,Daresi Rd
Balram Textiles,+91 90270 11255,Daresi Rd
Rajendra Prasad Satendra Kumar,+91 94108 39468,Daresi Rd
Bishambar Nath & Brothers,+91 95281 75617,Daresi Rd
Daudayal Agarwal & Sons,+91 94125 92859,Hospital Rd
Anil Store,+91 97604 18937,VIP Rd
Haresh Footwear,+91 87551 66650,"Budera Mod, Fatehabad Rd"
Ram Chand Cut Piece Centre,+91 94102 54858,"5, Chilli Int Rd"
Retail riders,Closed ⋅ Opens 11AM Mon,+91 93681 49149
Kishori Lal Vijay Kumar,+91 562 226 7025,Daresi Rd
Syranger,+91 88698 84088,"Shop No.UG-22, Mahadev Palace, Bodla Road"
Agarwal Suit Collection,+91 97607 87778,3/176 opp.jain mandir Roshan Moholla Subhash Bazar Near jama masjid
Naveen textile agra,+91 70271 32508,Kaharai Mod
Narayan Das Cloth Printers,+91 93194 71492,"17/149, Hospital Rd"
disha hosiery,+91 78959 45566,"jama masjid, 81 subhash bazar"
Ram Chand & company,+91 98372 56877,3/7 manpara subhash Bazar agra
Mirobh fashion house,,+91 80779 89661
Vaishno Devi Cloth Store,+91 97607 87778,Roshan Moholla Subhash Bazar
Ajay Cloth Store,Open ⋅ Closes 10PM,+91 94584 69015
Sai Traders,+91 93582 30366,"1st Floor, Jai Palace , Daresi No.2,"
yash enterprises,Open ⋅ Closes 10PM,"51, New"
PMEARV,+91 82679 69827,Sita bhawan B-403 might
Aviral,,607 krishna tower
chanchal,,+91 94126 71069
Kishan Chand Haresh Kumar,+91 97194 00768,"Daresi No. 1, Daresi Rd"
Ajay Kumar Agrawal,+91 99970 89980,Daresi Rd
Puroshottam Dayal Goyal & Co.,+91 98371 14707,"19, Daresi Rd"
SalwarDunia.com,+91 91664 42829,"B 73, MIG, Shastripuram"
Hitesh Dupatta House,+91 98375 17087,"Subhash Bazar, Jama Masjid Rd"
Banwari Lal Haresh Chand,+91 98089 26726,"8, Daresi Rd"
Chadammilal Vasudev Prasad,+91 94122 57001,Daresi Rd
Indian Textiles,Open 24 hours,+91 70609 79790
Hariom sharma,,+91 94119 23252
Kamal Cloth Store,+91 99171 05961,Hospital Rd
OM SHRI SAREE CREATION PVT. LTD.,+91 86500 14312,3/161
Shri Shyam Ji Shoe Center,+91 94566 84896,Agra - Jalesar Rd
Liyana traders,+91 93599 23810,"Shop no.69,Subahsh bazar"
liyana Traders,+91 93599 23810,shop no.69
New India Wholesale Supplier,+91 98371 10066,Collectorate Road Near Jigyasa Palace
Madhusoodan Traders,+91 96756 37825,Fatehabad Rd
RAM DAS AND CO,+91 99175 12022,14 AJIT MARKET SUBHASH BAZAR
Raja Cutpiece Centre,+91 97191 62133,"Durga Market, Manpara Subhash Bazar"
M/S RAJ KUMAR SADHWANI,+91 76699 71776,24/243
Tanvi Ladies Corner,+91 90451 98114,"612, Rambagh Road"
Anu Exports Pvt Ltd,+91 99974 55666,"94/1 Opp. Roadways Office, Gwalior Rd"
Purani Dotiyon Ke Thok Vikreta,+91 93195 73291,Delhi - Mathura Hwy
Lavanya Apparel And Footwear,+91 562 404 1291,"Shop No.6/2, Church Rd, Ram Nagar Colony"
MENS WEAR,+91 98972 30861,"230, Gurudwara Rd"
Raajko Garments and Alka General Suppliers,+91 98087 07051,"29/40 A, Raja Mandi Rd"
M.K. Trading Company (Wholesale Saree Showroom),+91 88995 33332,"11-12, 1st Floor , kashyap Market , Mankameshwar, Daresi No. 1, Agra-4"
KD Optical and Watch Mobile,+91 96345 08427,Shamsabad Road
Mayra,+91 98377 54555,"23/339, Building Name:Mayra, Wazirpura, Near Shah Market"
Agra Fancy Payal,+91 92591 99436,17/72/5
M.A. Exports,+91 562 288 0101,"69,Natraj Puram,Kamla Nagar, Kaveri Mandir"
Kohinoor Exepeller Industries,+91 93195 04640,"Shop No.28/175, 28/371, Yadav Path"
Mohan Opticals & Watch,,"3, Dayal Bagh Rd"
Rajkumars Apparels Private Limited,+91 98370 14585,"Shop No. 2/210-B, Bhagwati Complex, Mahatma Gandhi Rd"
Kapoor Watch & Opticals,+91 99978 15941,"22/80, Motilal Nehru Rd"
Deepak Store,+91 98374 12002,"21/66, Fatehpur Sikri Rd"
Jaggi & Company,+91 99973 58902,855-b
Agarwal Footwear Design & Consultancy Services,+91 562 252 5765,"Block: 57/G-36, Kaveri Centre, Bagirati Rd"
Sports Zone,+91 98973 26032,"386, Opp. Church M.G Road Sadar Bazar"
Kailash Opticals,+91 92191 58180,"E21/1, Tanki Rd, Bypass Rd"
Wellmen India Agra,+91 70782 23333,"Shyam Vihar Colony,Bada, Kaulakha - Ukharra Rd"
Ujala Opticals,+91 92197 98065,Johari Bazar Rd
"GLOBALSALES, GHATIYA PHULATTI BAZAR,AGRA",+91 90272 39301,"2-JANKI DEVI MARKET, Chilli Int Rd"
Kids Wear,+91 562 246 0102,"48, Shoe Chamber, Hing Ki Mandi, Hing Ki Mandi"
"S.R.Sports Treadmill Equipment in agra, Fitness Equipment service centre in agra, Gym Equipment agra",+91 80570 11188,"38, Paschimpuri Crossing"
MIXKART SOLUTIONS,Closes soon ⋅ 8PM,+91 70179 68235
Satsangi Traders,+91 89548 69788,37 A/206 /4
Biba Apparels- Trousers For Women,+91 562 400 2774,"Shop No. 2 & 3 Ram Raghu Arcade, Civil Line Church Road, CO-RAM RAGHU ARCADE"
Jindal Garments,+91 93599 03987,"32/111, Rakabganj Rd"
NKAK JEWELS,+91 97193 12343,"U.G-08, C R Mall, Church Rd"
Clothes Collection,+91 97590 07355,"11/1 taj road ,Sadar Bazaar"
GLOBAL OVERSEAS,+91 562 227 5054,"1-9-2 Sahitya Kunj, M.G.Road"
Ambica Fashion Point,+91 92597 32390,Rambagh Road
"FaRRy- brand that cares.....,®",+91 97201 22222,"5/72, Bank Of Baroda Rd"
H.S. Enterprise,+91 95571 88125,"Shop no. 1 , Block no. C 12,, Cloth market, Sanjay Place"
Royal International,+91 562 222 7808,"Merchant Chamber, Shop No. 707,708, Royal House, Fatehpur Sikri Rd"
Kay Garima Marketing Agencies,+91 98372 28489,"Iind Floor S No 34-38, Ganpti Arcade Vyas Market, Hospital Rd"
PENPERRY,+91 89091 35599,"M/s Jain Enterprises Shop No. 13, Block, C-20"
SAMBHAV TEXTILE,+91 95288 85807,"Block no 10, Shop no 13, Cloth market Bhind Bank Of Baroda"
KASHI SAREE EMPORIUM,+91 81262 81499,namak ki mandi near piyau kinari bazar
Basant Bahar Hosiery,+91 97603 83096,"29/294, Katra Hazi Hassan"
Agra Leather,+91 93584 58080,"Fatehabad Road Opp. Hotel Gopal, Near Kelash Talkies"
Mughal Bazar,+91 562 400 8463,"304, Fatehabad Rd"
Conway tailors and drapers,+91 98972 98964,"A1 neel kamal building opp anjna cinema, Mahatma Gandhi Rd"
Attraction Point,+91 97606 39644,Church Road
Adarsh Jewellery & Crockery Shop,+91 94122 56615,Pushpanjali Rd
M/s. Gyani Jee Brothers,+91 93192 15050,"Shop Number. 30/131, Rakabganj Rd"
Prakash Watches and Mobiles,+91 89236 46888,"Ukharra Road, Shamsabad Road Rajaram Ki Bagiya, Bagia, Shaheed Nagar Rd"
V.K. Fashion Point,+91 94574 85099,"Shop No.1, Mansa Devi Complex, Gali Mansa Devi"
Aship Cloth Store,Open ⋅ Closes 9PM,Hathras Rd
Arvind Brands,+91 562 401 4511,"Shop No-12, Ground Floor, Taj Pacific Mall, Tajganj, Tajganj"
K. Lal Opticals,+91 94126 71357,Kinari Bazar Rd Kaserat Bazar
Ravi Optical & Watch,+91 89234 59723,Bodla Rd
G.D.Sons(kheragarh wale),Closes soon ⋅ 8PM,+91 562 301 1180
S.N. Saxena & Company,+91 93586 54455,Sangeeta Rd
GM Uniform's,+91 90275 42943,"44 / 95 A Subhash Puram , Bodla"
Dilux Opticle And Watch Company,+91 84779 34052,Sadar Batti Rd
Cloth Store,+91 562 288 3107,"B-502/3, Kamla Nagar, Kamla Nagar"
Assorted Collection - Goodyear Welted Handmade Men's & Women's Leather Shoes Manufacturer,+91 87914 44472,"31/281/C, Saudagar Yunus Building, Sadar Bhatti-Collectrate Road, Opp. Collectrate Gate No. 2,"
Meera Tent Cloth Suppliers,+91 96903 85812,"block-16,shop-10,kapda market,near g.g nursing home"
HEAVENDEER Fashions,Open 24 hours,+91 89791 66976
S.C. Jain And Company,+91 562 252 2600,Labh Chand Market
M/s. Manshi Cloth Emporium,+91 88812 59781,"Shop No. 4B, Amba Prasad Rd, Jeevan Jyothi Hospital Road"
Somya Cloth Store,Open ⋅ Closes 9PM,+91 87914 12850
Khanak Garment,+91 95484 98488,"Minakshi Palace, Amba Prasad Rd"
Krishna Watch And Opticals,+91 98971 35252,"Shop No.37/207, Dayal Bagh Rd"
Y. K. Sons,+91 562 305 9349,"29/70 Raj market Namak ki Mandi, Kinari Bazar"
Kwality Watch And Opticals,+91 92191 01106,"Gwalior Road,Saudagar Lines"
"Best Raymond Shop in Kamla Nagar, Agra- The Raymond Shop",+91 99172 11190,"Shop No 2, Central Business Park, Opp Old, Central Bank Rd"
Manish Store,+91 99978 76410,SN Yadav Rd
Mayra Fashion,+91 86509 25978,"Hazi Babu Complex, Near Gol Complex, Rajpur Chungi"
Winner Collection,+91 89544 43222,Naulakha Rd
Ask School Uniform,+91 562 400 9241,"Block 22, Shop No. 16, Wazirpura Rd"
Manish Store,+91 99978 76410,SN Yadav Rd
Jockey,,+91 94490 02064
Krishna Garments,+91 95481 70581,"Shop No.UG-12, BMJ Complex, Amba Prasad Rd"
Jockey,+91 562 222 6407,Saudagar Lines Rd
Military House,+91 85339 18045,"344, The Mall Rd,Gwalior Road"
Chandra Saree Emporium,+91 75202 92961,"14/10, Hospital Road Near Sindhi Bazar Favara Chauraha"
Adbhut Fashion Studio,+91 84394 36016,"Shop no 11 Nirmal hights, Opp Basant Garden Near Halwai Ki Bagichi, Old, Mathura Rd"
Reema Enterprises,+91 93584 10056,"Shop No.59, Hospital Rd"
Shiva Footwear,+91 93587 64813,Ratan Muni Rd
Peter England,+91 562 404 4334,"Shop No. 2 & 3, Shanti Mall, Church Road, Ram Nagar Colony"
Acfiya Traders,+91 99179 66550,Near Shobia inter College SadarBhatti
Agra payal,+91 96342 01369,Seb Ka Bazar Road
Gupta Fashion Gallery,+91 90583 90670,"Mittal Complex, Kaulakha - Ukharra Rd"
Paras enterprises,+91 92677 38321,4/81 shreera wala pench kacheri ghat agra
"Dobiz now Marketplace - Saree Manufacturers, Exporters, Wholesalers Surat",+91 99114 55759,31/393
Mufti Store,+91 95578 13106,"Shripati Complex, G-1, 2/217, Mahatma Gandhi Rd"
L.B.JEWELLERS,+91 88594 85841,"13/36, Hospital Rd"
Ramkishan Sons Jewellers,,136B/6 Chaubey ji ka phatak
Nitin Silver Chains,+91 95687 51507,chobey ji ka phatak
Chetandas bhoolchand jewellery,+91 96346 17340,"1st floor don bhai ki market khalsa gali, Rawat Para Rd"
Manoj Cloth Store,+91 94121 60127,"7, Jama Masjid Rd"
Shree Durga Cloth Store,+91 562 285 4848,29/151 Raja Ki Mandi
Wal-Mart India Private Limited,+91 120 487 8888,"Site A, A-1, Mathura Rd"
B.M. CLOTHING,+91 95575 52107,"Shop no. 24, 13 A, Bijali Ghar Crossing"
Waho Departmental Store,+91 98676 58942,Khandari Rd
Sai Kripa Collection,+91 93593 18750,"Hospital Rd, Gud Ki Mandi Road"
Anteroflex Outfits International Pvt. Ltd.,+91 84104 49565,Gwalior Rd
Royal Collection,+91 562 688 8003,Hospital Rd
Miss panda by sakshi jarari,,+91 79065 00142
Gutsy big,,+91 80060 03111
Spykar,+91 562 404 0093,"Shop No. 4 & 5,1st Floor, Rajendra Point, Plot No.1, Mahatma Gandhi Rd"
Singh Creations,Open ⋅ Closes 10PM,+91 1800 22 8990
Mafatlal Family Shop,+91 99972 72144,"33/12, Wazirpura Rd"
Apna Udhyog,+91 93688 06474,"29/200, SN Yadav Rd"
Biba,+91 94121 60419,Fatehabad Rd
Bansal Vastra Bhandar,+91 97563 35332,"Shop No. 4/A Gwalior Road, Near Sadar Bazar"
M/S Smt. Parvati Devi Cloth Store,+91 98370 38551,"40, Taj Rd"
GANESH RCM BAZAR AGRA,+91 79067 63429,"H.no.31/166A/6 Near RAJESWAR mandir, Agra Shamshabad Raja Kherah Marg"
Meena Garment Clothes,Open ⋅ Closes 9:30PM,+91 91523 49534
Adidas,+91 562 222 5670,"Shopping Arcade, A-6"
Meenu Belt & Opticals,+91 90457 18670,"Shop No 25, B S Complex Bodla"
Woodland,+91 562 405 7438,"Shop No. 2/208/1, Awagarh House, 1, Mahatma Gandhi Rd"
Prince Sports Emporium,+91 96390 46999,"Taj Shopping Arcade, 45, Gopi Chand Shivhare Rd"
A A R Fashions,+91 562 401 2030,"Block No.S-23, Shop No. 5 & 12"
Shri Vrindavan Saree Kendra,+91 98370 22283,"1st Floor, Ajit Market, Subhash Bazaar"
Nitin Watch Co.,+91 562 410 0591,"Beni Madhav Sarkar Rd Near Naval Kishore Hospital, Delhi Gate"
Lucky Store,+91 92598 23672,Amba Prasad Rd
"The Raymond Shop, Shahganj",+91 89792 55633,"3/27/4, Shahganj Market Rd"
Bata,+91 1800 419 2282,"Vinayak Mall, Raja Balwant Singh Rd"
Shankar Market,Open ⋅ Closes 9PM,Taj East Gate Rd
Max Fashion,+91 1800 419 4455,86/4 Near Bank Of Baroda
Shyam Garments,+91 92195 24630,"31/167/C, Subham complex, Rajpur chunhi, shamshabad road"
Raj Kumar's,+91 98370 14585,"2/210-B, Mahatma Gandhi Rd"
Baba Garments,+91 98979 89409,"23,24,25 Hospital Road Near Shital"
Anoop saree centre,+91 562 225 0060,"Gulab Complex, Johari Bazar Rd"
Biba Apparels Private Limited,+91 562 401 4663,"G-s 06, Ground, Floor, Tdi Mall, Phase-1, Taj Nagari, Tajganj, Tajganj"
Lokpriya Clothing readymade garments and sarees,+91 74099 99944,"B-508, C Block Road"
Bombay Dyeing Store B. D. Collections,+91 99972 72144,"LIC Building, Block no.33/2, Sanjay Palace, Wazirpura Rd"
The Casual Points,+91 89389 24444,"28G, 108"
Ardhangini Fashions,+91 562 400 0033,"236A Bye - Pass Road, New - Agra"
My Space 2,+91 562 400 7009,"G-2 LDK PLAZA OPP. SHRI RAM HOSPITAL CHURCH ROAD, Mahatma Gandhi Rd"
Bachoomal Collection,+91 562 403 2929,"Ground Floor, 1st Floor & 2nd Floor Bharma Enclave, 4, Mahatma Gandhi Rd"
Yuva Zone,+91 98083 85822,"Block C1, Shop No.15, Cloth Market"
KAPDA MANDIR,+91 562 400 9070,50/2
Shyam Lal Baikunth Nath Saree Showroom,+91 87918 38258,Mahatma Gandhi Rd
Dimple Collection,+91 562 405 7046,"E-21, Bypass Rd"
My Space 2,+91 562 400 7009,"G-2 LDK PLAZA OPP. SHRI RAM HOSPITAL CHURCH ROAD, Mahatma Gandhi Rd"
KAPDA MANDIR,+91 562 400 9070,50/2
Shyam Lal Baikunth Nath Saree Showroom,+91 87918 38258,Mahatma Gandhi Rd
Agra Saree Emporium,+91 97602 77793,"Ram Ratan Road, Alam Ganj, Civil Lines"
Planet Fashion,+91 562 405 4337,"No. 5-6, MG Road, Raghunath Nagar, Sanjay Place"
Gupta and Sons,+91 562 654 0407,Taj Rd
Radhika Collection,+91 94125 60271,Hospital Rd
ACPL Exports / Agra Chains,+91 562 716 3800,"132, Nunhai road"
Ruchi Sarees,+91 92592 51500,Dayal Bagh Road Opposite Old New Agra Thana
Numero Uno Jeans Wear,+91 562 400 1800,"L.G-5, Suresh Mall, Mahatma Gandhi Rd"
Levi's Exclusive Store,+91 562 222 5608,"49, Gopi Chand Shivhare Rd"
Suresh Chand Dinesh Chand,+91 98371 23712,"Ground Floor, Anant Plaza, Church Rd"
Fabindia,+91 562 404 0836,"Shanti Emporio, LG-01, Church Rd"
Levi's Exclusive Store,+91 562 404 4764,"Shop No. G5 & G4, Rajendra Point, M.G. Road"
Om Matching Centre,+91 92862 27742,"Block C-10, Shop No. 1,2 Ground Floor, Sanjay Place"
Cloth Market,,Wazirpura Rd
