List_name,List_Mobile,List_Address
K. N. Garment,+91 94505 84505,"26, SC Basu Rd, Near Allahabad Inter College"
Bachcha Jee Garments,+91 99365 99786,"Ghantaghar Chowk, 135C/14C NEAR"
Ishanvi Garment,+91 98392 68924,363/3/185 Rambagh
Deepanjali Garments,+91 80529 77947,"70, KP Kakkar Road, Zero Road, Oppt Mansarover Cinema hall"
M/s.Haseena Enterprises,+91 93363 85111,"320-A, Mundera Bazar, Opp.New Men's Tailor, Neem Sarai, Kabristan Wali Gali"
Tondon Saree Niketan,+91 97935 05325,"32, Kotha Parcha, Allahabad"
R K Garments,+91 90058 73494,"14/18 , Mishri Lal Complex ,Khowamandi"
Abhishek Garments,+91 76074 81598,"363/3/185, Bai ka bag, Rambag"
Gagan Vastralaya,+91 97927 80209,Near Rahul Market
Suman Textiles,+91 94152 37916,301
Dileep Textiles Agency,+91 99356 11796,"1st Floor, Mishrilal Plaza"
Hariom & Company,+91 80049 28671,"29, Opp.Rajarshi Tondon Mandapam, Chandralok, Zero Road, 34, KP Kakkar Rd"
Alam Opticals & Garments,+91 86871 35041,"Shop No. 1, 33/13, Aqama Complex, Infront Of Punjab National Bank, Shiv Charan Lal Road"
K.D Collection,+91 96485 35436,"18A/15 K P Kakkar Road, Near Chandralowk Cinema Hall"
Reload mensware,+91 70079 00725,"Shop no.135/111,noorulla road, near barrier chauraha"
YESSIKA FABRICS,+91 93055 31770,BHOLA NATH PANDEY BHWAN CHHATNAG ROAD JHUNSI
Rajasthan Textiles,+91 93351 56274,"Near Mosque, Zero Rd"
Indra Dhanush Garments,+91 97930 71910,"116/103,K.P.Kakkar Road (Near Chini Dharmshala)"
Pawan Kumar Sachin Kumar,+91 94156 12484,"14/18 , Mishri Lal Complex , Khowamandi, Chauk"
Pradeep Kumar Nitesh Kumar,+91 70075 14299,391
TRIVENI RAJ GARMENT,+91 95807 65340,56/82 Zero road chowk
Salig Ram kasturi lal,+91 98111 61102,"19, Jawaharlal Nehru Rd"
Salman Fashion,+91 90260 38293,"Shop No.3,Nagar Maha Palika Market,Roshanbagh"
Ramakant GARMENTS,+91 93360 10818,"112/65,, Muir Rd"
Ambey Croft Corner,+91 93351 06192,"34/31, Gulab Complex, kotha Parcha, Allahabad"
M/s Saligram Kasturi Lal,+91 98894 94499,"19, Jawaharlal Nehru Rd"
ab collection,+91 93058 08917,"meerapur ,gol park"
Fakeer Chand Hari Kishan Lal,Open ⋅ Closes 8:30PM,+91 532 269 7123
Lavkush Garments,,"Sharda Bhavan, Zero Rd"
Rakesh Vastralay,+91 77488 30222,"581/263 Daraganj , near Nirala Statue"
New Lucky Uoon Wale And Readymade Hosiery Chatri Footwear,+91 98896 09660,Kazipur Rd
N.K. Readymade Garments,+91 86874 41051,"14/18, Mishri Lal Plaza Basement, Zero Rd"
Pankaj Agencies,+91 70718 74999,"17/20, KP Kakkar Rd"
Swayamvar Sarees,+91 532 256 4883,"16/15, Dashrath Complex"
Al-Haram Fabric Store,+91 96284 76059,"Noorullah Road,Near Buddha Tazia"
Mansi sarees,+91 98390 46208,Netram Chauraha
New Saree Mahal,+91 94518 42711,38
Samay Marketing 47/139 Johnstongunj Allahabad,+91 88401 32649,Johnstonganj
Raju Textiles,+91 73090 11205,"155/6,J.P. Market,Roshanbagh"
H2O Kids,+91 74992 12205,"132/28-B, Anantraj Plaza, Mahatma Gandhi Marg, Near Bank Of Baroda"
Biba Apparels- Online Shopping For Kurtis,+91 532 256 0145,"Shop No .6, Lower Ground Floor, Vinayak Tower 124 E/20, M.G. Marg, Civil Lines, Below Axis Bank - ALLAHABAD2"
Raddi Vastralaya,+91 93055 20593,"721, Opp. Kali Mata Mandir"
Time Palace,+91 95981 14348,"151,Heewat,Road,"
Sports Point,+91 97938 93227,136A/3 PATRIKA CHAURAHA STANLY ROAD IN FRONT OF HP PETROL PUMP
Life Line Enterprises,+91 80048 12300,"Mundera, Allhabad"
Khadim's,+91 78449 08140,"92, P.O. City, P.S.Chowk"
k-lounge,+91 97946 20484,"7 allahabad 211003, 7, Sammelan Marg"
Prakash Textiles,+91 93351 34805,"33/50, Kailash Plaza Market, Opp. Moti Park, Shiv Charan Lal Road"
Peter England Store,+91 532 240 0058,"Atlantis Mall, No.1, Allahabad 211001."
Trinetra Opticals,+91 96962 15607,Near Pila Siwala Mandir
Shiv And Company,,"Chandralok, Sammelan Marg"
R National,Closed ⋅ Opens 10:30AM Fri,+91 72358 57419
Vastra Vaibhav Hanuman Prasad Darbari Lal,+91 532 224 0117,Old Bajaja
Skyshine Bags,+91 94153 48879,"328, Mohatsim Ganj"
U.P. Chasme Wale,+91 93075 40867,"456A, Bajrang Chouraha"
99Rs. Shop,+91 98396 84028,"In N.P.A. Arcade, Mahatma Gandhi Marg"
metro fashion,+91 93355 91212,"A-1,rajveer complex,hanuman mandir,sabji mandi,colonelganj"
Japan Hosiery,+91 96512 74591,"50,Jawahar Square,allahabad"
Tandon Bhaiya oan Wale,Open ⋅ Closes 9PM,+91 87650 45398
Modi Dhage,+91 93365 25260,"28, Chowk"
Karishma Herbal Beauty Parlour Jewellery And Gift Shop,+91 99354 57820,"109/3, Jawaharlal Nehru Rd, Near Parvati Hospital"
Lakshya Sports,+91 91988 04804,827
CANTABIL RETAIL INDIA LTD,+91 93106 83812,"FF-4 & 5, Atlantis Mall, Civil Lines, Allahabad"
Raja Fashion,+91 99362 16460,"""The first wholesale shop in which i got the cheapest cloth for my ..."""
Red chief showroom Allahabad,+91 97946 90870,"33/A, Mahatma Gandhi Marg"
Shri Ganesh Ornament,+91 80810 21219,"285/A, Laxami market, Matiyara road, Allahpur"
BIBA,+91 75054 44047,"124E/20, Shop No .6 Lower Ground Floor, Vinayak Tower, MG Marg, Civil Lines"
Pooja Garments Ladies Suits,+91 75000 02626,"Jaiswal Market 735/1, Old Katra, (Opposite Kesari Medic, Mumford Gunj Road Mumford Gunj, Road"
Nemat Fashion House,+91 99188 06421,"""New branded at wholesale prise..."""
Nav Durga Lehenga Wale,+91 99351 40379,"Ganga Market, Opposite Fine Tailor 1136"
Jai Shree Bombay Dyeing,,"Near Rajkaran Palace Cinema, Mahatma Gandhi Marg"
FASHION GALLERY,+91 87563 51762,"30 a, MG Marg"
COSCO,+91 532 256 0122,"Shop No. 1,Ground Floor, Shri Anant Balaji Kripa Plaza, Sardar Patel, Near Girls High School Junior Section"
Rajeev & Brothers,Closes soon ⋅ 8PM,+91 93365 29002
Aham Collection,+91 94152 62443,"397/455,Abdullah Market,Mirza Galib Road,Roshanbagh"
