"List_name","List_Mobile","List_Address"
"Ms garments and clothes","+91 91635 23559","Basti, Uttar Pradesh, India"
"Tulsyan Vastralaya (P) Limited","+91 1800 22 8990","Basti, Uttar Pradesh, India"
"City fashion khutan chauraha basti clothes wholesaler","+91 84549 28631","Barwaniya, Uttar Pradesh, India"
"Subhash Chandra & Company","","Basti, Uttar Pradesh, India"
"V-Mart","+91 93891 45112","Basti, Uttar Pradesh, India"
"Saurabh Traders","+91 91616 99555","Basti, Uttar Pradesh, India"
"WOON KA SAGAR VASTRAM PVT. LTD.","+91 5542 284 260","Basti, Uttar Pradesh, India"
"Upadhyay Vastralay","+91 89486 75100","Mahadewa, Uttar Pradesh, India"
"BlackBerrys","+91 70819 32323","Basti, Uttar Pradesh, India"
"SUNIL DRIY CLINER SPECIAL","+91 86018 59486","Captainganj, Uttar Pradesh, India"
"NARENDRA HOSIERY","+91 98389 07272","India"
"Ram prakash Gupta Cloth Agency","","Basti, Uttar Pradesh, India"
"Ms garments and clothes","+91 91635 23559","Basti, Uttar Pradesh, India"
"shiv shakti dresses","+91 80051 85000","Tanda, Uttar Pradesh, India"
"Integriti","","Basti, Uttar Pradesh, India"
"City Style Mart","Open now","Basti, Uttar Pradesh, India"
"Power Look","+91 82996 44237","Basti, Uttar Pradesh, India"
"1 India Family Mart","+91 63869 01404","""Has a good collection of clothes but for ..."""
"Subhani Handloom","+91 80528 61085","Tanda, Uttar Pradesh, India"
"Singh","+91 82992 08621","Harraiya, Uttar Pradesh, India"
"SHAHBAZ FABRIC prints","+91 94518 84507","Ambedkar Nagar, Uttar Pradesh, India"
"Taj Readymade Garments","+91 70810 43288","Khalilabad, Uttar Pradesh, India"
"New Muniruddin Handloom","","Maghar, Uttar Pradesh, India"
"Hindustan suit collection","+91 93777 77881","Khalilabad, Uttar Pradesh, India"
"Aman Traders","+91 98396 89844","Khalilabad, Uttar Pradesh, India"
"Shukla Garments","+91 94540 46043","Khalilabad, Uttar Pradesh, India"
"S M BADRUDDIN TEXTILES","+91 82990 55417","Tanda, Uttar Pradesh, India"
"Zeba Fabrics","+91 97211 93193","Khalilabad, Uttar Pradesh, India"
"Naba Textile","","Tanda, Uttar Pradesh, India"
"Shyam Collections","+91 98393 67728","Gorakhpur, Uttar Pradesh, India"
"Red Chief","+91 5542 281 410","Pakki, Uttar Pradesh, India"
"Deo Prayag Suresh Kumar Cloth Merchant","+91 551 220 0882","Gorakhpur, Uttar Pradesh, India"
"Navin Textiles","+91 99360 68498","Gorakhpur, Uttar Pradesh, India"
"Alok Brothers","+91 551 253 1918","Gorakhpur, Uttar Pradesh, India"
