"List_name","List_Mobile","List_Address"
"Bombay Hosiery (Readymade Garments Wholesaler in UP)","+91 97196 66143","17 Macnair Rd"
"Brly wholesale bazar","+91 79064 32095","21, 100 feet road, Phase 3"
"New Bhatia Cloth House","+91 98978 42536","71, Punjabi Market, Civil Lines"
"Anaam Cloth House","+91 94124 28155","7-8 Islamia Market"
"Fashion Point","+91 95573 75135","Near Kumar Cinema"
"Gazi Cloth","+91 92192 71410","Sailani Road"
"Fashion Villa","+91 97606 89063","Opp. New Power House, Beharipur Keharwan, Kutubkhana Chaupla Road"
"Bhatia Hosiery","+91 98970 65661","27-28, Gol Market, Near Kumar Cinema"
"Balaji Lifestyle","+91 98991 29127","1st Floor, BDA COLONY TURN OPP SATYAM BARAT GHAR, badaun road, bareilly"
"Bhatia Cloth House","+91 581 254 5425","70, Punjabi Market"
"Veer Cloth House","+91 99273 35865","Ashok Vihar, Near Aam Ka Pedh, Sanjay Nagar"
"Tanishk Fashion","+91 99270 47113","Islamia Girls Inter College Market Road"
"Kapil Hosiery","+91 581 254 1313","Opp. Gala Agency, Sood Dhram Kanta, 17 MC Nair Road, Prem Nagar"
"Narendra Katpees Center","","6, Katra Moonray Road"
"Uma Shankar Traders","+91 98976 94798","46, 47, Goel Market"
"New Prakash Cloth House","+91 81263 67184","Shop No. 17-18, Islamia Market"
"N.B.Fashion House Suits And Lehnga Chunni","+91 88591 03022","Jagatpur chauraha near Khushi Banqet Hall"
"Kala Niketan","+91 98971 88110","126/196, Gali Nawaban Katra Manrai"
"Rosy Wool & Readymade Garments","+91 581 255 5329","61, Gole Market"
"Hari Om Ji Traders","+91 95571 99990","Shop no 5 , j d cloth market Katra manrai Bara bazar Near laxmi narayan mandir"
"RNP Textiles(RAJEEV ARORA)","+91 89540 54810","2 K.B cloth market"
"BHARAT SAREE BHANDAR","+91 98973 11516","Bara Bazar"
"New Agarwal Traders","+91 94121 49657","Bara Bazar"
"Shri Ram Shiv Taxtiles","","Kasra Maan Ray"
"Vinayaka Textiles","+91 99277 13444","Gali arya samaj, Bara Bazar"
"MKLsa-","","+91 70178 02633"
"Perfection House","+91 99276 66995","Opp Jagat Talkies, Bara Bazar"
"Gourav Garment Wholesaler","+91 84778 93099","FCI Colony Rd"
"Shree Govardhan Saree House","+91 98088 46245","Kutubkhana"
"Biba Apparels- Palazzo Pants Online Shopping India","+91 581 257 0004","63, Ground Floor, Civil Lines Chaupla Road, CO- BIBA APPARELS PVT LTD-BAREILLY"
"Guru Cloth House And Footwear","+91 86502 02182","Kandharpar Lal Phatak"
"Lizza Fashions","+91 96901 22257","30-D, Model Town"
"Bhasin Cloth House","","59, Punjabi Market"
"Jai Santoshi Maa Wholesale","Open now","Unnamed Road"
"Raju Zari Art..parvez Zari Art . wholesalers","+91 96396 53797","733 madine shah ka imam bada"
"Brosid Sports Wear","+91 78958 67484","7/88, Nainital Rd"
"Surya Sarees","+91 97613 85474","Surya Plaza, Opp. Azad Inter College, Semal Khera"
"Rainbow Creative Vision Pvt. Ltd.","+91 93194 55555","60, D. D. Puram, Near Gangour Sweets Opp. Amrit Eye Center & Optical Hub"
