"List_name","List_Mobile","List_Address"
"Kharbanda Clothing store","+91 98371 17568","Anandit Rd"
"Shirt Wholesale","+91 88374 05023","Madhur Complex, Old Hapur Stand"
"Bobby Fashion House","+91 87551 88017","556/2, Shastri Nagar"
"SAMEER HANDLOOM FACTORY","Closes soon ⋅ 8PM","+91 92194 72485"
"Singal Handloom Emporium","+91 121 251 5285","khandak market"
"Krishna Trading Company","+91 92196 97466","Khandak Bazar"
"Sahelee Trading Unit (Guru Nanak Hosiery Store)","+91 96750 00288","Shop No: 3 & 4, Neel Gali"
"Shree Jee Textile","+91 88370 28464","Sadar Naya Bazar, Ravinder Puri, Opp. Mateshwari Mandier, Sadar Bazar, Meerut Cantt"
"Saleem Cloth","+91 87551 88830","Uncha Siddik Nagar"
"Kashi Ram Prem Lal","+91 98974 70852","Khandak Bazar"
"Triloki Nath Mahendar Kumar","+91 97608 52477","Valley Bazar, Ghantaghar"
"Ganga Saran Umrao Singh","+91 89369 66201","Bajaja Bazar"
"Sardar Handloom Factory Pvt. Ltd","+91 121 242 1331","Subhash Bazar"
"VM Enterprises","+91 89231 32331","258/1, First Floor, Opp. Bijli Ghar, Sharda Road"
"Preeti Textiles","+91 96399 28125","Chhipiwara, Pul Ke Pass, Khandak Bazar"
"S.M. Rastogi Handloom House","+91 93193 13043","Khandak Bazar, Opp. Satya Handloom Complex"
"Luthra Handloom Industries (P) Ltd.","+91 96347 65555","Khandak Bazar"
"Chhaya Textiles","+91 98371 02905","Subhash Nagar"
"A.M./B.M. Shirts","+91 97115 70014","Madhur Complex, Near Old Hapur Stand"
"M.Saad Cloth House","+91 98975 33791","Bhumiya Ka Pul, Opposite Transformer, Uncha Shadik Nagar"
"Babu lal Ram Ratan","+91 93593 85349","Bazar Bazaza"
"Goyal Garments","+91 92585 50689","Shop No. 29, Mathura Palace, Begumpul, Jawahar Quarter"
"Nisaar-Tauseef Cloth House","+91 82731 31109","Shop No: 184, Palika Bazar, Ghantaghar"
"Fashion hub","Open ⋅ Closes 11:30PM","+91 84779 86949"
"Sahil Readymade Garment","+91 75001 80508","Ghopla Road"
"Bhumesh fabrics","+91 95991 07540","99, Khandak bazaar, Near Hanuman Mandir"
"Yashpal Cloth Merchant","+91 92198 60006","Shop No- 6, Opp. Sita Ram and sons Near Khchru Mal Pansari Meerut City"
"Denim Country","+91 87919 12115","700/1, Nehru Nagar, Near Phool bagh Colony"
"Darshan Khadi Bhandar","+91 98972 29142","293, Dashmesh Nagar, Khandak Bazar"
"narendra kumar surendra kumar wholesaler cloth merchant","+91 99278 28702","Suraj Kund Rd"
"Suhan Textiles","+91 87918 52104","Shop No.31, Subhash Nagar"
"Tyagi Textiles","+91 98372 28969","206, Khandak Bazar"
"Bhagwan Das Jai Prakash","+91 99272 68070","Bazar Bajaja"
"Deepak Textile's","+91 121 242 1873","184, Khari Kuan, Subhash Bazar"
"Prabhat Prints","+91 91526 13970","Khandak Bazar"
"Vastra Kendra Saree Kendra","+91 121 405 1829","Shri Ram Complex"
"Nabbu Market","Open ⋅ Closes 10PM","+91 97611 62786"
"Neha Fashions","+91 98377 16635","Chhipiwara, Pul Ke Pass, Khandak Bazar"
"Shyam Sunder & Co.","+91 97605 22611","Subhash Bazar"
"Babu Textiles","+91 93590 78188","Zubeda Market, Near Tubewell Tiraha, Khatta Road, Bhumiya Ka Pool"
"Gurcharan Singh And Company","+91 98370 79891","Gurudwara Building, Gurudwara Rd"
"DHINGRA TEXTILES","+91 74177 77705","120, bazaza bazar"
"J.K. Handloom","+91 98379 05885","Subhash Bazar, Near Jugmander Dass Deep Chand Jain"
"Lalchand Sudarshan Kumar","+91 74174 02031","123, Subhash Bazar"
"Shiv Trading Company","+91 96399 28125","Chhipiwara, Pul Ke Pass, Khandak Bazar"
"Variety Centre","+91 99270 17388","Bazar Bajaja"
"Faiz Textiles","+91 95575 27894","Uncha Saddiq Nagar, Opp. Saddiquia Masjid, Bhumiya Ka Pul"
"SATYAM ENTERPRISES Meerut","+91 98970 29705","House no 5, Suraj Kund Rd"
"SK Prints","+91 89379 53592","34, Khandak Bazar"
"J.S. Textiles","+91 98979 01322","188, Khandak, Subhash Bazar Road"
"sports wear manufacturer in meerut","+91 98372 31292","Lisari Road, 60 Fita Road, Summer Garden Colony Near Green Field Public School"
"SGN Leggings|Kurti Wholesaler, Manufacturer ph 8954655516","+91 89546 55516","House No 519, Shekhpura Rd"
"Harsh Textiles","Closed ⋅ Opens 10AM Fri","+91 95680 36947"
"Narendra Kumar Surendra Kumar","+91 70888 88869","97, Suraj Kund Rd"
"Krishan store","","+91 82799 61450"
"Mansi Handloom","+91 94125 38561","9, B.A.V. Market, Chippiwara, Khandak"
"Meerut Hosiery Factory","+91 121 251 0571","Hosiery Building, Shanti Nagar, Railway Road,"
"Global Products Mart","+91 90453 33666","Ahmad Nagar Gali No 14 (R) Near H.M Public School Meerut"
"Navrang Rakhi Meerut - Best Wholesaler Of Rakhi","+91 98972 60544","Mandir Wali Gali, Begum Bagh"
"Gulshan Jewellers","Closes soon ⋅ 8PM","+91 98970 37525"
"Biba Apparels","+91 121 403 3039","Meerut, Uttar Pradesh, India"
"Arora Garments","+91 121 276 9067","Meerut, Uttar Pradesh, India"
"Sportswear Manufacturer in Meerut","+91 88680 02002","Meerut, Uttar Pradesh, India"
"Loveena Dresses","+91 98081 14400","Meerut, Uttar Pradesh, India"
"SK Garments","+91 99979 29459","Meerut, Uttar Pradesh, India"
"B.R.Textiles","+91 92195 50002","Meerut, Uttar Pradesh, India"
"Shiv Naresh","+91 99971 39123","Meerut, Uttar Pradesh, India"
"K L Mahajan & Sons","+91 121 276 3237","Meerut, Uttar Pradesh, India"
"Afifa Cloth House","+91 76694 65999","Meerut, Uttar Pradesh, India"
"Ahinsa Textiles","+91 99976 72437","Meerut, Uttar Pradesh, India"
"Koxton Sports Equipments Pvt. Ltd.","+91 99979 98994","Meerut, Uttar Pradesh, India"
"IRA Exports","+91 90687 18886","Meerut, Uttar Pradesh, India"
"JANIYA PRODUCTS","+91 95577 88601","Meerut, Uttar Pradesh, India"
"Zoya Cloth House","+91 82731 30233","Meerut, Uttar Pradesh, India"
"Honey Garments","+91 92198 77789","Meerut, Uttar Pradesh, India"
"Shree Arihant Textiles","+91 99977 70630","Uttar Pradesh, India"
"Sutra Products Pvt Ltd","Closed ⋅ Opens 10AM Fri","Meerut, Uttar Pradesh, India"
"Ashoka Textiles","+91 121 251 9484","Meerut, Uttar Pradesh, India"
"Brawn International","+91 97588 08080","Meerut, Uttar Pradesh, India"
"Rakhi Cloth House","+91 93190 88377","Meerut, Uttar Pradesh, India"
"Vidyarthi Khadi Bhandar","+91 121 251 5615","Meerut, Uttar Pradesh, India"
"U.P. Textiles","+91 94114 45377","Meerut, Uttar Pradesh, India"
"Moonlight Industries","+91 96907 88897","Meerut, Uttar Pradesh, India"
"S.M.Rastogi Handloom House","+91 93196 13335","Meerut, Uttar Pradesh, India"
"www.texvivo.com","+91 92353 00556","Meerut, Uttar Pradesh, India"
"Dakshi Bottom's","+91 95405 44052","Meerut, Uttar Pradesh, India"
"Shri Balaji International","+91 97587 65613","Meerut, Uttar Pradesh, India"
"M Wear","+91 99906 63023","Meerut, Uttar Pradesh, India"
"A.N.G. Collection","+91 92190 71791","Meerut, Uttar Pradesh, India"
"Arpan Handloom","+91 98972 25769","Meerut, Uttar Pradesh, India"
"N.K. Sports & Hosiery Works","Open ⋅ Closes 9PM","Meerut, Uttar Pradesh, India"
"Rastogi Sons Jewellers","+91 121 251 4292","Meerut, Uttar Pradesh, India"
"B-4 Cloth House","+91 99177 57120","Meerut, Uttar Pradesh, India"
"Suman Textiles","+91 98970 19443","Meerut, Uttar Pradesh, India"
"Swarn Darpan Jewellers","+91 95689 18627","Meerut, Uttar Pradesh, India"
"Shoppinglala Online Shopping Shoes, Electronics","+91 70170 39556","Meerut, Uttar Pradesh, India"
"Heat Transfer Sticker Maa Garments","+91 94576 73902","Meerut, Uttar Pradesh, India"
"Ajay Sports Wear","+91 97205 90194","Meerut, Uttar Pradesh, India"
"Jagdish Ram Hari Om","+91 98370 72171","Meerut, Uttar Pradesh, India"
"Ajay Traders","+91 88590 05055","Meerut, Uttar Pradesh, India"
"Silver Ornaments Co.","+91 121 242 1500","60-61, Neel Gali, Saraffa Bazar"
"Lal Chand-Chaman Lal","+91 121 264 8938","212, Khandak Bazar"
"Anas Textile","+91 98979 11739","Chopal Lisari Gate, Hanuman Mandir"
"New Sachdeva Textiles","+91 93588 30741","Bazar Bajaja"
"Billing & Accounting Software Marg erp9+ (Software Solution)","+91 99972 67777","Shop No: 1-Durga Market kagzi"
"Jainsons Uniwears","+91 87550 11199","Shop No.1, Shiv Arcade, Near RPG Galleria, Divider Road, Ganga Nagar"
"Readymade manufacturers","+91 81260 44117","Jain Nagar, Dashmesh Nagar"
"Go Glam M/s Shrinath Traders","+91 90450 33166","Begam Bagh,, Tilak Rd"
"GiGi Fashion","+91 99275 00939","L-607"
"Mahi Fashions","+91 121 405 6976","Central Market, Shastri Nagar, Meerut, Uttar Pradesh"
"RNI Textiles","+91 93681 82691","64, Gali Number 03"
"G.D.S International","+91 80776 84042","A-4"
"New Chief Cloth House","+91 97600 00695","Elahi Plaza, Lisari Gate Chopla, Near Hanuman Mandir"
"Bhai Naushad Cloth House","+91 99975 58735","Shop No. 7, Bhumiya Ka Pool, Gaffar Market"
"Mewati Cloth House","+91 94574 84736","Opp. D.K. Factory, Shyam Nagar"
"Shuaib Garments","+91 94580 51095","70/1, Hotel Wali Gali, Gola Kuan, Prahlad Nagar"
"G.M Artificial Jewellery","+91 74173 71530","Firoz Nagar, Near Nishari Road"
"Ganpati Sports & Hosiery","+91 94125 15495","2, Arya Nagar, Suraj Kund Road"
"Shringar Bangles","+91 92868 57909","112, Sharda Road"
"A.H. Textiles","+91 98371 63289","Ganpati Complex, Abu Lane"
"Minu Textiles","+91 121 251 6258","Ismail Nagar, Subhash Bazar"
"Gulati Sarees","+91 94122 00126","78, Mathura Place, Jawahar Quarter, Begumpul"
"Tyagi Handloom","+91 92196 36546","89, Subhash Bazar Road"
"Mehar Chand Rajendra Kumar","+91 93595 55512","Bajaja Bazar"
"Ashutosh Khadi Bhandar","Closed ⋅ Opens 10AM Fri","+91 90451 96450"
"Kanti Prasad Rajendra Kumar Johri","+91 99270 04356","25, Near Saraffa Bazar, Kagzi Bazar"
"K.K. Textile","+91 93195 36022","Shop No.145, Bazar Bajaja"
"Shahid Cutpiece Centre","+91 89792 89485","Juveda Market, Near Tubewell Tiraha, Bhumiya Ka Pool, Lisari Road"
"Bharat Tericot Kendra","+91 98974 34798","Shop No. 220"
"Waseem Khaleel Cutpiece Center","+91 93686 98643","Poorva Muktsar Husain,Jadav Gate Road & Lisari Road Chopla, Hanuman Mandir, Lisari Gate, Adil Choudhary Market"
"GLOBAL INDIA SERVICES","+91 98995 59439","B-20, 202 Tiwari Campus, W End Rd"
"Shubham Textiles","+91 98970 04269","212, Khandak Bazar"
