List_name,List_Mobile,List_Address
Shahzar..Readymate Wholesaler,,
"Ameer's Fashion, Wholesale Textiles",,
Punjab sports,+91 90449 30083,Parao bajar sitapur
MOHD.SHAMEEM AND CO.,,+91 94150 47349
Raymond Shop,Open ⋅ Closes 9PM,"62, Sitapur Rd, Tompson Ganj, Sitapur Rd"
Balaji Suitings,+91 1800 22 8990,Lal-Baug Crossing
Mehrotra Cloth Emporium,+91 1800 22 8990,"10 New Market,Lalbagh Crossing, Eye Hospital Road"
V-Mart,+91 93897 60960,RC Towers Eye Hospital Rd
Pink Boutique Store,+91 78602 76792,"""Its very nyc clothes. Best quality prodect and good pink boutique ..."""
V2 Mall,+91 89483 38953,"Near KTS Petrol Pump, Begambagh, Chhoti Line"
Darkbel Mart,+91 89577 76667,"Chauraha, Laharpur"
Planet Fashion,+91 5862 272 827,4Station Road
Sandeep Selection,+91 95065 58888,"372, Kaziyara Rd"
Footwear & School Dresses,+91 99191 63962,Sitapur Rd
Kumar Hosiery & Foot Wear,+91 96166 55560,Sitapur Rd
Agarwal Jewel Mart,Closes soon ⋅ 8:30PM,+91 5862 270 031
Readymade Garment,+91 91986 62872,Sitapur Rd
Naaz Garments,+91 88535 62209,"Shop No.4,Gurudwara Road, New Market, Near Sabzi Mandi"
Relaxo Retail Showroom,+91 5862 240 116,Near Setthi Hospital Station Road Sitapur
Rakhi Matching Center,Open ⋅ Closes 11PM,"National Highway 24A, Sitapur Rd"
Gulsan Leather Garment,+91 99186 73580,"Sitapur Road, Itaunja"
Labket Merchandising,+91 73873 66901,"""This is a really cool store for getting bulk orders for customised ..."""
PAS EXPORTERS PVT LTD,+91 99354 83577,"HOUSE NO. 538, K/321, Sitapur Rd"
Atman Apparels Pvt. Ltd. (Zuricho),+91 99103 83486,"#538-11/895A, Dixit Market, Ahibarnapur, Sitapur Road,"
