Category,Location,Business Name,Url,Website,Address,Area,City,Pincode,Latitude,Longitude,Established,Info,Schedule,Services,Payments,Tags,WhatsApp,Phone1,Phone2,Phone3,Phone4,Phone5,Phone6,Email1,Email2,Email3,Email4
Restaurants,Kanpur,Kwality Restaurant & Bar,https://www.justdial.com/kanpur/Kwality-Restaurant-Bar-Next-to-LIC-Building-Mall-Road/0512PX512-X512-131211102123-V9E8_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,,16/97  The Mall Road  Mall Road  Kanpur - 208004  Next to LIC Building,,Kanpur,208004,,,2008,<h1>Kwality Restaurant & Bar in Mall Road  Kanpur</h1><p>Kwality Restaurant & Bar in Kanpur. North Indian Restaurants with Address  Contact Number  Photos  Maps. View Kwality Restaurant & Bar  Kanpur on Justdial.</p> 							 							<p>Making way for a hearty meal is Kwality Restaurant & Bar in Kanpur. Established in the year 2008  this place is synonymous with delicious food that can satiate all food cravings. It is home to some of the most appreciated cuisines which include North Indian Chinese Continental. So as to be able to cater to a large number of diners  it occupies a favourable location at Mall Road. Next To LIC Building 16/97 The Mall Road Mall Road-208004 is where one can visit the venue. Courtesy to this strategic location  foodies in and around the neighborhood can walk in to this eating house conveniently without facing any hassles related to commuting to this part of the city. It is one of the most sought after Restaurants in Mall Road.   This is a one of the renowned Restaurants in Kanpur.</p> 							 							<p>Kwality Restaurant & Bar at Mall Road makes sure one has a great food experience by offering highly palatable food. The various services offered at the venue include Ambience trendy   Noise Level yes   Serves Alcohol yes   Wifi Available   Free Wifi   Air Conditioned   Vegan Choices Available   Bar   Price For Two 1000   Candle Light Dinner .  The restaurant welcomes guests from 12:00 - 23:00 allowing diners to relish a scrumptious meal between the functional hours.The price range of the food at the restaurant ranges from 2. One can make their payment via Cash  Master Card  Visa Card  Debit Cards  Cheques  American Express Card  Credit Card. This is a JD Verified restaurant. This listing is also listed in Restaurants  Moderate Restaurants (Rs 500 To Rs 1000)  Restaurants & Bars. One can reach the restaurant on +(91)-512-2372290 2372680 for any other details.  </p>,Monday 12:00 pm - 11:00 pm | Tuesday 12:00 pm - 11:00 pm | Wednesday 12:00 pm - 11:00 pm | Thursday 12:00 pm - 11:00 pm | Friday 12:00 pm - 11:00 pm | Saturday 12:00 pm - 11:00 pm | Sunday 12:00 pm - 11:00 pm,,Cash  Master Card  Visa Card  Debit Cards  Cheques  American Express Card  Credit Card,Restaurants  Restaurants & Bars  Pubs  Dinner Restaurants  Lunch Restaurants  Restaurants With Candle Light Dinner  Tandoori Restaurants  Chinese Restaurants  Punjabi Restaurants  Lounge Bars  North Indian Restaurants  Multicuisine Restaurants  Italian Restaurants  Indian Restaurants  Continental Restaurants,,+919152600467,,,,,,satyamsk@rediffmail.com,,,
Restaurants,Kanpur,New Sahu Dhaba & Family Restaurant,https://www.justdial.com/kanpur/New-Sahu-Dhaba-Family-Restaurant-Naubasta/0512PX512-X512-140116102425-U4L9_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,,Shop No-49  50  51  Kisan Super Market  Naubsta Galla Mandi  Naubasta  Kanpur - 208021,,Kanpur,208021,,,1990,<h1>New Sahu Dhaba & Family Restaurant in Naubasta  Kanpur</h1><p>New Sahu Dhaba & Family Restaurant in Kanpur. Restaurants with Address  Contact Number  Photos  Maps. View New Sahu Dhaba & Family Restaurant  Kanpur on Justdial.</p>  							<p>Located in Naubasta  New Sahu Dhaba & Family Restaurant in Kanpur is amongst the top picks of the locals to satiate cravings for mouth-watering pizzas. This restaurant  							specializes in serving a range of cheesy pizzas made with the goodness of hand-picked toppings. In operation since 1990  the locals have developed a liking for its  							pocket-friendly and mouth-watering pizzas. The pizzas are generously sprinkled with a variety of toppings that make it a sheer delight to eat. This eatery's  							menu also includes sides like salads  burgers and sandwiches. This pizzeria occupies a favourable location at Shop No-49  50  51 on the Kisan Super Market  Naubsta Galla Mandi which works  							to its advantage in attracting a substantial number of footfalls day in and day out. Its patron base that usually comprises of school students  college goers   							working professionals and the local residents. It is located Kisan Super Market  Naubsta Galla Mandi. You can contact this pizza outlet on the following contact numbers: +(91)-9792526852 7905215744. Undoubtedly it is one of the best pizza outlets in Naubasta  Kanpur.</p>  							<p><h2>Ambience and Services at New Sahu Dhaba & Family Restaurant</h2></p>  							<p>New Sahu Dhaba & Family Restaurant near Naubasta offers outdoor as well as indoor seating arrangements  which guests can choose as per their comfort. Though this dining venue is a  							compact setup with limited space for seating its dine-in guests  this restaurant also offers take away and speedy doorstep delivery services too. The staff are attentive  							and prompt at service  ensuring customers are served well. It is also a popular hangout for hosting birthday parties for kids. The operating hours of 09:00 - 23:00 make it convenient for customers to sate their cravings for pizzas late into the night as well. Pay with Cash  Master Card  Debit Cards  Cheques  Credit Card  Visa Card.  </p>  							<p>Scroll up to view the address and contact details of <contract name=> in Naubasta  Kanpur.<p></contract>,Monday 9:00 am - 11:00 pm | Tuesday 9:00 am - 11:00 pm | Wednesday 9:00 am - 11:00 pm | Thursday 9:00 am - 11:00 pm | Friday 9:00 am - 11:00 pm | Saturday 9:00 am - 11:00 pm | Sunday 9:00 am - 11:00 pm,,Cash  Credit Card  JD Pay  BHIM  Debit Cards  American Express Card  UPI  Paytm,Restaurants  ,,+919152656413,,,,,,,,,
Restaurants,Kanpur,ZYKA Restaurant,https://www.justdial.com/Kanpur/ZYKA-Restaurant-Hospital-Road-Parade-Parade/0512PX512-X512-110211092440-M1B8_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,,40/74  The Mall  Parade  Kanpur - 208001  Hospital Road Parade,,Kanpur,208001,,,1995,<h1>ZYKA Restaurant in Parade  Kanpur</h1><p>ZYKA Restaurant in Kanpur. Mughlai Restaurants with Address  Contact Number  Photos  Maps. View ZYKA Restaurant  Kanpur on Justdial.</p> 							 							<p>Making way for a hearty meal is ZYKA Restaurant in Kanpur. Established in the year 1995  this place is synonymous with delicious food that can satiate all food cravings. It is home to some of the most appreciated cuisines which include Mughlai. So as to be able to cater to a large number of diners  it occupies a favourable location at Parade. Hospital road parade 40/74 The mall Parade-208001 is where one can visit the venue. Courtesy to this strategic location  foodies in and around the neighborhood can walk in to this eating house conveniently without facing any hassles related to commuting to this part of the city. It is one of the most sought after Mughlai Restaurants in Parade.  For people in other parts  the restaurant also has branches at other locations which include Parade	and can also be visited for an appetizing meal.  This is a one of the renowned Mughlai Restaurants in Kanpur.</p> 							 							<p>ZYKA Restaurant at Parade makes sure one has a great food experience by offering highly palatable food. The various services offered at the venue include Birthday  Group Parties   Ac   Home Delivery   Price For Two 300 .  The restaurant welcomes guests from 13:00 - 23:00 allowing diners to relish a scrumptious meal between the functional hours.The price range of the food at the restaurant ranges from 1. One can make their payment via Cash  Visa Card  Cheques  Credit Card  Master Card  Debit Cards  American Express Card. This is a JD Verified restaurant. This listing is also listed in Mughlai Restaurants  Restaurants  Inexpensive Restaurants (Below Rs 500). One can reach the restaurant on +(91)-9936432923 9336035364 9839980611 9389232214 9336919524 for any other details.  </p>,,,Cash  Visa Card  Debit Card  Cheques  Credit Card  Master Card,Mughlai Restaurants  Restaurants  Caterers  Biryani Restaurants  Caterers For Parties  Indian Delivery Restaurants  Biryani Delivery Restaurants  Punjabi Delivery Restaurants  Fried Chicken Restaurants  Lunch Restaurants  Chicken Home Delivery  Indian Restaurants,,+919152522519,,,,,,,,,
Restaurants,Kanpur,Hucka Restaurant,https://www.justdial.com/kanpur/Hucka-Restaurant-Near-Indian-Bank-top-floor-CCD/0512PX512-X512-140614173748-H1X9_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,http://www.huckarestaurant.com,Shop no. :- 8/266  C C D Top Floor  S G M Plaza Aray Nagar  Kanpur - 208001  Near Indian Bank  top floor CCD,,Kanpur,208001,,,2006,<h1>Hucka Restaurant in S G M Plaza Aray Nagar    Kanpur</h1><p>Hucka Restaurant in Kanpur. North Indian Restaurants with Address  Contact Number  Photos  Maps. View Hucka Restaurant  Kanpur on Justdial.</p> 							 							<p>Making way for a hearty meal is Hucka Restaurant in Kanpur. Established in the year 2006  this place is synonymous with delicious food that can satiate all food cravings. It is home to some of the most appreciated cuisines which include North Indian Chinese Fast Food. So as to be able to cater to a large number of diners  it occupies a favourable location at S G M Plaza Aray Nagar  . Near Indian Bank  top floor CCD Shop no. :- 8/266  C C D Top Floor S G M Plaza Aray Nagar   Kanpur H O-208001 is where one can visit the venue. Courtesy to this strategic location  foodies in and around the neighborhood can walk in to this eating house conveniently without facing any hassles related to commuting to this part of the city. It is one of the most sought after North Indian Restaurants in S G M Plaza Aray Nagar  .  The www.huckarestaurant.com offers complete information of the restaurant.  This is a one of the renowned North Indian Restaurants in Kanpur.</p> 							 							<p>Hucka Restaurant at S G M Plaza Aray Nagar   makes sure one has a great food experience by offering highly palatable food. The various services offered at the venue include Pure Vegetarian   Home Delivery   Price For Two  600   Outdoor Seating   Candle Light Dinner   Hookah Smoking Available .  The restaurant welcomes guests from 12:00 - 23:00 allowing diners to relish a scrumptious meal between the functional hours.The price range of the food at the restaurant ranges from 2. One can make their payment via Cash  Cheques  Master Card  Debit Cards  Visa Card  American Express Card  Credit Card. This is a JD Verified restaurant. This listing is also listed in North Indian Restaurants  Restaurants  Pure Veg Restaurants. One can reach the restaurant on +(91)-512-3246757 for any other details.  </p>,Monday 12:00 pm - 11:00 pm | Tuesday 12:00 pm - 11:00 pm | Wednesday 12:00 pm - 11:00 pm | Thursday 12:00 pm - 11:00 pm | Friday 12:00 pm - 11:00 pm | Saturday 12:00 pm - 11:00 pm | Sunday 12:00 pm - 11:00 pm,,Cash  Cheques  Master Card  Debit Cards  Visa Card  American Express Card  Credit Card,North Indian Restaurants  Restaurants  Pure Veg Restaurants  Biryani Restaurants  Fast Food  Hookah Parlours  Dinner Restaurants  Lunch Restaurants  Nightlife Restaurants  Mughlai Delivery Restaurants  Indian Delivery Restaurants  Restaurants With Candle Light Dinner  South Indian Restaurants  Hookah Smoking Restaurants  Chinese Restaurants  Multicuisine Restaurants  Mughlai Restaurants  Indian Restaurants,,+919152798796,,,,,,,,,
Restaurants,Kanpur,Barracks,https://www.justdial.com/Kanpur/Barracks-Infront-Of-Kanpur-Vidya-School-Swaroop-Nagar/0512PX512-X512-170330150555-X5W9_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,http://barracksknp.business.site/,1st Floor  113/171 Above ICICI Bank  Swaroop Nagar  Kanpur - 208002  Infront Of Kanpur Vidya School,,Kanpur,208002,,,2016,<h1>Barracks in Kidwai Nagar  Kanpur</h1><p>Barracks in Kanpur. Home Delivery Restaurants with Address  Contact Number  Photos  Maps. View Barracks  Kanpur on Justdial.</p> 						<p><h2>Location and Overview:</h2></p> 						<p>Established in the year 2016  Barracks in Kidwai Nagar  Kanpur is a top player in the category Home Delivery Restaurants in the Kanpur. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Kanpur. Over the course of its journey  this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services  have helped this establishment garner a vast base of customers  which continues to grow by the day. This business employs individuals that are dedicated towards their respective roles and put in a lot of effort to achieve the common vision and larger goals of the company. In the near future  this business aims to expand its line of products and services and cater to a larger client base. In Kanpur  this establishment occupies a prominent location in Kidwai Nagar. It is an effortless task in commuting to this establishment as there are various modes of transport readily available. It is at   Infront Of Kanpur Vidya School  which makes it easy for first-time visitors in locating this establishment. It is known to provide top service in the following categories: Restaurants  Home Delivery Restaurants  Pure Veg Restaurants  Moderate Restaurants (Rs 500 To Rs 1000)  Fine Dining Restaurants (Rs 1000 To Rs 2000)  Fast Food Restaurants  Moderate Pure Veg Restaurants (Rs 500 To Rs 1000)  Pure Veg Delivery Restaurants. </p>  						<p><h2>Products and Services offered:</h2></p> 						<p>Barracks in Kidwai Nagar has a wide range of products and services to cater to the varied requirements of their customers. The staff at this establishment are courteous and prompt at providing any assistance. They readily answer any queries or questions that you may have. Pay for the product or service with ease by using any of the available modes of payment  such as Cash  Debit Cards  Cheques  Credit Card. This establishment is functional from 00:00 - 23:59. </p><p>Please scroll to the top for the address and contact details of Barracks at Kidwai Nagar  Kanpur. </p>,Monday Open 24 Hrs | Tuesday Open 24 Hrs | Wednesday Open 24 Hrs | Thursday Open 24 Hrs | Friday Open 24 Hrs | Saturday Open 24 Hrs | Sunday Open 24 Hrs,,Cash  Debit Cards  Cheques  Credit Card,Restaurants  Pure Veg Restaurants  24 Hours Home Delivery Restaurants  Restaurants & Bars  24 Hours Restaurants  Biryani Restaurants  Lounge Bars  Multicuisine Restaurants  North Indian Restaurants  Indian Restaurants  Chinese Restaurants  Chinese Delivery Restaurants  Indian Delivery Restaurants  Biryani Delivery Restaurants  Pure Veg Delivery Restaurants  All Night Delivery Restaurants,,+919152891485,,,,,,,,,
Restaurants,Kanpur,Bharat Restaurant,https://www.justdial.com/Kanpur/Bharat-Restaurant-Meston-Road/0512P512STDGE00323_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,http://www.bharatrestaurentsince1938.in,38/101  Meston Road  Kanpur - 208001,,Kanpur,208001,,,1938,<h1>Bharat Restaurant in Meston Road  Kanpur</h1><p>Bharat Restaurant in Kanpur. Home Delivery Restaurants with Address  Contact Number  Photos  Maps. View Bharat Restaurant  Kanpur on Justdial.</p> 							 							<p>Making way for a hearty meal is Bharat Restaurant in Kanpur. Established in the year 1938  this place is synonymous with delicious food that can satiate all food cravings. It is home to some of the most appreciated cuisines. So as to be able to cater to a large number of diners  it occupies a favourable location at Meston Road. 38/101 Meston Road-208001 is where one can visit the venue. Courtesy to this strategic location  foodies in and around the neighborhood can walk in to this eating house conveniently without facing any hassles related to commuting to this part of the city. It is one of the most sought after Restaurants in Meston Road.  For people in other parts  the restaurant also has branches at other locations which include Opp Bich Wala Mandir - Meston Road  near beech wala mandir - Meston Road	and can also be visited for an appetizing meal.  This is a one of the renowned Restaurants in Kanpur.</p> 							 							<p>Bharat Restaurant at Meston Road makes sure one has a great food experience by offering highly palatable food. The various services offered at the venue include Pure Vegetarian   Jain Friendly   Non Veg Available   Air Conditioned   Home Delivery   Bar   Rooftop Seating Available .  The restaurant welcomes guests from 09:00-undefined - 23:00-undefined allowing diners to relish a scrumptious meal between the functional hours.The price range of the food at the restaurant ranges from 1. One can make their payment via Cash  Master Card  Visa Card  Debit Cards  Cheques  American Express Card  Credit Card. This is a JD Verified restaurant. This listing is also listed in Restaurants  Home Delivery Restaurants  Moderate Restaurants (Rs 500 To Rs 1000). One can reach the restaurant on +(91)-512-2352756 2533422 for any other details.  </p>,Monday 9:00 am - 11:00 pm | Tuesday 9:00 am - 11:00 pm | Wednesday 9:00 am - 11:00 pm | Thursday 9:00 am - 11:00 pm | Friday 9:00 am - 11:00 pm | Saturday 9:00 am - 11:00 pm | Sunday 9:00 am - 11:00 pm,,Cash  Master Card  Visa Card  Debit Cards  Cheques  American Express Card  Credit Card,North Indian Restaurants  Restaurants  Home Delivery Restaurants  Caterers  Restaurants & Bars  Biryani Restaurants  Non Veg Thali Restaurants  Buffet Restaurants  Lunch Restaurants  Pocket Friendly Bars  All Day Dining Restaurants  Nightlife Restaurants  Mughlai Delivery Restaurants  Fried Chicken Restaurants  Biryani Delivery Restaurants  Indian Delivery Restaurants  Fast Food Delivery Services  South Indian Delivery Restaurants  Dinner Restaurants  Chinese Restaurants  Thali Restaurants  Multicuisine Delivery Restaurants  Rajasthani Restaurants  South Indian Restaurants  Industrial Caterers  Afghani Restaurants  Andhra Restaurants  Barbeque Restaurants  Continental Restaurants  Fast Food Restaurants  Gujarati Restaurants  Sea Food Restaurants  Gujarati Thali Restaurants  Indian Restaurants  Italian Restaurants  Mughlai Restaurants  Multicuisine Restaurants  Punjabi Restaurants  Veg Caterers  Restaurants With Candle Light Dinner  Hookah Smoking Restaurants,,+919152548731,,,,,,sanjeev_tondon@hotmail.com,,,
Restaurants,Kanpur,Mr Brown Bakery,https://www.justdial.com/Kanpur/Mr-Brown-Bakery-Near-Mehfil-Restuarent-Civil-Lines/0512PX512-X512-120517200034-V4U2_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,http://www.mrbrownbakery.com,16/12  Civil Lines  Kanpur - 208001  Near Mehfil Restuarent,,Kanpur,208001,,,2012,<h1>Mr Brown Bakery in Civil Lines  Kanpur</h1><p>Mr Brown Bakery in Kanpur. Bakeries with Address  Contact Number  Photos  Maps. View Mr Brown Bakery  Kanpur on Justdial.</p>  							<p>Treating the sweet-toothed citizens to an amazing variety of baked goodies is Mr Brown Bakery in Civil Lines  Kanpur. This bakery cum patisserie set shop in the year 2012  and  							soon enough it came to be known for mouth-watering delicious baked treats. This bakery serves an assortment pure-vegetarian treats such as cakes  pastries  cookies  snacks  puddings  mousse   							cheesecakes and muffins. You can also place an order for a sinfully indulgent and decadent designer cake to suit the occasion. Having served a plethora of customers since its inception  it  							has secured a staggering patronage from the local residents living in and around Civil Lines. Located Near Mehfil Restuarent you can spot this retail establishment with ease at 16/12  .  							You can contact this cake shop on the following numbers: +(91)-512-2530049 2306019 2305603.  Having received 200+ votes from Justdial users. </p>  							<p><h2>Ambience and Services at Mr Brown Bakery</h2></p>  							<p>A self-service outlet  Mr Brown Bakery in Civil Lines welcomes customers between the hours of operation from 08:00 - 22:00 on all days of the week. Upon entering this eatery  be greeted by the warm  							and polite staff manning the counters  eager to serve you. From basic and simple cakes  this bakery also showcases its expertise in the skillful art of designing artisanal and bespoke cakes.  							Easily pay for your purchase using Cash  Master Card  Visa Card  Debit Cards  Cheques  Credit Card View the 'Menu' to know about their complete list of offerings and make an informed choice prior to your visit here.</p>  							<p><b>Frequently ordered items</b></p>  							<p>Patrons of Mr Brown Bakery in Civil Lines are fond of the Blueberry Cheese Cakes  Choco Doughnut  Sinaasapple  Melting Chocolate  Choco Hazelnut  Chocolate Trifle Mousse and Fresh Fruit Muffin  							served here. </p>  							<p>Please scroll up to view the address and contact details of Mr Brown Bakery in Civil Lines  Kanpur.</p>,Monday 8:30 am - 10:30 pm | Tuesday 8:30 am - 10:30 pm | Wednesday 8:30 am - 10:30 pm | Thursday 8:30 am - 10:30 pm | Friday 8:30 am - 10:30 pm | Saturday 8:30 am - 10:30 pm | Sunday 8:30 am - 10:30 pm,,Cash  Master Card  Visa Card  Debit Cards  Cheques  Credit Card,Bakeries  Restaurants  Cake Shops  Biscuit Retailers  Eggless Cake Retailers  Christmas Cake Retailers,,5122306019,5122305603,+919761947402,,,,,,,
Restaurants,Kanpur,Thaggu Ke Laddu,https://www.justdial.com/Kanpur/Thaggu-Ke-Laddu-Bhargav-Hospital-Civil-Lines/0512PX512-X512-160302135841-V7D5_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,,Shop No. 1-2  Mall Road  Civil Lines  Kanpur - 208001  Bhargav Hospital,,Kanpur,208001,,,1994,,Monday 10:30 am - 11:00 pm | Tuesday 10:30 am - 11:00 pm | Wednesday 10:30 am - 11:00 pm | Thursday 10:30 am - 11:00 pm | Friday 10:30 am - 11:00 pm | Saturday 10:30 am - 11:00 pm | Sunday 10:30 am - 11:00 pm,,Cash,Desserts  Restaurants  Sweet Shops  Sweet Shops-Bikaji,,+916306927967,+919651413242,,,,,adarshpanday86@gmail.com,,,
Restaurants,Kanpur,Mehfil Restaurant,https://www.justdial.com/Kanpur/Mehfil-Restaurant-Opp-Ig-Banglow-Civil-Lines/0512P512STD3103630_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,,16/12  Vip Road  Civil Lines  Kanpur - 208001  Opp Ig Banglow,,Kanpur,208001,,,1998,,Monday 12:00 pm - 11:00 pm | Tuesday 12:00 pm - 11:00 pm | Wednesday 12:00 pm - 11:00 pm | Thursday 12:00 pm - 11:00 pm | Friday 12:00 pm - 11:00 pm | Saturday 12:00 pm - 11:00 pm | Sunday 12:00 pm - 11:00 pm,,Cash,Restaurants  Restaurants & Bars  Chinese Restaurants  Continental Restaurants  Indian Restaurants  Italian Restaurants  Multicuisine Restaurants  North Indian Restaurants  Punjabi Restaurants  Fast Food Delivery Services  All Day Dining Restaurants,,5122306019,+919305154344,+919335577628,,,,pankajk99@yahoomail.com,,,
Restaurants,Kanpur,Mocha,https://www.justdial.com/Kanpur/Mocha-Near-Green-Park-Civil-Lines/0512PX512-X512-180329031557-C8L3_BZDET?xid=S2FucHVyIFJlc3RhdXJhbnRzIEthbnB1cg==,http://www.mocha.co.in,15/198  Vikramajit Singh Road  Civil Lines  Kanpur - 208001  Near Green Park,,Kanpur,208001,,,,,Monday 12:00 am - 12:00 pm | Tuesday 12:00 am - 12:00 pm | Wednesday 12:00 am - 12:00 pm | Thursday 12:00 am - 12:00 pm | Friday 12:00 am - 12:00 pm | Saturday 12:00 am - 12:00 pm | Sunday 12:00 am - 12:00 pm,,,Restaurants  Restaurants & Bars  Fast Food  Multicuisine Restaurants  Breakfast Restaurants,,+917379009393,,,+91 11 26567003,+91 7838652803,+91 7838652802,,franchise@mocha.co.in,,
