Category,Location,Business Name,Url,Website,Address,Area,City,Pincode,Latitude,Longitude,Established,Info,Schedule,Services,Payments,Tags,WhatsApp,Phone1,Phone2,Phone3,Phone4,Phone5,Phone6,Email1,Email2,Email3,Email4
Carpet-Manufacturers,Mirzapur,Obeetee Pvt Ltd,https://www.justdial.com/Mirzapur/Obeetee-Pvt-Ltd-Wellesly-Ganj/9999P5442-5442-171225131606-T6B7_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,http://www.obeetee.com/,Pakki Sarai  Wellesly Ganj  Mirzapur - 231001,,Mirzapur,231001,,,,,,,,Carpet Manufacturers  ,,+918115571187,,,,,,,obeetee.info@obeetee.com,,
Carpet-Manufacturers,Mirzapur,Surya Carpet Palace,https://www.justdial.com/Mirzapur/Surya-Carpet-Palace-Matwa-Putligarh/9999P5442-5442-120729151153-W9U7_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,Mirzapur - 231001  Matwa Putligarh,,Mirzapur,231001,,,1999,,Monday 8:00 am - 7:00 pm | Tuesday 8:00 am - 7:00 pm | Wednesday 8:00 am - 7:00 pm | Thursday 8:00 am - 7:00 pm | Friday 8:00 am - 7:00 pm | Saturday 8:00 am - 7:00 pm | Sunday Closed,,Cash  Cheques,Carpet Exporters  Commercial Carpet Dealers  Cotton Carpet Manufacturers  Carpet Manufacturers  Carpet Dealers  Carpet Wholesalers,,+919415248154,,,,,,anurag6382@gmail.com,,,
Carpet-Manufacturers,Mirzapur,Global Floor Furnishers,https://www.justdial.com/Mirzapur/Global-Floor-Furnishers-Mirzapur-UP/9999P5442-5442-101012155144-J8L4_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,Sureka Mansion  Budhenanth Marg  Mirzapur UP  Mirzapur - 231001,,Mirzapur,231001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday Closed,,,Carpet Manufacturers  Cotton Carpet Manufacturers  Woollen Carpet Manufacturers,,+915442267420,,,,,,,,,
Carpet-Manufacturers,Mirzapur,Kaleen,https://www.justdial.com/Mirzapur/Kaleen/9999P5442-5442-101122114800-D3D9_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,690/2  Shiva Mahant  Opp. Allahabad Bank  Mirzapur - 231001,,Mirzapur,231001,,,,,Monday 9:00 am - 9:00 pm | Tuesday 9:00 am - 9:00 pm | Wednesday 9:00 am - 9:00 pm | Thursday 9:00 am - 9:00 pm | Friday 9:00 am - 9:00 pm | Saturday 9:00 am - 9:00 pm | Sunday 9:00 am - 9:00 pm,,,Carpet Dealers  Silk Carpet Dealers  Silk Carpet Manufacturers  Carpet Manufacturers,,+915442243460,+919793285344,,,,,,,,
Carpet-Manufacturers,Mirzapur,Ashok Carpets,https://www.justdial.com/mirzapur/Ashok-Carpets/9999P5442-5442-131112142611-R8P1_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,Mirzapur H O  Mirzapur  Mirzapur - 231001,,Mirzapur,231001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday Closed,,Cash,Carpet Manufacturers  ,,+919350260266,,,,,,,,,
Carpet-Manufacturers,Mirzapur,Mirzapur Duries & Carpet Industries,https://www.justdial.com/Mirzapur/Mirzapur-Duries-Carpet-Industries/9999P5442-5442-101122113352-Q1H4_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,Imambara  Mirzapur - 231001,,Mirzapur,231001,,,,,Monday 9:00 am - 9:00 pm | Tuesday 9:00 am - 9:00 pm | Wednesday 9:00 am - 9:00 pm | Thursday 9:00 am - 9:00 pm | Friday 9:00 am - 9:00 pm | Saturday 9:00 am - 9:00 pm | Sunday 9:00 am - 9:00 pm,,,Carpet Dealers  Carpet Exporters  Carpet Manufacturers  Dhurrie Exporters  Dhurrie Manufacturers,,+915442325345,+919839251365,,,,,,,,
Carpet-Manufacturers,Mirzapur,Wamik Sons,https://www.justdial.com/Mirzapur/Wamik-Sons-Bagh-Kunjil-Gir-Imambara/9999P5442-5442-101206182815-E4Y6_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,Mirzapur - 231001  Bagh Kunjil Gir  Imambara,,Mirzapur,231001,,,1980,,Monday 10:00 am - 6:00 pm | Tuesday 10:00 am - 6:00 pm | Wednesday 10:00 am - 6:00 pm | Thursday 10:00 am - 6:00 pm | Friday 10:00 am - 6:00 pm | Saturday 10:00 am - 6:00 pm | Sunday Closed,,,Rug Manufacturers  Carpet Manufacturers,,+919873895563,,,,,,,,,
Carpet-Manufacturers,Mirzapur,Abbas & Sons,https://www.justdial.com/mirzapur/Abbas-Sons/9999P5442-5442-131112141917-G9I9_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,Mirzapur H O  Mirzapur  Mirzapur - 231001,,Mirzapur,231001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday Closed,,Cash,Carpet Manufacturers  ,,+919919429757,,,,,,,,,
Carpet-Manufacturers,Mirzapur,Raj Carpets,https://www.justdial.com/mirzapur/Raj-Carpets/9999P5442-5442-131112142145-M1J8_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,Mirzapur H O  Mirzapur  Mirzapur - 231001,,Mirzapur,231001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday Closed,,Cash,Carpet Manufacturers  ,,+919839025565,,,,,,,,,
Carpet-Manufacturers,Mirzapur,Bhisham's Kachhwa Carpets,https://www.justdial.com/mirzapur/Bhishams-Kachhwa-Carpets/9999P5442-5442-131112142354-X9I9_BZDET?xid=TWlyemFwdXIgQ2FycGV0IE1hbnVmYWN0dXJlcnMgTWlyemFwdXI=,,Mirzapur H O  Mirzapur  Mirzapur - 231001,,Mirzapur,231001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday Closed,,Cash,Carpet Manufacturers  ,,+919936248572,,,,,,,,,
