Category,Location,Business Name,Url,Website,Address,Area,City,Pincode,Latitude,Longitude,Established,Info,Schedule,Services,Payments,Tags,WhatsApp,Phone1,Phone2,Phone3,Phone4,Phone5,Phone6,Email1,Email2,Email3,Email4
Embroidered Readymade Garment Wholesalers,Kanpur,Tirupur King,https://www.justdial.com/Kanpur/Tirupur-King-Bas-Mandi-Crossing-PH-2-Bansmandi-Majhawan/0512PX512-X512-100927131235-B9S9_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://online.justdial.com/tirupurking,Shop No-E-1  2  3  Grd Flr  80/79  Super Hamraz Cplx  Rly Stn Rd  Majhawan  Kanpur - 208023  Bas Mandi Crossing  PH-2  Bansmandi,,Kanpur,208023,,,,,Monday 9:30 am - 9:00 pm | Tuesday 9:30 am - 9:00 pm | Wednesday 9:30 am - 9:00 pm | Thursday 9:30 am - 9:00 pm | Friday 9:30 am - 9:00 pm | Saturday 9:30 am - 9:00 pm | Sunday 12:00 am - 9:00 pm,,Cash,Readymade Garment Retailers  Readymade Garment Wholesalers  Ladies Readymade Garment Wholesalers  Children Readymade Garment Wholesalers  Men Readymade Garment Wholesalers  Baby Readymade Garment Wholesalers  Readymade Garment Retailers-Cottons  Embroidered Readymade Garment Wholesalers  Readymade Garment Retailers-Cotton World  Woollen Readymade Garment Wholesalers,,+919044329155,+919696276776,,,,,abdul-mannan@gmail.com,,,
Embroidered Readymade Garment Wholesalers,Kanpur,Masha international,https://www.justdial.com/Kanpur/Masha-international-Coper-gunj-The-Mall/0512PX512-X512-130116183420-A2B6_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://mashainternational.justdial.com,C/10 G.F  The Mall  Kanpur - 208001  Coper gunj,,Kanpur,208001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday 10:00 am - 8:00 pm,,Cash  Cheques,Readymade Garment Wholesalers  Ladies Readymade Garment Wholesalers  Children Readymade Garment Wholesalers  Men Readymade Garment Wholesalers  Baby Readymade Garment Wholesalers  Woollen Readymade Garment Wholesalers  Cotton Readymade Garment Wholesalers  Embroidered Readymade Garment Wholesalers,,+919670780270,+919450135881,,,,,,,,
Embroidered Readymade Garment Wholesalers,Kanpur,Deeptex Creation,https://www.justdial.com/KANPUR/Deeptex-Creation-Infront-of-bass-mandi/0512P512STD40039_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://deeptexcreation.justdial.com,Shop no-1  2 and 3  New Hamraj Market  Bass Mandi  Kanpur - 208001  Infront of bass mandi,,Kanpur,208001,,,1980,,Monday 11:30 am - 9:00 pm | Tuesday 11:30 am - 9:00 pm | Wednesday 11:30 am - 9:00 pm | Thursday 11:30 am - 9:00 pm | Friday 11:30 am - 9:00 pm | Saturday 11:30 am - 9:00 pm | Sunday Closed,,Cash  Cheques,Readymade Garment Wholesalers  Ladies Readymade Garment Wholesalers  Children Readymade Garment Wholesalers  Men Readymade Garment Wholesalers  Baby Readymade Garment Wholesalers  Children Readymade Garment Wholesalers-Kitten  Embroidered Readymade Garment Wholesalers,,5122306693,5122354974,5122341335,,,,,,,
Embroidered Readymade Garment Wholesalers,Kanpur,Mandhyan Garment,https://www.justdial.com/Kanpur/Mandhyan-Garment-Cooper-gunj-The-Mall/0512PX512-X512-130116192237-R2K8_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://mandhyangarment.justdial.com,L.g a-9 new humraj complex  The Mall  Kanpur - 208001  Cooper gunj,,Kanpur,208001,,,2002,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday 5:30 am - 12:00 am,,Master Card  Debit Cards  Cheques  Credit Card,Readymade Garment Wholesalers  Ladies Readymade Garment Wholesalers  Children Readymade Garment Wholesalers  Shirt Wholesalers  Men Readymade Garment Wholesalers  Baby Readymade Garment Wholesalers  Cotton Readymade Garment Wholesalers  Embroidered Readymade Garment Wholesalers  Woollen Readymade Garment Wholesalers,,+919450335334,,,,,,,,,
Embroidered Readymade Garment Wholesalers,Kanpur,Shri Shyam trader,https://www.justdial.com/Kanpur/Shri-Shyam-trader-Surer-hamraj-market-Latouche-Road/0512PX512-X512-130124122952-E6U9_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://online.justdial.com/shrishyamtraderkanpur,Shop no -9  Latouche Road  Kanpur - 208001  Surer hamraj market,,Kanpur,208001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 8:00 pm | Wednesday 10:00 am - 8:00 pm | Thursday 10:00 am - 8:00 pm | Friday 10:00 am - 8:00 pm | Saturday 10:00 am - 8:00 pm | Sunday Closed,,Cash,Readymade Garment Wholesalers  Men Readymade Garment Wholesalers  Woollen Readymade Garment Wholesalers  Cotton Readymade Garment Wholesalers  Embroidered Readymade Garment Wholesalers,,+919935052639,+919455856900,,,,,,,,
Embroidered Readymade Garment Wholesalers,Kanpur,Fahad Trader,https://www.justdial.com/KANPUR/Fahad-Trader-New-Hamraz-Mkt-Cooper-Ganj-Dhankutti/0512P512STD68528_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://online.justdial.com/fahadtrader,Sh A-4  80/68  Dhankutti  Kanpur - 208001  New Hamraz Mkt Cooper Ganj,,Kanpur,208001,,,,,Monday 10:00 am - 8:00 pm | Tuesday 10:00 am - 6:00 pm | Wednesday 10:00 am - 6:00 pm | Thursday 10:00 am - 6:00 pm | Friday 10:00 am - 6:00 pm | Saturday 10:00 am - 6:00 pm | Sunday 10:00 am - 6:00 pm,,,Hardware Shops  Readymade Garment Wholesalers  Ladies Readymade Garment Wholesalers  Children Readymade Garment Wholesalers  Hardware Dealers  Men Readymade Garment Wholesalers  Baby Readymade Garment Wholesalers  Cotton Readymade Garment Wholesalers  Embroidered Readymade Garment Wholesalers,,+919415487161,+919307830638,,,,,,,,
Embroidered Readymade Garment Wholesalers,Kanpur,Mohit garments,https://www.justdial.com/Kanpur/Mohit-garments-nr-taat-mill-chauraha-Ghanta-Ghar/0512PX512-X512-151124165714-H6F4_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://online.justdial.com/mohitgarmentskanpur,shop no -233  Gt Road  Ghanta Ghar  Kanpur - 208001  nr taat mill chauraha,,Kanpur,208001,,,2015,,Monday 11:00 am - 7:00 pm | Tuesday 11:00 am - 7:00 pm | Wednesday 11:00 am - 7:00 pm | Thursday 11:00 am - 7:00 pm | Friday 11:00 am - 7:00 pm | Saturday 11:00 am - 7:00 pm | Sunday Closed,,Cash  Cheques  RTGS,Readymade Garment Wholesalers  Ladies Readymade Garment Wholesalers  Men Readymade Garment Wholesalers  Baby Readymade Garment Wholesalers  Embroidered Readymade Garment Wholesalers  Readymade Garment Accessory Wholesalers,,+919651446542,,,,,,,,,
Embroidered Readymade Garment Wholesalers,Kanpur,Shri Shyam Sewak Sales,https://www.justdial.com/Kanpur/Shri-Shyam-Sewak-Sales-Near-Lanin-Park-P-Road/0512P512STD11_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://online.justdial.com/shrishyamsewaksales,108/37  Flat No. 103  Vijay Tower  P Road  Kanpur - 208012  Near Lanin Park,,Kanpur,208012,,,2000,,Monday 10:30 am - 6:30 pm | Tuesday 10:30 am - 6:30 pm | Wednesday 10:30 am - 6:30 pm | Thursday 10:30 am - 6:30 pm | Friday 10:30 am - 6:30 pm | Saturday 10:30 am - 6:30 pm | Sunday Closed,,Cash  Cheques,Readymade Garment Retailers  Readymade Garment Wholesalers  Children Readymade Garment Wholesalers  Men Readymade Garment Wholesalers  Sherwani Wholesalers  Embroidered Readymade Garment Wholesalers  Cotton Readymade Garment Exporters  Baby Readymade Garment Wholesalers  Industrial Bottle Sterilizer Dealers,,+919415131842,+919335313425,,,,,shrishyamsewaksales@gmail.com,,,
Embroidered Readymade Garment Wholesalers,Kanpur,ARUSH  Enterprises,https://www.justdial.com/Kanpur/ARUSH-Enterprises-OPP-STATE-BANK-OF-INDIA-Kaka-Deo/0512PX512-X512-151104111703-G6R1_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://www.arushenterprises.com,H.NO-1053  NAMAK FACTORY CHOURAHA  Kaka Deo  Kanpur - 208025  OPP. STATE BANK OF INDIA,,Kanpur,208025,,,2010,,Monday Open 24 Hrs | Tuesday Open 24 Hrs | Wednesday Open 24 Hrs | Thursday Open 24 Hrs | Friday Open 24 Hrs | Saturday Open 24 Hrs | Sunday Open 24 Hrs,,Cash  Debit Cards  Cheques  Credit Card,Readymade Garment Wholesalers  T Shirt Wholesalers  Ladies Readymade Garment Wholesalers  Children Readymade Garment Wholesalers  Men Readymade Garment Wholesalers  Shirt Wholesalers  Baby Readymade Garment Wholesalers  Jeans Shirt Wholesalers  Men T Shirt Wholesalers  Gents Woollen Readymade Garment Wholesalers  Linen Shirt Wholesalers  Silk Shirt Wholesalers  Infant Readymade Garment Wholesalers  Women Shirt Wholesalers  Readymade Garment Accessory Wholesalers  Women T Shirt Wholesalers  Casual Shirt Wholesalers  Men Shirt Wholesalers  Garment Readymade Gagracholi Wholesalers  Embroidered Readymade Garment Wholesalers  Cotton T Shirt Wholesalers  Cotton Shirt Wholesalers  Cotton Readymade Garment Wholesalers  Children T Shirt Wholesalers  Woollen Readymade Garment Wholesalers,,+919044012770,+917705800058,+917705800059,,,,infoarushenterprises@gmail.com,info@arushenterprises.com,,
Embroidered Readymade Garment Wholesalers,Kanpur,Maheswari Brothers,https://www.justdial.com/Kanpur/Maheswari-Brothers-Mool-Ganj-Chauraha-Halsey-Road/0512PX512-X512-100906172926-C7J2_BZDET?xid=S2FucHVyIEVtYnJvaWRlcmVkIFJlYWR5bWFkZSBHYXJtZW50IFdob2xlc2FsZXJzIEthbnB1cg==,http://online.justdial.com/maheswaribrotherskanpur,46/157  Halsey Road  Halsey Road  Kanpur - 208002  Mool Ganj Chauraha,,Kanpur,208002,,,,,Monday 9:00 am - 8:00 pm | Tuesday 9:00 am - 8:00 pm | Wednesday 9:00 am - 8:00 pm | Thursday 9:00 am - 8:00 pm | Friday 9:00 am - 8:00 pm | Saturday 9:00 am - 8:00 pm | Sunday Closed,,Cash  Cheques,Readymade Garment Wholesalers  Gents Readymade Garment Retailers  Ladies Readymade Garment Retailers  Readymade Garment Manufacturers  Children Readymade Garment Retailers  Ladies Readymade Garment Wholesalers  Children Readymade Garment Wholesalers  Children Readymade Garment Manufacturers  Men Readymade Garment Wholesalers  Baby Readymade Garment Wholesalers  Children Readymade Garment Wholesalers-Kitten  Cotton Readymade Garment Wholesalers  Embroidered Readymade Garment Wholesalers  Ladies Western Garment Retailers  Western Garment Wholesalers  Woollen Readymade Garment Wholesalers,,5123061952,+919453533955,,,,,maheshwari@yahoo.com,,,
